Publication Number,Publication Date,Title,Priority Data,IPC,Applicants,Inventors,FP Image
US20140022195,24.01.2014,TOUCH SCREEN INFORMATION SYSTEM,NA,G06Q 50/12;G06Q 10/00,"MediaUSA Advertising, Inc.",Lease Mark W.,NA
US20140019996,17.01.2014,Event handling system,NA,G06F 13/00,AT&T Mobility II LLC;AT&T Mobility II LLC,Shaw Venson M.,NA
US20140148139,30.05.2014,Method for Presenting Additional Information about a Telecommunication User,NA,H04M 3/42,CenturyLink Intellectual Property LLC;CenturyLink Intellectual Property LLC,Chatterjee Koushik,NA
US20130166348,28.06.2013,Utility for creating heatmaps for the study of competitive advantage in the restaurant marketplace,NA,G06Q 10/00;G06Q 30/00,"Scotto Stefano Alexander;GrubHub, Inc.",Scotto Stefano Alexander,NA
US08855681,08.10.2014,Using multiple applications to provide location information,NA,H04W 24/00,NA,NA,NA
US20140297411,03.10.2014,Interest Conversion Into Credits To Be Applied To Merchant Offers,NA,G06Q 30/02;G06Q 20/10,NA,NA,NA
US20140224750,15.08.2014,Outdoor grill basket,NA,A47J 37/07,Vogds Thomas;Vogds Terri,Vogds Thomas;Vogds Terri,NA
US20140300827,10.10.2014,MOBILE DEVICE AND REMOTE CONTROL CONNECTION FOR ELECTRONIC DEVICE VIA NEAR FIELD COMMUNICATION,NA,H04N 5/44;H04B 5/00,NA,NA,NA
US20140302831,10.10.2014,Advanced social networking,NA,H04M 3/56,NA,NA,NA
US08842118,24.09.2014,Automated image replacement using deformation and illumination estimation,NA,G06T 15/50;G06T 15/60,White Ryan;The Regents of the University of California;Forsyth David,White Ryan;Forsyth David,NA
US08776111,09.07.2014,Methods and systems for generating subscriber usage profiles in a multi-platform targeted advertising system,NA,H04N 7/025;H04N 7/10;G06Q 20/00,"Eldering Charles A.;Prime Research Alliance E, Inc.;Yu Yang",Eldering Charles A.;Yu Yang,NA
US20140199446,18.07.2014,Split-Belt Conveyor Toaster,NA,A47J 37/04;A23L 1/01,"STAR MANUFACTURING INTERNATIONAL, INC.;STAR MANUFACTURING INTERNATIONAL, INC.",Huegerich Michael L.,NA
US20140251983,12.09.2014,COVER FOR MICROWAVE FOOD,NA,H05B 6/64,Farah Nasro,Farah Nasro,NA
US20140215360,01.08.2014,SYSTEMS AND METHODS FOR ANIMATED CLIP GENERATION,NA,H04L 29/06;G06F 3/0481,Quadmanage Ltd.;Quadmanage Ltd.,DEGANI Yoav,NA
US20140235224,22.08.2014,EVENT HANDLING  SYSTEM,NA,H04M 3/42,AT&T Mobility II LLC;AT&T Mobility II LLC,Shaw Venson M.,NA
US20140175102,27.06.2014,SIDE ACCESSIBLE COOKING APPARATUS,NA,A47J 36/06,SMITH Todd,SMITH Todd,NA
US20110107923,13.05.2011,Apparatus for cooking a food item by reflecting and trapping thermal energy and simultaneous accellerated bun cooking,NA,A47J 37/06;A47J 37/08,"Hess Hans Karl;EBIP Holdings, LLC",Hess Hans Karl,NA
US20140379425,26.12.2014,UTILITY FOR CREATING HEATMAPS FOR DETERMINING COMPETITIVE ADVANTAGE IN THE RESTAURANT MARKETPLACE,NA,G06Q 30/02;G06Q 50/12,"GrubHub, Inc.",Scotto Stefano Alexander,NA
US08949326,04.02.2015,Routing work to resources in a web-based social network,NA,G06F 15/16,"Everingham James;LiveOps, Inc.",Everingham James,NA
WO2013173511,22.11.2013,ACTIONABLE REMINDER ENTRIES,"[US 20120515 61/647,440, US 20130514 13/894,354]",G06F 17/30,APPLE INC.,"GRUBER, Thomas, R.;SABATELLI, Alessandro, F.;AYBES, Alexandre, A.;PITSCHEL, Donald, W.;MARCOS, Paul, D.;ANZURES, Freddy, A.;VOAS, Edward, D.",NA
US20030088081,09.05.2003,High level expression of immunogenic proteins in the plastids of higher plants,[US0025930 2000-09-21T23:59:59.000Z WO],C12N 15/82;C12N 15/82;C12N 5/10;C12N 5/10;C12N 9/22;C12N 9/22;C12N 15/00;C12N 15/00,"Rutgers, The State University of New Jersey",Maliga Pal;Dougan Gordon;Tregoning John;Nixon Peter,NA
US20040204247,15.10.2004,System and method for providing products to game players,[11822611 2004-04-12T23:59:59.000Z US],A63F 9/24;A63F 9/24;A63F 9/24;A63F 13/00;A63F 13/00;A63F 13/12;A63F 13/12;G06F 17/00;G06F 17/00;G06F 19/00;G06F 19/00,WALKER JAY S.;HEINEMANN KURT H.;SUAREZ JOSE A.;JORASCH JAMES A.;TEDESCO DANIEL E.;TULLEY STEPHEN C.;GELMAN GEOFFREY M.;TEDESCO ROBERT C.,Walker Jay S.;Heinemann Kurt H.;Suarez Jose A.;Jorasch James A.;Tedesco Daniel E.;Tulley Stephen C.;Gelman Geoffrey M.;Tedesco Robert C.,NA
US20060195226,01.09.2006,Mobile robot system and program for controlling the same,[2003288680 2003-08-07T23:59:59.000Z JP],G06F 19/00;G06F 19/00;B25J 9/16;B25J 9/16,"Matsushita Electric Industrial Co., Ltd.",Matsukawa Yoshihiko;Nakagawa Masamichi;Nobori Kunio;Okamoto Shusaku,NA
US20110093515,22.04.2011,MOBILE LOCAL SEARCH PLATFORM,NA,G06F 17/30,Albanese Mary Elizabeth,Albanese Mary Elizabeth,NA
US20140105508,18.04.2014,Systems and Methods for Intelligent Purchase Crawling and Retail Exploration,NA,G06K 9/68,Arora Aditya,Arora Aditya,NA
US4044714,31.08.1977,Food product coating apparatus,NA,A21C 9/00;A21C 9/04,"Jeno's, Inc.",Jones Richard E.;Jago Donald F.,NA
US4045584,31.08.1977,Food product coating apparatus and method,[05618905 1975-10-02T23:59:59.000Z US],A21C 9/00;A21C 9/04,"Jeno's, Inc.",Jones Richard E.;Jago Donald F.,NA
US4137604,07.02.1979,Processor-stacker for papered food patties and like layered objects,[05847703 1977-11-02T23:59:59.000Z US],B65B 35/50;B65B 35/50,"Formax, Inc.",Sandberg Glenn A.;Howe George N.,NA
US5540876,31.07.1996,Gamma radiation treated material,[08089729 1993-07-09T23:59:59.000Z US],B06B 1/02;A61F 5/04;A61F 5/04;A61L 2/08;A61L 2/08;A61L 15/00;A61L 15/12;B29C 35/08;B29C 35/08;B29C 71/00;B29C 71/04,LARSON; PETER M.;LARSON; LESTER M.,Larson Peter M.;Larson Lester M.,NA
US4375349,02.03.1983,Apparatus for shaping dough,NA,A21C 3/00;A21C 3/02;A21C 9/00;A21C 9/08;A21C 11/00;A21C 11/00,VRBANEK BRANKO,Vrbanek Branko,NA
US4345133,18.08.1982,Partially shielded microwave carton,NA,B65D 81/34;B65D 81/34,American Can Company,Cherney Jerome A.;Pawlowski Thomas D.,NA
US4384009,18.05.1983,Method of manufacturing dehydrated meat product,[PD620978 1978-10-03T23:59:59.000Z AU],A23B 4/03;A23B 4/03;A23L 1/31;A23L 1/31;A23L 1/314;A23L 1/314,LEWIS VICTOR M;LEWIS DAVID A,Lewis Victor M.;Lewis David A.,NA
US5642485,25.06.1997,Method and system for selective incentive point-of-sale marketing in response to customer shopping histories,"[07345475 1989-05-01T23:59:59.000Z US, 07826255 1992-01-24T23:59:59.000Z US, 07886383 1992-05-19T23:59:59.000Z US, 08063413 1993-05-17T23:59:59.000Z US, 08096921 1993-07-23T23:59:59.000Z US, 08178052 1994-01-04T23:59:59.000Z US]",G06F 17/60;G06Q 30/00;G06Q 30/00;G06Q 40/00;G06Q 40/00;G07F 17/00;G07F 17/42;G07G 1/00;G07G 1/00;G07G 1/12;G07G 1/12;G07G 1/14;G07G 1/14,Credit Verification Corporation,Deaton David W.;Gabriel Rodney G.,NA
US5644723,02.07.1997,Method and system for selective incentive point-of-sale marketing in response to customer shopping histories,"[07345475 1989-05-01T23:59:59.000Z US, 07826255 1992-01-24T23:59:59.000Z US, 07886383 1992-05-19T23:59:59.000Z US, 08063413 1993-05-17T23:59:59.000Z US, 08096921 1993-07-23T23:59:59.000Z US]",G06F 17/60;G06Q 30/00;G06Q 30/00;G06Q 40/00;G06Q 40/00;G07D 7/00;G07D 7/00;G07F 17/00;G07F 17/42;G07G 1/00;G07G 1/00;G07G 1/12;G07G 1/12;G07G 1/14;G07G 1/14,Credit Verification Corporation,Deaton David W.;Gabriel Rodney G.,NA
US4437934,21.03.1984,Method for controlling consistency of tomato products,NA,A23L 1/212;A23L 1/212;B01D 1/00;B01D 1/00,Purdue Research Foundation,Nelson Philip E.;Takada Norihisa,NA
US5667836,17.09.1997,Leavening acid composition produced by heating monocalcium phosphate at elevated temperatures,[08344322 1994-11-22T23:59:59.000Z US],A21D 2/02;A21D 2/00;A21D 2/02;C01B 25/00;C01B 25/32,Rhone-Poulenc Inc.,Chung Frank H. Y.,NA
US4557799,11.12.1985,Tomato consistency control apparatus,[06417184 1982-09-13T23:59:59.000Z US],A23L 1/212;B01D 1/00;A23L 1/212;B01D 1/00,Purdue Research Foundation,Nelson Philip E.;Takada Norihisa,NA
US4797300,11.01.1989,"Compositions containing novel solid, nondigestible, fat-like compounds",NA,A23D 5/00;A23L 1/308;A23D 9/007;A23D 9/013;C07H 13/06,The Procter & Gamble Company,Jandacek Ronald J.;Letton James C.,NA
US4745249,18.05.1988,Package and method for microwave heating of a food product,NA,H05B 6/80;F24C 7/02;F24C 7/02;A47J 27/00;A47J 27/00;B65D 81/34;B65D 81/34,Mrs. Paul's Kitchens Inc.,Daniels James A.,NA
US4751911,22.06.1988,Portable warming oven,NA,A47G 23/04;A47J 37/01;A47J 37/01;A47J 39/00;A47J 39/02,BETTS TRUEMAN R;GATES JR LOUIS E,Betts Trueman R.;Gates Louis E.,NA
US4608267,27.08.1986,Lecithin-containing food product,[8331808 1983-11-29T23:59:59.000Z GB],A23L 1/03;A21D 2/00;A21D 2/32;A23C 9/00;A23C 9/16;A23G 1/00;A23G 1/00;A23G 1/30;A23G 1/36;A23G 3/00;A23G 3/00;A23G 3/34;A23G 3/40;A23L 1/03;A23L 1/035;A23L 1/10;A23L 1/10;A23L 1/314;A23L 1/314;A23L 1/337;A23L 1/337;A23L 1/36;A23L 1/38,Thomas J. Lipton Inc.,Dutilh Christian E.,NA
US4962092,10.10.1990,Compositions for treating duodenal ulcers,[07047844 1987-05-06T23:59:59.000Z US],A61K 31/21;A61K 31/23;A61K 31/25,The Procter & Gamble Company,Wood Frederick E.,NA
US4615014,01.10.1986,Bake time display for cooking oven,NA,G06F 15/46;H05B 6/68;H05B 6/80,"Lincoln Manufacturing Company, Inc.",Gigandet Richard W.;Batti Stephen A.,NA
US5310569,11.05.1994,Method for producing a stress free continuous dough stream,NA,A23P 1/00;A21D 8/00;A21C 1/00;A21C 1/00;A21C 3/00;A21C 3/02;A21D 8/02;A21D 8/02,"Rykaart, Inc.",Muller Ben,NA
US5438916,09.08.1995,Cooking system and accessories,[08002213 1993-01-08T23:59:59.000Z US],A47J 27/04;A21B 3/00;A21B 3/13;A47J 36/00;A47J 36/06;A47J 36/20;A47J 36/22;A47J 39/00;A47J 39/00,"American Harvest, Inc.",Dornbush David A.;Alseth Steven;Erickson Chad S.;Rehmeyer Theodore H.;Sked N. Philip;Lee Robert T.,NA
US5520096,29.05.1996,Cooking system and accessories,[08002213 1993-01-08T23:59:59.000Z US],A47J 37/00;A47J 27/00;A21B 3/13;A47J 45/10;A47J 36/06;A21B 1/52;A47J 36/20;A47J 36/22;A47J 39/00,"American Harvest, Inc.",Dornbush David A.;Erickson Chad S.;Alseth Steven;Sked N. Philip;Lee Robert T.;Rehmeyer Theodore H.,NA
US5357566,19.10.1994,Object-oriented programmable dedicated dialer device and method of programming and calibrating the device,NA,H04M 1/00;H04M 1/274;H04M 1/275,Fone-It Inc.,Dowling Thomas W.;Hotto Robert;Barzilai Yinon;Shenkel Yuval,NA
US5250308,06.10.1993,Formulation for and method of producing a fiber fortified foodstuff,NA,A23P 1/14;A23P 1/08;A23L 1/00;A23L 1/00;A23L 1/18;A23L 1/18,Amway Corporation,Alexander Karen L.;Staley David S.;Bednarz Pari,NA
US5166323,25.11.1992,Modification of the emulsifying activity of gluten by acid hydrolysis,[PI611787 1987-12-29T23:59:59.000Z AU],A23J 3/18;A23J 1/00;A23J 1/12;A23J 3/00;A23J 3/30;A23J 3/32;C12P 21/00;C12P 21/00;C12R 1/02;C12R 1/225,George Weston Foods Limited,Robertson Jennifer A.;Tomlinson John D.;Short Peter I.;O'Hare Lisa H.,NA
US20010029552,12.10.2001,Apparatus and methods for communicating between resource domains,"[09727103 2000-11-29T23:59:59.000Z US, 60168221 1999-11-30T23:59:59.000Z US]",G06F 9/46;G06F 9/46;G06F 9/46,"Sun Microsystems, Inc.","Foote, William F.;Kawahara, Hideya",NA
US6203828,21.03.2001,Method for forming a filled dough product,[09453814 1999-12-03T23:59:59.000Z US],A21D 6/00;A21C 9/00;A21C 9/06;A21D 6/00;A21D 6/00;A21D 13/00;A21D 13/00,Rich Seapak Corporation,"Thota, Hamsa A. P.;Falken, Timothy A.",NA
US6204492,21.03.2001,Abuse-tolerant metallic packaging materials for microwave cooking,[09399182 1999-09-20T23:59:59.000Z US],H05B 6/80;A47J 27/00;A47J 27/00;B65D 65/02;B65D 65/16;B65D 81/34;B65D 81/34;H05B 6/64;H05B 6/64,Graphic Packaging Corporation,"Zeng, Neilson;Lai, Laurence;Russell, Anthony",NA
US6305110,24.10.2001,Interchangable modular programmable neon sign,[09192549 1998-11-13T23:59:59.000Z US],G09F 13/04;G09F 13/00;G09F 13/26,CHANG SHELDON,"Chang, Sheldon",NA
US5938959,18.08.1999,Oven with automatically movable shelf,NA,A21B 1/50;A21B 1/24;A47J 37/06;A21B 1/02;A47J 37/06;A21B 1/08;F24C 15/16;F24C 15/16,Testrite Baparoma International LLC,Wang Ping,NA
US5788997,05.08.1998,Stress-free multiroller dough sheeting system,[08491117 1995-06-16T23:59:59.000Z US],A21C 9/08;A21C 3/10;A21C 3/00;A21C 11/10;A21C 3/04;A21C 3/10,"Interko, Inc.",Muller Bernardus Wilhelmus,NA
US5733583,01.04.1998,Stress-free dough sheeting system,NA,A21C 9/08;A21C 3/10;A21C 3/00;A21C 11/10;A21C 3/04;A21C 3/10,"Interko, Inc.",Muller Bernardus Wilhelmus,NA
US5416950,24.05.1995,Cooking system and accessories,NA,A21B 1/52;A47J 45/10;A21B 3/13;A47J 36/06;A47J 36/20;A47J 36/22;A47J 39/00,"American Harvest, Inc.",Dornbush David A.;Erickson Chad S.;Alseth Steven,NA
US5303997,20.04.1994,Slidable and vertically adjustable refrigerator/freezer basket and mounting arrangement therefor,NA,F47B 88/00;A47B 88/04;A47B 88/04;F25D 25/02;F25D 25/02,Maytag Corporation,Kropf Keith E.,NA
US6063459,17.05.2000,Antenna ornament,NA,B60R 13/00;B60R 13/00;B60R 13/00;G09F 21/00;G09F 21/04,VELTE; STEPHEN K.,Velte Stephen K.,NA
US6077556,21.06.2000,"Solid, nondigestible, fat-like compounds","[07036738 1989-04-10T23:59:59.000Z US, 07417385 1989-10-05T23:59:59.000Z US, 07709074 1991-05-30T23:59:59.000Z US]",C07H 11/00;A21D 10/00;A21D 2/16;A23D 9/013;A23L 1/308;C07H 3/04,The Procter & Gamble Company,Letton James Carey;Feeney Robert David,NA
US5932268,04.08.1999,Flexible partially cooked food composition,NA,A23L 1/01;A21D 13/00;A23L 1/164;A23L 1/217,The Pillsbury Company,Thomas David J.;Levin Liza B.,NA
US5857778,13.01.1999,Collapsible thermal insulating container,NA,B65D 33/34;A45C 11/20;A45C 11/20;B65D 81/38;B65D 81/38,ELLS; JAMES R.,Ells James R.,NA
US6157954,06.12.2000,Communication control device including business card database with associated business card agents for controlling communicated electronic mail between user and card provider,NA,G06F 15/16;G06Q 50/00;G06Q 50/00;G06F 13/00;G06F 13/00;G06F 15/16;G06F 15/167;G06Q 10/00;G06Q 10/00;H04L 12/58;H04L 12/58;H04L 29/06;H04L 29/06;H04L 29/12;H04L 29/12;H04M 11/00;H04M 11/00,Ericsson Inc.,Moon Billy G.;Wooldridge Tammy A.,NA
US5997914,08.12.1999,Process for making bread,[06015443 1994-02-09T23:59:59.000Z JP],A21D 10/00;A21D 8/04;A21D 6/00;A23C 9/12;A21D 6/00;C12N 1/18;A21D 8/02;A21D 8/04,"Kyowa Hakko Kogo Co., Ltd.",Shimura Kaori;Kyogoku Yasuhisa;Ouchi Kozo;Torigoe Takaoki,NA
US20030133549,18.07.2003,Directory delivery system and method for a digital subscriber line modem,NA,H04M 11/00;H04M 3/42;H04M 3/42;H04L 12/28;H04L 12/28;H04M 3/487;H04M 3/493;H04M 3/50;H04M 3/533;H04M 3/537;H04M 7/00;H04M 7/00;H04M 11/00;H04M 11/00,Thomson Licensing,Virag David Emery;Ramaswamy Kumar;Richardson John William,NA
US20030010217,17.01.2003,Dough mixer with metering device,[00109611 2000-05-05T23:59:59.000Z EP],A21C 1/14;A21C 1/06;B01F 3/12;B01F 15/02;A21C 1/06;A21C 1/14;A21C 9/04;A21C 9/08;A21C 11/00;B01F 7/00;B01F 7/04;B01F 7/14;B01F 15/00;B01F 15/02,"Artos, S.A.",Torghele Claudio;Malfatti Pierluigi,NA
US20030212996,14.11.2003,System for interconnection of audio program data transmitted by radio to remote vehicle or individual with GPS location,"[08597432 1996-02-08T23:59:59.000Z US, 09054740 1998-04-03T23:59:59.000Z US, 09573620 2000-05-17T23:59:59.000Z US, 60197314 2000-04-14T23:59:59.000Z US]",G06F 3/00;H04N 5/445;G01C 21/28;G01C 21/28;G01C 21/34;G01C 21/36;G06Q 10/00;G06Q 10/00;G06Q 30/00;G06Q 30/00;H04H 20/93;H04H 60/51;H04H 60/63;H04L 29/06;H04L 29/06;H04L 29/08;H04L 29/08;H04N 5/445;H04N 5/445;H04N 7/087;H04N 7/088;H04N 7/16;H04N 7/16;H04N 7/173;H04N 7/173,NA,Wolzien Thomas R.,NA
US20020059606,17.05.2002,Universal programming system and method for EPG with added offline archive,"[09854339 2001-05-11T23:59:59.000Z US, 60203640 2000-05-11T23:59:59.000Z US]",G06F 3/00;H04N 5/00;H04N 5/00;H04N 5/445;H04N 5/445;H04N 7/16;H04N 7/16;H04N 7/173;H04N 7/173;H04N 7/24;H04N 7/24,KIKINIS DAN;KAMEN YAKOV,Kikinis Dan;Kamen Yakov,NA
US6481433,20.11.2002,Conveyor oven having an energy management system for a modulated gas flow,"[09760194 2001-01-12T23:59:59.000Z US, 60249685 2000-11-17T23:59:59.000Z US]",A23L 3/00;A21B 1/00;A21B 1/00;A21B 1/24;A21B 1/40;F24C 3/12;F24C 3/12;F24C 15/32;F24C 15/32,Middleby Marshall Incorporated,"Schjerven, Sr., William S.;Sieron, Mark A.;Grau, Bruce;Bruno, Adrian A.;Schneeweiss, Gerald J.;Carbonara, Frank",NA
US6263786,25.07.2001,Digitally controlled clamshell press,[09662568 2000-09-15T23:59:59.000Z US],A47J 37/00;A47J 27/62;A47J 37/06;A47J 37/06;A47J 37/06,Proprocess Corp.,"Raio, Steve Michael;Boyer, John James",NA
US6322829,28.11.2001,Savory fillings and food products including these fillings,"[08708777 1996-09-05T23:59:59.000Z US, 09836132 2001-04-17T23:59:59.000Z US]",A23C 20/00;A23C 19/00;A23C 19/076;A23C 19/093,The Pillsbury Company,"McGlynn, Michael C.;Graves, John R.;Kittleson, Richard L.;Bethune, Doug;Bhatia, Usha B.;Jones, Nicola;Robertson, Kathryn E.",NA
US20020059108,17.05.2002,Electronic commerce goods data search method and system with the addition of distributor strategy,[2000349327 2000-11-10T23:59:59.000Z JP],G06F 17/60;G06Q 10/00;G06Q 10/00;G06Q 30/00;G06Q 30/00;G06Q 50/00;G06Q 50/00,OKURA MASAO;OGURA MASAHIRO;ISHIBASHI AKIRA,Okura Masao;Ogura Masahiro;Ishibashi Akira,NA
US6274185,15.08.2001,Method of controlling browning reactions using noble gases,"[07862965 1992-04-03T23:59:59.000Z US, 08169542 1993-12-20T23:59:59.000Z US]",A21D 4/00;A23B 1/30;A21D 13/00;A23C 3/00;A21D 8/00;A21D 8/06;A23C 9/152;A23G 3/04;A23G 3/32;A23L 1/01;A23L 1/272;A23L 3/3409;A23L 3/3445;A23L 3/358,American Air Liquide,"Spencer, Kevin C.",NA
US20020160817,01.11.2002,Method and apparatus for displaying prioritized icons in a mobile terminal,[09842211 2001-04-26T23:59:59.000Z US],H04M 1/00;H04B 1/38;G06F 3/023;G06F 3/033;G06F 3/048;H04M 1/247;H04M 1/725,Nokia Corporation,"Salmimaa, Marja;Hakala, Tero;Lehikoinen, Juha",NA
US6355293,13.03.2002,Method for preparing filled dough products,[09453556 1999-12-03T23:59:59.000Z US],A21D 6/00;A21D 13/00;A21D 13/00,Rich Sea-Pak Corporation,"Thota, Hamsa A. P.;Falken, Timothy A.",NA
US20020007488,18.01.2002,Transparent object management for removable media recorders,"[09661164 2000-09-13T23:59:59.000Z US, 60212697 2000-06-19T23:59:59.000Z US]",H04N 5/445;H04N 7/173;H04H 60/72,KIKINIS DAN;KAMEN YAKOV,Kikinis Dan;Kamen Yakov,NA
US20020022492,22.02.2002,Communication system,[137783 2000-08-09T23:59:59.000Z IL],H04Q 7/20;H04M 3/42;H04M 7/00,Mapco Ltd. c/o Adv. Haim Efrima,Barak Ilan;Aviv David,NA
US20020033101,22.03.2002,Digitally controlled clamshell press,"[09662568 2000-09-15T23:59:59.000Z US, 09911747 2001-07-23T23:59:59.000Z US]",A47J 37/00;A47J 27/62;A47J 37/06;A47J 37/06;A47J 37/06,ProProcess Corporation,"Raio, Steve M.;Boyer, John J.",NA
US6419077,17.07.2002,Automated transfer station for hanging articles such as pepperoni sausages,[09837021 2001-04-18T23:59:59.000Z US],B65G 47/34;A22C 15/00;A22C 15/00;B65G 47/60;B65G 47/61,"Stainless Steel Systems, Inc.","White, James E.;Roepka, Gregory A.",NA
US6431848,14.08.2002,Dough divider with pressure relief,[09539530 2000-03-30T23:59:59.000Z US],A21C 3/10;A21C 5/00;A21C 5/08,Oliver Products Company,"Petersen, Bernard L.",NA
US20040069185,16.04.2004,Integral composite wax-polymer membranes,"[09260573 1999-03-01T23:59:59.000Z US, 10681000 2003-10-08T23:59:59.000Z US]",B05D 3/02;A23L 1/00;A23L 1/00,Natural Polymer International Corporation,Jian Kangzhuang,NA
US20040043133,05.03.2004,Process for preparing consumable ground meat products from leghorn hens,[10230544 2002-08-29T23:59:59.000Z US],A23L 1/315;A23L 1/315;A23L 1/315;A23L 1/317;A23L 1/317,"Crider Poultry, Inc.","Crider, III, William A.;Hudspeth, Phil;Winston, May",NA
US20040051531,19.03.2004,Method and apparatus for obtaining electrical images of a borehole wall through nonconductive mud,[10244340 2002-09-16T23:59:59.000Z US],G01V 3/18;G01V 3/18;G01V 3/20,NA,Chemali Roland;Schoch Peter J.;Andrew Yuratich Michael,NA
US20030059516,28.03.2003,Masa flavored cereal germ and a process for making same,[09965642 2001-09-27T23:59:59.000Z US],A23L 1/172;A21D 2/00;A21D 2/38;A21D 13/00;A21D 13/00;A21D 13/06;A23L 1/164;A23L 1/164;A23L 1/172;A23L 1/172,"Cargill, Incorporated","Brubacher, Edward;Pause, James;Sheehan, Steve;Xu, Ansui",NA
US20030042248,07.03.2003,Conveyor speed control system for a conveyor oven,[09941197 2001-08-28T23:59:59.000Z US],H05B 1/02;A21B 1/00;A21B 1/42;A21B 1/48,Hatco Corporation,"Witt, Allan E.;Gilpatric, Mark E.",NA
US20020123342,06.09.2002,Method for conducting mobile communications for a network,NA,H04Q 7/22;H04Q 7/22;H04M 3/50;H04M 3/527;H04M 3/53;H04M 3/56;H04M 3/56,"Adomo, Inc.",Lehaff Samir G.;Skakkebaek Jens Ulrik,NA
US20020123331,06.09.2002,Mobile communication system for a network,NA,G06F 15/16;G06F 15/16;G06F 7/00;G06F 7/00;H04M 3/42;H04M 3/42;H04M 3/50;H04M 3/527;H04M 3/53;H04M 3/533;H04M 3/56;H04M 3/56;H04M 11/00;H04M 11/00,"Adomo, Inc.",Lehaff Samir G.;Skakkebaek Jens Ulrik,NA
US6654451,26.11.2003,Methods and systems for billing and routing local toll-free calls,[09498684 2000-02-07T23:59:59.000Z US],H04M 15/00;H04M 15/00;H04M 15/00,BellSouth Intellectual Property Corporation,"Ward, Jonathan O.",NA
US6656857,03.12.2003,Integral composite wax-polymer membranes,[09260573 1999-03-01T23:59:59.000Z US],B32B 5/22;A23L 1/00;A23L 1/00,Natural Polymer International Corporation,"Jian, Kangzhuang",NA
US20040177003,10.09.2004,Adaptive electronic coupon,[US0229777 2002-09-19T23:59:59.000Z WO],G06F 17/60;G06Q 30/00;G06Q 30/00,MATSUSHITA ELECTRIC COMPANY OF AMERICA,Liao Paul;Jasionowski Tony;Sitnik Eran;Hare Charles S.,NA
US20040154611,13.08.2004,Oven top section and method of construction,[10361523 2003-02-07T23:59:59.000Z US],A21B 1/00;F24C 15/34;A21B 1/00;A21B 1/04;A21B 3/00;A21B 3/00,J. W. Beech Pty Ltd,Beech Robert Bradley,NA
US20040037928,27.02.2004,Method for facilitating the transfer and packaging of foodstuffs,[20021220 2002-06-20T23:59:59.000Z FI],C12C 1/027;A21B 3/00;A21B 3/13,MYLLYN PARAS OY,Savela Pekka;Myllarinen Paivi;Autio Karin,NA
US20030203076,31.10.2003,Heat-treated food which has been wrapped in a pastry of wheat flour dough for cooking in a microwave oven,[2002118102 2002-04-19T23:59:59.000Z JP],A23G 3/00;A21D 8/00;A21D 8/06;A21D 13/00;A21D 13/00;A21D 13/08;A21D 15/00;A21D 15/02,AJINOMOTO CO. INC,Watanabe Akihiro;Terazaki Hirofumi;Matsuura Yoshiki;Fusamune Nobuhiro;Uchida Takehiko;Gonda Junko;Mitsuiki Masata,NA
US6655373,03.12.2003,High efficiency conveyor oven,[09993980 2001-11-14T23:59:59.000Z US],F23H 7/18;A21B 1/08;A21B 1/00;F24J 3/00;A21B 1/24;A21B 1/48;F23D 14/46;F23D 14/84;F23N 1/00;F23N 1/00;F24C 15/32;F24C 15/32,"Middleby Marshall, Incorporated","Wiker, John Hammons",NA
US20040202759,15.10.2004,Ground meat products including meat from spent egg-laying hens,"[10230544 2002-08-29T23:59:59.000Z US, 10833770 2004-04-28T23:59:59.000Z US]",A23L 1/315;A23L 1/315;A23L 1/317;A23L 1/317,"Crider Poultry, Inc.","Crider, III William A.;Hudspeth Phil;Winston May",NA
US6814975,10.11.2004,Food compositions and methods of preparing the same,[992511 1999-11-24T23:59:59.000Z FI],A23L 1/29;A61K 47/00;A23L 1/28;A61K 9/00;A23L 1/28;A23L 1/30;A23L 1/30,Eritocap Oy,"Grahn, Tom",NA
US20050090820,29.04.2005,Methods and devices for creating electrical block at specific sites in cardiac tissue with targeted tissue ablation,"[10971452 2004-10-22T23:59:59.000Z US, 60514428 2003-10-24T23:59:59.000Z US]",A61B 18/18;A61B 18/14;A61N;A61N 1/00,"Syntach, AG",Cornelius Richard;Swanson William,NA
US20050096936,06.05.2005,System for distributing and vending data,"[10976656 2004-10-29T23:59:59.000Z US, 60516090 2003-10-30T23:59:59.000Z US]",G06F 17/60;G06F;H04N 7/173,LAMBERS THOMAS,Lambers Thomas,NA
US20050123646,10.06.2005,Cheese flavour ingredient and method of its production,[515881 2001-12-03T23:59:59.000Z NZ],A23C 9/12;A23C 9/12;A23C 9/12;A23C 9/152;A23C 9/156;A23C 19/00;A23C 19/09;A23J 3/00;A23J 3/34;A23L 1/226;A23L 1/226;A23L 1/227;A23L 1/23;C12N 1/20;C12N 1/20;C12P 1/04;C12P 1/04;C12P 21/06;C12P 21/06;C12R 1/01,NA,Crow Vaughan Leslie;Hayes Michelle;Curry Brian James;Samal Prabandha Kumar G.;Schofield Rachel;Holland Ross,NA
US6942479,14.09.2005,Dough press,"[10236630 2002-09-06T23:59:59.000Z US, 10655436 2003-09-04T23:59:59.000Z US]",A21C 11/00;A21C 11/00;A21C 11/00,"Somerset Industries, Inc.",Voyatzakis Andrew D.;Athanasiadie George,NA
