"ipc_class","publication_number"
"A21: Baking","CA2439090"
"C05: Fertilisers","CA2761494"
"B25: Hand Tools","CA2818290"
"H04: Electric Communication Technique","CA2543887"
"A61: Medical Or Veterinary Science","CA2549185"
"H04: Electric Communication Technique","CA2540039"
"F25: Refrigeration Or Cooling","CA2492359"
"G06: Computing","CA2477735"
"B65: Conveying","CA2551814"
"A23: Foods Or Foodstuffs","CA2516030"
"A47: Furniture","CA2532218"
"E03: Water Supply","CA2641937"
"A21: Baking","CA2641398"
"G06: Computing","CA2623613"
"A21: Baking","CA2599907"
"A21: Baking","CA2600176"
"A21: Baking","CA2600174"
"A23: Foods Or Foodstuffs","ZA200505999"
"B6B: Conveying","ZA199103368"
"A21: Baking","CA1117358"
"A23: Foods Or Foodstuffs","CA1122105"
"A21: Baking","CA1146404"
"B6B: Conveying","CA1150215"
"A47: Furniture","CA1154629"
"A23: Foods Or Foodstuffs","CA1163498"
"A23: Foods Or Foodstuffs","CA1209844"
"H05: Electric Techniques Not Otherwise Provided For","CA1176292"
"A23: Foods Or Foodstuffs","CA1178113"
"B65: Conveying","CA1248042"
"A61: Medical Or Veterinary Science","CA2591350"
"F23: Combustion Apparatus","CA2161899"
"F25: Refrigeration Or Cooling","CA2510538"
"A21: Baking","CA2528539"
"A21: Baking","CA2520266"
"B60: Vehicles In General","CA2507862"
"G06: Computing","CA2590460"
"B65: Conveying","CA2648628"
"G09: Educating","CA2630740"
"A21: Baking","CA2650928"
"B02: Crushing, Pulverising, Or Disintegrating","CA1279238"
"A45: Hand Or Travelling Articles","CA1243259"
"A21: Baking","CA1336870"
"A21: Baking","CA1328191"
"A61: Medical Or Veterinary Science","CA1328549"
"A23: Foods Or Foodstuffs","CA1331108"
"A21: Baking","CA1110488"
"A21: Baking","ZA199501478"
"C07: Organic Chemistry","ZA199208956"
"A23: Foods Or Foodstuffs","ZA199504789"
"H05: Electric Techniques Not Otherwise Provided For","CA2196154"
"A23: Foods Or Foodstuffs","CA2207881"
"A47: Furniture","IL67190"
"B65: Conveying","CA2141397"
"A23: Foods Or Foodstuffs","IL77313"
"A23: Foods Or Foodstuffs","CA2222723"
"A23: Foods Or Foodstuffs","CA2200546"
"A23: Foods Or Foodstuffs","CA2228162"
"B65: Conveying","CA2250434"
"A23: Foods Or Foodstuffs","CA1042264"
"A21: Baking","ZA199508754"
"B67: Opening Or Closing Bottles, Jars Or Similar Containers","CA1048460"
"A23: Foods Or Foodstuffs","CA1245094"
"A23: Foods Or Foodstuffs","CA1324284"
"F24: Heating","CA2024961"
"B05: Spraying Or Atomising In General","CA1289422"
"A21: Baking","CA2216742"
"A47: Furniture","CA2084546"
"A47: Furniture","CA1339540"
"A23: Foods Or Foodstuffs","CA2084256"
"C11: Animal Or Vegetable Oils, Fats, Fatty Substances Or Waxes","CA2231459"
"A47: Furniture","CA2258787"
"A21: Baking","CA2143473"
"B29: Working Of Plastics","CA2218580"
"B65: Conveying","CA2247457"
"A21: Baking","ZA200201147"
"A23: Foods Or Foodstuffs","ZA199904820"
"A23: Foods Or Foodstuffs","ZA200104563"
"A23: Foods Or Foodstuffs","ZA200105015"
"A23: Foods Or Foodstuffs","ZA200403687"
"A21: Baking","ZA200502570"
"A23: Foods Or Foodstuffs","ZA199805426"
"D04: Braiding","ZA199707000"
"A47: Furniture","CA2706079"
"A21: Baking","CA2753120"
"A21: Baking","CA2720718"
"A21: Baking","CA2712650"
"C22: Metallurgy","CA2712392"
"H04: Electric Communication Technique","CA2694371"
"A23: Foods Or Foodstuffs","CA2676518"
"A21: Baking","CA2683419"
"B32: Layered Products","CA2597421"
"A23: Foods Or Foodstuffs","CA2639130"
"B65: Conveying","CA2641101"
"A21: Baking","CA2665822"
"H02: Generation, Conversion, Or Distribution Of Electric Power","CA2269303"
"A21: Baking","CA2315004"
"B29: Working Of Plastics","CA2042648"
"B65: Conveying","CA2307885"
"A21: Baking","CA2314388"
"A23: Foods Or Foodstuffs","CA2322249"
"B65: Conveying","CA2326479"
"A21: Baking","CA2326412"
"B65: Conveying","CA2326474"
"H01: Basic Electric Elements","CA2330990"
"A01: Agriculture","CA2359362"
"A21: Baking","CA2346325"
"A47: Furniture","CA2341474"
"A23: Foods Or Foodstuffs","CA2342608"
"C09: Dyes","CA2166497"
"A23: Foods Or Foodstuffs","CA2360065"
"A23: Foods Or Foodstuffs","CA2279163"
"F24: Heating","CA2458896"
"A23: Foods Or Foodstuffs","CA2461758"
"A23: Foods Or Foodstuffs","CA2464382"
"G06: Computing","CA2393430"
"A22: Butchering","CA2434925"
"A45: Hand Or Travelling Articles","CA2495178"
"E05: Locks","CA2454213"
"A0J: Agriculture","CA2144009"
"A23: Foods Or Foodstuffs","CA2457172"
"A61: Medical Or Veterinary Science","CA2499714"
"A45: Hand Or Travelling Articles","CA2397014"
"F24: Heating","CA2137995"
"A61: Medical Or Veterinary Science","CA2389080"
"G07: Checking","CA2410049"
"G09: Educating","CA2417457"
"A23: Foods Or Foodstuffs","CA2175306"
"A21: Baking","CA2404058"
"B65: Conveying","CA2380361"
"G07: Checking","CA2410060"
"B65: Conveying","EP2230192"
"A21: Baking","EP0672349"
"B65: Conveying","CA2814252"
"G09: Educating","CA2778739"
"G06: Computing","EP2759969"
"A23: Foods Or Foodstuffs","CA2562473"
"H04: Electric Communication Technique","CA2544008"
"A21: Baking","EP2764777"
"A23: Foods Or Foodstuffs","CA2553060"
"B32: Layered Products","EP0578791"
"A61: Medical Or Veterinary Science","EP0708851"
"B65: Conveying","EP0357008"
"A47: Furniture","EP2135819"
"A23: Foods Or Foodstuffs","EP2201847"
"B09: Disposal Of Solid Waste","EP2258816"
"A01: Agriculture","EP1679004"
"A23: Foods Or Foodstuffs","EP1738761"
"B32: Layered Products","EP0443402"
"B32: Layered Products","EP0457598"
"B29: Working Of Plastics","EP0841150"
"H04: Electric Communication Technique","EP1346554"
"A41: Wearing Apparel","EP1403014"
"A23: Foods Or Foodstuffs","EP2445359"
"G06: Computing","EP2546791"
"A61: Medical Or Veterinary Science","EP2626112"
"B21: Mechanical Metal","EP2629038"
"A21: Baking","EP2764778"
"A61: Medical Or Veterinary Science","EP2789332"
"A23: Foods Or Foodstuffs","US4100302"
"F24: Heating","US5204503"
"A61: Medical Or Veterinary Science","US20010020188"
"B32: Layered Products","US6022447"
"G06: Computing","US20030004897"
"A47: Furniture","US20030006633"
"H04: Electric Communication Technique","US20030112936"
"A47: Furniture","US20030029862"
"G06: Computing","US20020126130"
"A21: Baking","US20020136806"
"A47: Furniture","US20040004073"
"A47: Furniture","US20040004072"
"H04: Electric Communication Technique","US20040203610"
"H04: Electric Communication Technique","US20050238151"
"A21: Baking","US20050136167"
"G06: Computing","US20060031404"
"G06: Computing","US20050283473"
"A21: Baking","US20060073258"
"F24: Heating","US20070137633"
"H04: Electric Communication Technique","US20070214470"
"A23: Foods Or Foodstuffs","US20050079254"
"G06: Computing","US20070014353"
"A21: Baking","US20080220122"
"A63: Sports","US20080207316"
"B65: Conveying","US20070087090"
"A21: Baking","US20080226780"
"H04: Electric Communication Technique","US20080130846"
"G01: Measuring","US20090292464"
"G06: Computing","US20080086359"
"A21: Baking","US20080260926"
"H04: Electric Communication Technique","US20100077095"
"G06: Computing","US7756945"
"G01: Measuring","US20110082746"
"H04: Electric Communication Technique","US20100166168"
"H04: Electric Communication Technique","US20110136516"
"G06: Computing","US20110173217"
"H04: Electric Communication Technique","US20110294478"
"A61: Medical Or Veterinary Science","US20110319813"
"H04: Electric Communication Technique","US20120015639"
"H04: Electric Communication Technique","US20120297408"
"H05: Electric Techniques Not Otherwise Provided For","US20120193351"
"H04: Electric Communication Technique","US08577000"
"H04: Electric Communication Technique","US20130178197"
"G06: Computing","US20120254202"
"H04: Electric Communication Technique","US08660247"
"H04: Electric Communication Technique","US08660246"
"G06: Computing","US20140129354"
"G06: Computing","US20140129393"
"H04: Electric Communication Technique","US08687777"
"H04: Electric Communication Technique","US08681951"
"H04: Electric Communication Technique","US08804930"
"A21: Baking","WO2007090675"
"H04: Electric Communication Technique","WO2012109064"
"G07: Checking","WO1998040826"
"A61: Medical Or Veterinary Science","WO2011041007"
"G06: Computing","WO2001044888"
"G06: Computing","WO2001097072"
"H04: Electric Communication Technique","WO2010138479"
"G06: Computing","WO2008089359"
"B65: Conveying","WO2007133659"
"H04: Electric Communication Technique","WO2013149137"
"G06: Computing","WO2014063234"
"G06: Computing","WO2015004452"
"G06: Computing","WO2014063236"
"A23: Foods Or Foodstuffs","EP1875816"
"G01: Measuring","EP1329056"
"G06: Computing","US6609104"
"G06: Computing","US6516302"
"G06: Computing","US6611811"
"G06: Computing","USRE044541"
"G06: Computing","WO1995003570"
"G10: Musical Instruments","WO2006037218"
"A23: Foods Or Foodstuffs","WO2013164481"
"A23: Foods Or Foodstuffs","US6827965"
"H04: Electric Communication Technique","US20130198358"
"G06: Computing","US20150025922"
"G06: Computing","US20150026246"
"A21: Baking","WO2013082198"
"A23: Foods Or Foodstuffs","WO1994022323"
"A23: Foods Or Foodstuffs","WO2011004144"
"A61: Medical Or Veterinary Science","WO2007019526"
"H04: Electric Communication Technique","WO1999011078"
"H04: Electric Communication Technique","WO2008131365"
"F24: Heating","WO2009123887"
"G01: Measuring","WO2008097389"
"G06: Computing","WO2006130463"
"A21: Baking","WO2007021665"
"B65: Conveying","WO2007103428"
"F25: Refrigeration Or Cooling","WO2006063591"
"G06: Computing","WO2006076236"
"G06: Computing","WO1999044165"
"G06: Computing","WO1997010562"
"A23: Foods Or Foodstuffs","WO1999021444"
"H04: Electric Communication Technique","WO2003015406"
"A23: Foods Or Foodstuffs","WO2005070135"
"G06: Computing","WO2005022303"
"H01: Basic Electric Elements","WO1999003128"
"G06: Computing","WO2000029969"
"G01: Measuring","WO2010049925"
"A63: Sports","WO2007067217"
"A21: Baking","WO2007077545"
"A21: Baking","WO2008035313"
"H04: Electric Communication Technique","WO2011141386"
"G06: Computing","WO2014179889"
"H04: Electric Communication Technique","WO2011086405"
"G06: Computing","WO2010144732"
"G06: Computing","WO2014172585"
"B65: Conveying","WO2008019278"
"H04: Electric Communication Technique","WO2013185797"
"G06: Computing","WO2014011798"
"G06: Computing","WO2014032047"
"A23: Foods Or Foodstuffs","EP0540421"
"A21: Baking","EP0530111"
"A21: Baking","EP0538146"
"H04: Electric Communication Technique","CA2773323"
"H04: Electric Communication Technique","CA2773558"
"A61: Medical Or Veterinary Science","CA2452836"
"A61: Medical Or Veterinary Science","EP2248822"
"G06: Computing","WO2002023321"
"G06: Computing","US20100159967"
"G06: Computing","US20120150611"
"G06: Computing","US20140330713"
"C25: Electrolytic Or Electrophoretic Processes","US6045686"
"G06: Computing","US20020107918"
"H05: Electric Techniques Not Otherwise Provided For","US20080164178"
"G07: Checking","US20080249837"
"G06: Computing","US20100026718"
"C07: Organic Chemistry","US20110207125"
"G06: Computing","US20110246209"
"G09: Educating","US20120200606"
"G06: Computing","US20130325601"
"G06: Computing","US20130030955"
"G06: Computing","US20140222623"
"G09: Educating","WO2013086600"
"A23: Foods Or Foodstuffs","WO2013004743"
"H05: Electric Techniques Not Otherwise Provided For","WO2013119680"
"B32: Layered Products","WO1993009945"
"B31: Making Paper Articles","WO1991000827"
"A61: Medical Or Veterinary Science","WO1980000790"
"B65: Conveying","WO1988007472"
"B65: Conveying","WO1988009754"
"A23: Foods Or Foodstuffs","WO1989002709"
"A23: Foods Or Foodstuffs","WO1994023589"
"G09: Educating","WO1995004954"
"A21: Baking","WO1992019109"
"A47: Furniture","WO1992016137"
"E04: Building","WO1990013719"
"B65: Conveying","WO1990005440"
"B65: Conveying","WO1989005761"
"B67: Opening Or Closing Bottles, Jars Or Similar Containers","WO1993002011"
"A47: Furniture","WO1994016606"
"A23: Foods Or Foodstuffs","WO2011008676"
"A21: Baking","WO2011135346"
"A47: Furniture","WO2005048720"
"G01: Measuring","WO2006058312"
"A23: Foods Or Foodstuffs","WO2006052135"
"A23: Foods Or Foodstuffs","WO2006105634"
"G06: Computing","WO2006082281"
"G06: Computing","WO2006020051"
"A23: Foods Or Foodstuffs","WO2006028625"
"A0J: Agriculture","WO2011047762"
"A23: Foods Or Foodstuffs","WO1998041107"
"H05: Electric Techniques Not Otherwise Provided For","WO1999015019"
"A23: Foods Or Foodstuffs","WO1998047394"
"C11: Animal Or Vegetable Oils, Fats, Fatty Substances Or Waxes","WO1997004069"
"B65: Conveying","WO2008001351"
"A21: Baking","WO2008138748"
"B65: Conveying","WO2008022017"
"H05: Electric Techniques Not Otherwise Provided For","WO2008098156"
"A23: Foods Or Foodstuffs","WO2008041142"
"H04: Electric Communication Technique","WO2008045110"
"G06: Computing","WO2008093062"
"B42: Bookbinding","WO2007091166"
"G06: Computing","WO2007126726"
"A21: Baking","WO2007013109"
"A21: Baking","WO2006027666"
"A63: Sports","WO2000044461"
"A23: Foods Or Foodstuffs","WO2002005657"
"A21: Baking","WO2001065945"
"A21: Baking","WO2001074179"
"G06: Computing","WO2002025865"
"A21: Baking","WO2001062095"
"A23: Foods Or Foodstuffs","WO1994000024"
"A21: Baking","WO1995008740"
"A21: Baking","WO1997026792"
"A47: Furniture","WO1997021376"
"B65: Conveying","WO1996015958"
"B32: Layered Products","WO2000015431"
"A23: Foods Or Foodstuffs","WO2000010400"
"H05: Electric Techniques Not Otherwise Provided For","WO1999053252"
"A23: Foods Or Foodstuffs","WO1999002044"
"B65: Conveying","WO1999052780"
"A21: Baking","WO2004006693"
"A23: Foods Or Foodstuffs","WO2003090554"
"A21: Baking","WO2005110092"
"A21: Baking","WO2004004467"
"A23: Foods Or Foodstuffs","WO2003101213"
"A47: Furniture","WO2003011093"
"G06: Computing","WO2002057992"
"A23: Foods Or Foodstuffs","WO2003075684"
"A61: Medical Or Veterinary Science","WO2003073351"
"F02: Combustion Engines","WO2003052328"
"A23: Foods Or Foodstuffs","WO2003053172"
"G09: Educating","WO2004111976"
"G06: Computing","WO2004086261"
"A47: Furniture","WO2003020097"
"H04: Electric Communication Technique","WO2003088671"
"B65: Conveying","WO2005063584"
"H04: Electric Communication Technique","WO2005083935"
"B26: Hand Cutting Tools","WO2005097438"
"A47: Furniture","WO2005077233"
"A21: Baking","WO2005018336"
"B65: Conveying","WO2005054067"
"B32: Layered Products","WO2006016916"
"A47: Furniture","WO2008067895"
"G06: Computing","WO2009070368"
"A23: Foods Or Foodstuffs","WO2009099466"
"A61: Medical Or Veterinary Science","WO2010031152"
"A21: Baking","WO2010033755"
"B65: Conveying","WO2009092622"
"A62: Life-Saving","WO2009099956"
"G06: Computing","WO1999039280"
"A23: Foods Or Foodstuffs","WO2001014396"
"G07: Checking","WO2000030054"
"A23: Foods Or Foodstuffs","WO2000039281"
"A23: Foods Or Foodstuffs","WO2000049893"
"A47: Furniture","WO2001084994"
"A21: Baking","WO2010006404"
"G01: Measuring","WO2010136970"
"G06: Computing","WO2010041958"
"H05: Electric Techniques Not Otherwise Provided For","WO2011066976"
"A23: Foods Or Foodstuffs","WO2011097344"
"G06: Computing","WO2007064973"
"H04: Electric Communication Technique","WO2008126067"
"B65: Conveying","WO2007046766"
"B65: Conveying","WO2008005748"
"G06: Computing","WO2014158029"
"G06: Computing","WO2013106351"
"A21: Baking","WO2014179843"
"A47: Furniture","WO2013184769"
"H04: Electric Communication Technique","WO2013133764"
"G06: Computing","WO2013040684"
"G06: Computing","WO2013067444"
"A23: Foods Or Foodstuffs","WO2010094679"
"A21: Baking","WO2010006403"
"A23: Foods Or Foodstuffs","WO2014033761"
"G06: Computing","WO2014193491"
"A01: Agriculture","WO2003083086"
"G06: Computing","WO2011047299"
"G06: Computing","WO2012075273"
"A21: Baking","WO1993019628"
"A23: Foods Or Foodstuffs","WO1992004833"
"A61: Medical Or Veterinary Science","WO1992005194"
"A61: Medical Or Veterinary Science","WO1995002508"
"A21: Baking","WO1994012036"
"A21: Baking","WO2011144214"
"A23: Foods Or Foodstuffs","WO2011002871"
"G06: Computing","WO2011159378"
"H04: Electric Communication Technique","WO2005043325"
"B05: Spraying Or Atomising In General","WO2006124500"
"A61: Medical Or Veterinary Science","WO2007014379"
"G06: Computing","WO2006083974"
"A47: Furniture","WO2006092578"
"A47: Furniture","WO2011060410"
"A47: Furniture","WO2011056720"
"C07: Organic Chemistry","WO2011051398"
"G06: Computing","WO2013075026"
"A21: Baking","WO2012066277"
"G06: Computing","WO2014112860"
"A23: Foods Or Foodstuffs","WO2011012671"
"G06: Computing","WO2009085583"
"A23: Foods Or Foodstuffs","WO2008007234"
"G06: Computing","WO2009117216"
"H04: Electric Communication Technique","WO2007024606"
"B65: Conveying","WO2007021439"
"G06: Computing","WO2006022914"
"A21: Baking","WO2006077459"
"G06: Computing","WO2002089342"
"A21: Baking","WO2002102164"
"C07: Organic Chemistry","WO2002000895"
"H04: Electric Communication Technique","WO2002013495"
"G06: Computing","WO2001040939"
"H04: Electric Communication Technique","WO2000036810"
"H04: Electric Communication Technique","WO2004062289"
"A23: Foods Or Foodstuffs","WO2005120260"
"A61: Medical Or Veterinary Science","WO2005039689"
"A21: Baking","WO2003020041"
"A21: Baking","WO2003026440"
"G06: Computing","WO2003025822"
"B65: Conveying","WO2002058436"
"A23: Foods Or Foodstuffs","WO2002049570"
"G01: Measuring","WO2005104039"
"A21: Baking","WO2009056255"
"G06: Computing","WO2009079153"
"G08: Signalling","WO2009009136"
"B65: Conveying","WO2001022778"
"A21: Baking","WO1998004139"
"A23: Foods Or Foodstuffs","WO1998009532"
"H04: Electric Communication Technique","WO2000004730"
"G06: Computing","WO1999017241"
"A23: Foods Or Foodstuffs","WO2001037680"
"G09: Educating","WO2000030062"
"H04: Electric Communication Technique","WO2001026320"
"B29: Working Of Plastics","WO2001023471"
"G06: Computing","WO2010075350"
"B65: Conveying","WO2012156766"
"C08: Organic Macromolecular Compounds","WO2012039862"
"A23: Foods Or Foodstuffs","WO2008110515"
"A47: Furniture","WO2008111934"
"F24: Heating","WO2008112480"
"G09: Educating","WO2008122854"
"B32: Layered Products","WO2014105641"
"G06: Computing","WO2013059822"
"A21: Baking","WO2013071406"
"A23: Foods Or Foodstuffs","WO2014159452"
"C09: Dyes","WO2010139586"
"G01: Measuring","WO2001079876"
"H04: Electric Communication Technique","WO2003061259"
"H04: Electric Communication Technique","WO2014191081"
"A23: Foods Or Foodstuffs","WO2014060480"
"A21: Baking","WO2015024097"
"B65: Conveying","WO2007033183"
"G06: Computing","WO2013134871"
"G06: Computing","WO2008042954"
"G06: Computing","WO2006009635"
"F24: Heating","WO2005087009"
"A23: Foods Or Foodstuffs","WO2005034649"
"A61: Medical Or Veterinary Science","WO2002062405"
"G06: Computing","WO2005114449"
"B65: Conveying","WO2005028331"
"G06: Computing","WO2007067754"
"H04: Electric Communication Technique","WO2008149161"
"G06: Computing","WO2014071248"
"A21: Baking","EP1361264"
"G06: Computing","US20090138422"
"A61: Medical Or Veterinary Science","US20090169636"
"G06: Computing","US20130103578"
"G06: Computing","US20130232006"
"G06: Computing","US20140114759"
"G08: Signalling","US5565909"
"A21: Baking","US5287781"
"A23: Foods Or Foodstuffs","US4931303"
"A21: Baking","US5223289"
"A21: Baking","US5108770"
"A21: Baking","US5073392"
"A23: Foods Or Foodstuffs","US4994295"
"A21: Baking","US5990454"
"G06: Computing","US20030187798"
"H05: Electric Techniques Not Otherwise Provided For","US20030192881"
"G06: Computing","US20040024735"
"A21: Baking","US20040058046"
"G06: Computing","US20040122753"
"A23: Foods Or Foodstuffs","US20040101607"
"A23: Foods Or Foodstuffs","US20040265429"
"G09: Educating","US20030056410"
"H05: Electric Techniques Not Otherwise Provided For","US20020117497"
"B44: Decorative Arts","US20030217489"
"A23: Foods Or Foodstuffs","US20040216427"
"G06: Computing","US20030191713"
"A21: Baking","US20050202153"
"G06: Computing","US20060026498"
"G01: Measuring","US20070176796"
"G06: Computing","US20070118520"
"B65: Conveying","US20060196574"
"A23: Foods Or Foodstuffs","US20060254673"
"B67: Opening Or Closing Bottles, Jars Or Similar Containers","US20060261086"
"G06: Computing","US20070011161"
"H04: Electric Communication Technique","US20070026852"
"H05: Electric Techniques Not Otherwise Provided For","US20080223852"
"A63: Sports","US20080102947"
"B65: Conveying","US20080149664"
"G09: Educating","US20090007468"
"A23: Foods Or Foodstuffs","US20080290117"
"A23: Foods Or Foodstuffs","US20090191310"
"G06: Computing","US20100318513"
"G06: Computing","US20110047509"
"G06: Computing","US20110040756"
"G01: Measuring","US20100168995"
"H04: Electric Communication Technique","US20100179867"
"G01: Measuring","US20100169003"
"H04: Electric Communication Technique","US20100210331"
"H04: Electric Communication Technique","US20100211465"
"G06: Computing","US20100153488"
"G09: Educating","US20100003647"
"G01: Measuring","US20100026526"
"A63: Sports","US20110269374"
"G06: Computing","US20110276591"
"H05: Electric Techniques Not Otherwise Provided For","US20110290787"
"G09: Educating","US20110318717"
"G06: Computing","US20120041961"
"G06: Computing","US20130019314"
"G06: Computing","US20120329519"
"A23: Foods Or Foodstuffs","US20120288612"
"G06: Computing","US20130102364"
"H04: Electric Communication Technique","US20130244628"
"G06: Computing","US20130246220"
"G09: Educating","US20130257900"
"C08: Organic Macromolecular Compounds","US20130022740"
"G06: Computing","US20130041742"
"G06: Computing","US20120304275"
"H04: Electric Communication Technique","US20130091517"
"G06: Computing","US20130095893"
"G06: Computing","US20130095892"
"A21: Baking","US20130164432"
"H04: Electric Communication Technique","US08478309"
"G06: Computing","US20130191373"
"G06: Computing","US20130211967"
"A63: Sports","US20140011587"
"G06: Computing","US20140046848"
"G06: Computing","US20140123070"
"G06: Computing","US20140082062"
"H04: Electric Communication Technique","US20140075333"
"H04: Electric Communication Technique","US20140196141"
"G06: Computing","US20150024784"
"A23: Foods Or Foodstuffs","US20150004301"
"G06: Computing","WO2013116153"
"G06: Computing","CA2792570"
"A21: Baking","WO2014131861"
"G06: Computing","US20110307326"
"G06: Computing","US20110307325"
"G06: Computing","US20110307322"
"G06: Computing","US20110307330"
"G06: Computing","US20110307509"
"G06: Computing","US20110307515"
"G06: Computing","US20110302025"
"H04: Electric Communication Technique","US20130022183"
"G06: Computing","US20110307324"
"H04: Electric Communication Technique","US08155280"
"H04: Electric Communication Technique","US20130022181"
"G06: Computing","US20130022191"
"H04: Electric Communication Technique","US20150010136"
"A61: Medical Or Veterinary Science","EP1835939"
"B65: Conveying","EP1481922"
"A61: Medical Or Veterinary Science","EP2168595"
"A21: Baking","EP2272370"
"B65: Conveying","EP2150118"
"A61: Medical Or Veterinary Science","EP2193810"
"G06: Computing","EP2506204"
"G06: Computing","EP2506202"
"A21: Baking","EP2491787"
"H04: Electric Communication Technique","EP2475155"
"G06: Computing","EP2523192"
"C07: Organic Chemistry","EP0618294"
"A21: Baking","EP0929225"
"A21: Baking","EP0751713"
"H04: Electric Communication Technique","EP0922364"
"H04: Electric Communication Technique","EP0922363"
"A47: Furniture","EP1452071"
"H04: Electric Communication Technique","EP1370050"
"G06: Computing","EP1384171"
"G06: Computing","EP1384170"
"G06: Computing","EP1384167"
"A21: Baking","EP1407674"
"G06: Computing","EP2284747"
"A61: Medical Or Veterinary Science","EP2011509"
"A61: Medical Or Veterinary Science","EP2011511"
"A21: Baking","EP1635644"
"A23: Foods Or Foodstuffs","EP1621607"
"G06: Computing","EP1571579"
"A21: Baking","EP0517496"
"A23: Foods Or Foodstuffs","EP0526526"
"A21: Baking","EP0617896"
"A23: Foods Or Foodstuffs","EP0602156"
"A23: Foods Or Foodstuffs","EP0363741"
"A21: Baking","EP0303511"
"B02: Crushing, Pulverising, Or Disintegrating","EP1733811"
"A61: Medical Or Veterinary Science","EP1756265"
"B65: Conveying","EP1886936"
"H04: Electric Communication Technique","EP1941696"
"G06: Computing","EP2403288"
"B6B: Conveying","EP2565125"
"G06: Computing","EP1086419"
"A21: Baking","EP1154695"
"A21: Baking","EP0929224"
"F24: Heating","EP0830805"
"G01: Measuring","EP1443317"
"F24: Heating","EP1467598"
"G06: Computing","EP1410253"
"A21: Baking","EP1698229"
"G06: Computing","CA2805273"
"C07: Organic Chemistry","CA2118824"
"A61: Medical Or Veterinary Science","CA2736151"
"A21: Baking","CA2752299"
"A21: Baking","CA2762120"
"G06: Computing","CA2786379"
"B6B: Conveying","CA2775989"
"B32: Layered Products","CA2770618"
"G06: Computing","CA2767631"
"G06: Computing","CA2772778"
"G06: Computing","CA2772821"
"G06: Computing","CA2723646"
"G06: Computing","CA2050734"
"A23: Foods Or Foodstuffs","CA2423934"
"B63: Ships Or Other Waterborne Vessels","CA2109608"
"A61: Medical Or Veterinary Science","CA2547537"
"A23: Foods Or Foodstuffs","CA2550103"
"A21: Baking","CA2485260"
"A61: Medical Or Veterinary Science","CA2485992"
"A21: Baking","CA2525673"
"F16: Engineering Elements Or Units","CA2464923"
"A21: Baking","CA2449725"
"A23: Foods Or Foodstuffs","CA2566377"
"A21: Baking","CA2571013"
"A61: Medical Or Veterinary Science","CA2579055"
"B65: Conveying","CA2586472"
"A61: Medical Or Veterinary Science","CA2559371"
"A63: Sports","CA2633895"
"A63: Sports","CA2624126"
"A63: Sports","CA2632465"
"A23: Foods Or Foodstuffs","CA1176097"
"B65: Conveying","CA2590929"
"A21: Baking","CA2594493"
"A61: Medical Or Veterinary Science","CA2595128"
"C12: Biochemistry","CA2523895"
"B29: Working Of Plastics","CA2651643"
"A23: Foods Or Foodstuffs","CA1299437"
"A21: Baking","CA1318169"
"A21: Baking","CA1298133"
"C11: Animal Or Vegetable Oils, Fats, Fatty Substances Or Waxes","ZA199505398"
"F24: Heating","CA2089329"
"F24: Heating","CA2223752"
"B65: Conveying","CA1321244"
"A23: Foods Or Foodstuffs","CA1324022"
"A23: Foods Or Foodstuffs","CA1336245"
"A23: Foods Or Foodstuffs","CA2027419"
"A23: Foods Or Foodstuffs","CA2079889"
"H04: Electric Communication Technique","CA2264240"
"H04: Electric Communication Technique","CA2264264"
"H04: Electric Communication Technique","CA2264241"
"F24: Heating","CA2198635"
"A23: Foods Or Foodstuffs","CA2116670"
"A21: Baking","CA2140100"
"A21: Baking","CA2266692"
"A01: Agriculture","CA2283401"
"A23: Foods Or Foodstuffs","ZA200302498"
"A61: Medical Or Veterinary Science","ZA199808570"
"A61: Medical Or Veterinary Science","CA2649321"
"A21: Baking","CA2754572"
"A23: Foods Or Foodstuffs","CA2719158"
"G06: Computing","CA2687576"
"A21: Baking","CA2687086"
"A21: Baking","CA2683539"
"A21: Baking","CA2657464"
"A61: Medical Or Veterinary Science","CA2647465"
"A23: Foods Or Foodstuffs","CA2673010"
"A21: Baking","CA2303216"
"A47: Furniture","CA2309561"
"A21: Baking","CA2184062"
"B65: Conveying","CA2463736"
"B42: Bookbinding","CA2441486"
"A47: Furniture","CA2380454"
"A21: Baking","CA2388291"
"A23: Foods Or Foodstuffs","CA2420030"
"H04: Electric Communication Technique","CA2335128"
"B42: Bookbinding","CA2375609"
"A63: Sports","EP1251653"
"A63: Sports","EP0900491"
"G06: Computing","CA2823859"
"H04: Electric Communication Technique","CA2747144"
"A21: Baking","EP2338345"
"G06: Computing","EP1955211"
"B6B: Conveying","EP2483168"
"A21: Baking","EP2735233"
"A61: Medical Or Veterinary Science","EP1506008"
"A61: Medical Or Veterinary Science","EP1593392"
"B01: Physical Or Chemical Processes Or Apparatus In General","EP1311343"
"A21: Baking","EP2398331"
"B65: Conveying","EP1960289"
"A61: Medical Or Veterinary Science","EP2482847"
"A23: Foods Or Foodstuffs","EP2756766"
"A61: Medical Or Veterinary Science","EP2816106"
"A23: Foods Or Foodstuffs","US5699722"
"A01: Agriculture","US4789664"
"B65: Conveying","US4970360"
"A23: Foods Or Foodstuffs","US5522309"
"C09: Dyes","US6147337"
"B65: Conveying","US6257401"
"A63: Sports","US6015344"
"A22: Butchering","US6017576"
"A63: Sports","US5905523"
