weight,title_phrases
1.0,robotic System
1.0,Integrated Flight Loads Balancing Process
1.0,Electrically-driven Accessories
1.0,Emergency Drive
1.0,mobile Live Information System
1.0,Hazardous Events
1.0,Object Oriented Open Network Systems
1.0,scaleable Multi-level Security Method
1.0,Optical Signals
1.0,Air Craft
1.0,integrated Bypass Turbojet Engines
1.0,Decision Making
1.0,Mobile Robotic Vehicles
1.0,Leader-follower Model
1.0,Mobile Robotic System Aggregation
1.0,Automated Collective Mobile Robotic Vehicles
1.0,Remote Sensing Surveillance
1.0,Managing External Computation
1.0,Mobile Robotic Network
1.0,Sensor Resources
1.0,system Independent Attribute Configuration
1.0,air Sampling Device
1.0,Fin Assembly
1.0,electromagnetic Induction Detection System
1.0,Processing Text Information
1.0,munition Device
1.0,Mobile Robotic Vehicles
1.0,integrated Starter/generator
1.0,Hybrid Control Model
1.0,Integrating Behavior-based Approach
1.0,Mobile Robotic Vehicles
1.0,Mobile Sensor Network
1.0,air-fuel Charge
1.0,NA
1.0,harrison Free Standing Towers
1.0,Missile Defense System
1.0,NA
1.0,Application Program
1.0,Media Player/recorder Device
1.0,Managing Content
1.0,Adaptive Digital Image/video Surveillance
1.0,Rich Multimedia Relational Database
1.0,Identifying Objects
1.0,Determining Display Subsystem Compliance
1.0,linear Mass Damper Mounting Assembly
1.0,medicine Dispenser
1.0,Control Surface
1.0,Multi-robotic System
1.0,Self-configurable Mobile Robotic Agents
1.0,high Temperature Circuit Structures
1.0,Thin Film Layer
1.0,gauss-rees Parametric Ultrawideband System
1.0,damper Disk Assembly
1.0,damper Mechanism
1.0,image Analysis Method
1.0,Multiple Layers
1.0,audio Speaker
1.0,Wobble Free Voice Coil Movement
1.0,audio Speaker
1.0,Wobble Free Voice Coil Movement
1.0,Image Analysis
1.0,Multiple Layers
1.0,audio Speaker
1.0,Wobble Free Voice Coil Movement
1.0,NA
1.0,microwave Generator
1.0,Obstacle Warning
1.0,radar System
1.0,Mobile Probes
1.0,Lock-up Clutch
1.0,Vibratory Screening Machines
1.0,Integrated Wing Battery
1.0,Unmanned Aerial Vehicle
1.0,delivery Systems
1.0,combustor System
1.0,Expendable Gas Turbine Engine
1.0,combined Stage Single Shaft Turbofan Engine
1.0,combat Simulation System
1.0,comfort Thermostat
1.0,Tilt Camera System
1.0,Small Particles
1.0,Postal Deliveries
1.0,Storing Postal Deliveries
1.0,loudspeaker Device
1.0,multilayer Composite Armour
1.0,Disabling Sources
1.0,Network Packet Flooding
1.0,Processing Physical Data
1.0,vehicle Mounted System
1.0,Logistical Delivery
1.0,Unmanned Aerial Vehicle
1.0,firing System
1.0,Engine Support
1.0,split Torque Gearbox
1.0,Point Information
1.0,electric Field Resonance Assisted Raman Scattering
1.0,Ladar Iff
1.0,birds Eye View Virtual Imaging
1.0,Real Time Composited Wide Field
1.0,proactive Optical Trajectory
1.0,platform Based Imaging System
1.0,eye Shield Sleeping Device
1.0,proactive Optical Trajectory
1.0,Drogue Body
1.0,micro-rotorcraft Surveillance System
1.0,Rotary-wing Aircraft
1.0,rotor Brake
1.0,multi-spectral Ladar
1.0,Orthography Board Game
1.0,computer Data Bus Interface Control
1.0,Inorganic Light Active Devices
1.0,Extended Low-frequency Response
1.0,loudspeaker System
1.0,Controlling Pests
1.0,Synchronous Impeller Pitch Vehicle Control
1.0,Magnetic Actuation
1.0,Variable Pitch Impeller Blades
1.0,Audio Signal Processing
1.0,envelope-controlled Dynamic
1.0,Music Applications
1.0,distributed Sensor Array
1.0,Fluid Contaminant
1.0,stacked Type Cooler
1.0,Audio Signal Processing
1.0,remote Marine Craft System
1.0,payload Dispensing System
1.0,Unmanned Aerial Vehicles
1.0,command Processing Systems
1.0,implantable Tracking
1.0,Cochlear Implant
1.0,Pitch Allocation
1.0,fire Suppression Delivery System
1.0,compound Helicopter
1.0,outside Structure Conformal Antenna
1.0,Supporting Structure
1.0,Developing Synthetic Three-dimensional Models
1.0,Coliform Bacteria
1.0,Reflected Light
1.0,Dampening Vibrations
1.0,high-speed Magnetic Train System
1.0,Two-tier Tracks
1.0,flight Device
1.0,Lift-generating Fuselage
1.0,Overhead Imagery
1.0,rapid Mobility Analysis
1.0,Vehicular Route Planning
1.0,Distributed Sensors
1.0,Environmental Events
1.0,smart Polymeric Multilayer Sensors
1.0,Automated Shape Measurement
1.0,Associated Method
1.0,high Speed Missile Wing
1.0,navigation System
1.0,computer Controlled Car Racing Game
1.0,Commercial Applications
1.0,heated Replacement Air System
1.0,hiigh Wing Monoplane Aerospace Plane Based Fighter
1.0,travel Banjo
1.0,Altering Vestibular Biology
1.0,self-propagating Program Detector Apparatus
1.0,NA
1.0,Improving Printer Performance
1.0,rotational Photovoltaic Cells
1.0,distributed Applications
1.0,Mobile Agents
1.0,Aerodynamically Assisted Sonobuoy Separation
1.0,expendable Sonobuoy Flight Kit
1.0,diffusing Configuration Data
1.0,Distributed Devices
1.0,flexible Photovoltaic Cells
1.0,User Interface
1.0,flexible Airfoils
1.0,Composite Materials
1.0,Making Same
1.0,portable Receiver Device
1.0,energetic Structural Material
1.0,musical Instrument
1.0,nonlinear Adaptive Control
1.0,Resource-distribution Dynamics
1.0,microfabricated Rankine Cycle Steam Turbine
1.0,Power Generation
1.0,bezier Curve Flightpath Guidance
1.0,Moving Waypoints
1.0,laser-gps Marking
1.0,Economic Desparity
1.0,International Management
1.0,Responsible Global Resourcing
1.0,Security System
1.0,Technical Management
1.0,Real-time Configurable
1.0,Task Performance Systems
1.0,Specialized Elements
1.0,bioluminescent Fog
1.0,Law Enforcement
1.0,air Conditioning System
1.0,Vibration Dempening Device
1.0,Active Suspension
1.0,magnetofluidic Accelerometer
1.0,zero Blind Zone Doppler Beam
1.0,gimbal System
1.0,Capacitive Sensing
1.0,Inertial Body Position
1.0,magnetofluidic Accelerometer
1.0,Aerial Messages
1.0,gimbal System
1.0,photo-sensing Photovoltaic
1.0,Positioning Facility
1.0,Navigation Guidance
1.0,self-leveling Laser Horizon
1.0,Controlled Dual Polarizer
1.0,Fuel Cells
1.0,mobile Device
1.0,Supplying Power
1.0,Drive Shaft
1.0,Heat Shield Sleeve
1.0,active Protection Device
1.0,Associated Apparatus
1.0,Variable Blade Pitch
1.0,Vehicle Control
1.0,sound Generator
1.0,vibration Dampening Device
1.0,spare Tire Mass Damper
1.0,Integrated Electricity Generator
1.0,NA
1.0,fiber Optic Flammable Liquid
1.0,transaction Card System
1.0,Unauthorized Usage
1.0,reliability Testing
1.0,Software Modules
1.0,Horizontal Speed
1.0,steering Aid System
1.0,Air Flow Connection Device
1.0,Rear Electricity Generator
1.0,two-spool Bypass Turbojet
1.0,loudspeaker Comprising Coaxially-disposed Drivers
1.0,Ambient Sound Therapy User Interface
1.0,Control System
1.0,Traumatic Brain Injury
1.0,Explosive Pulverisation
1.0,fire Extinguishing
1.0,Projectile Based Frozen Gases
1.0,Solid Extinguishing Agents
1.0,NA
1.0,Ambient Contextual Signals
1.0,Outdoor Locations
1.0,Spinning Projectile
1.0,active Protection Device
1.0,Associated Apparatus
1.0,Sensing Environmental Conditions
1.0,Computerized Training
1.0,Predefined Set
1.0,Environmental Conditions
1.0,Multi-beam Ladar Systems
1.0,single Detector Receiver
1.0,Economic Desparity
1.0,International Management
1.0,Responsible Global Resourcing
1.0,second National
1.0,Security System
1.0,Technical Management
1.0,imaging Device Assembly
1.0,autolocating Underwater Beacon
1.0,automatic Homing Systems
1.0,Sensor Systems
1.0,Changing Environment
1.0,Communications Network
1.0,Wireless Access Nodes
1.0,stowable Design
1.0,Unmanned Aerial Vehicle
1.0,Low Vapor Pressure Dibasic Esters
1.0,Polystyrene Foams
1.0,aqua-terra Planetary Transport System
1.0,Electro-magnetic Underwater Tube-link Transportation System
1.0,exhaust Nozzle
1.0,Flying Craft
1.0,Altering Brain
1.0,Body Functions
1.0,Norepinephrine Reuptake Inhibitors
1.0,Pervasive Developemental Disorders
1.0,Wideband Antenna
1.0,Electromagnetic Coupling
1.0,L Band
1.0,Radionavigation Device
1.0,Radionavigation Equipment Item
1.0,loudspeaker Apparatus
1.0,Image Capture
1.0,Low Profile Two Way Satellite Antenna System
1.0,Processing Information Output
1.0,Redundant Primary Flight Equipment
1.0,gps Denial Device Detection
1.0,Location System
1.0,Gps-adverse Environment
1.0,operating Gps Receivers
1.0,selective Gps Denial System
1.0,Home Environment
1.0,photovoltaic Sensor Facilities
1.0,canless Bi-cell
1.0,Inorganic Light Active Devices
1.0,database Event Driven Motion Systems
1.0,interactive Augmented Reality System
1.0,Honey Bees
1.0,Parasitic Mites
1.0,gas Turbine Engine
1.0,thermal Management System
1.0,NA
1.0,deployable Airfoil Assembly
1.0,honeycomb Foundation
1.0,distributed Tempero-spatial Query Service
1.0,Lockable Control Surface
1.0,Point Information
1.0,modifiable Display Marker
1.0,Air Data Accuracy
1.0,Ratiometric Characterizations
1.0,small Unmanned Aircraft
1.0,sensor Network
1.0,speaker System
1.0,multiple Field
1.0,View Optical System
1.0,mobile Directional Antenna
1.0,Integrated Antenna
1.0,passive Acoustical Radiating
1.0,fuel Ignition System
1.0,Jet Engine Staring
1.0,Scatter Detection
1.0,x-ray Inspection
1.0,aircraft Attitude Control Configuration
1.0,Gathering Detected Condition Information
1.0,multi-tiered Network
1.0,photovoltaic Cell
1.0,NA
1.0,Automated Construction
1.0,Emergency Flight Path
1.0,computer System
1.0,Methods Therefor
1.0,Blend Vision
1.0,Conversion Specialist
1.0,Digital Burn Unit
1.0,Digital Studio Hand
1.0,Disposable Pc
1.0,Handheld Generation
1.0,Mobile Intelligence
1.0,Mobile Mogul
1.0,tnt Data Master
1.0,Transformania Pc proper Connectivity
1.0,Ultimate Duplication Conversion
1.0,Bearing Lubrication
1.0,Fuel/lubricant Supply System
1.0,Controlling Vehicular Traffic Flow
1.0,NA
1.0,loudspeaker System
1.0,Large Calibre Gun
1.0,autorotation Flight Control System
1.0,NA
1.0,flight Device aircraft
1.0,Lift-generating Fuselage
1.0,liquid Sampling Apparatus
1.0,multi-lens Array System
1.0,camouflage Positional Elements
1.0,Acoustic Imaging
1.0,object Detection
1.0,gimbal System
1.0,mobile Telephone
1.0,One Remote Key
1.0,Payment Function
1.0,Radio Bicycle Locks
1.0,Rfid Tags
1.0,Software Regulating Card
1.0,Queen Bee
1.0,general Purpose Robotics Operating System
1.0,Auditory Feedback
1.0,emission Detector
1.0,Illegal Drugs
1.0,Remote Detection
1.0,laser-based System
1.0,Sal Capabilities
1.0,beehive Combination Bottom Board
1.0,Parasite Infestations
1.0,communication Link
1.0,Rotating Turret
1.0,Extraction Method
1.0,honeybee Hive
1.0,Motor Vehicle
1.0,Construction Data
1.0,Sharing Design
1.0,Digital Content
1.0,Determining Angles
1.0,Flow Sensors
1.0,exhaust Assembly
1.0,Horizontal Propulsion Gas Elbow
1.0,Altering Brain
1.0,Body Functions
1.0,Content Marketplace
1.0,Distribution Marketplace
1.0,Dodge City Marketplace
1.0,Drm Marketplace
1.0,Search Engine
1.0,through-flow Volume Limiters
1.0,airborne Platform Protection Apparatus
1.0,Associated System
1.0,exhaust Assembly
1.0,Horizontal Propulsion Gas Elbow
1.0,single Platform Geolocation Method
1.0,data Transmission Method
1.0,Spatial Diversity
1.0,elbow-shaped Propulsion Gas Exhaust Assembly
1.0,Electronic Emulation
1.0,Human Brain
1.0,loudspeaker System
1.0,composite Structures
1.0,Integral Intelligent Skin
1.0,Impact Sound
1.0,vehicle Sensor
1.0,cooperative Swarm
1.0,Unmanned Vehicles
1.0,loudspeaker Enclosure
1.0,loudspeaker System
1.0,Flying Object
1.0,Supersonic Velocities
1.0,Ladar System
1.0,video Game Environment
1.0,Cardboard Packaging Materials
1.0,living Systems
1.0,Altering Brain
1.0,Body Functions
1.0,Collecting Traffic Information
1.0,Thermal Sensing
1.0,Guidance System
1.0,Interferometer Fiber Optic Gyroscopes
1.0,semiconductor Substrate
1.0,flexible Pipe Element
1.0,Low Profile Two-way Satellite Antenna System
1.0,radio Frequency Signature Augmentation System
1.0,dynamic Inventory Management
1.0,Bee Hives
1.0,Mounting Apparatus
1.0,on-wall Loudspeaker
1.0,personal Audio Assistant Device
1.0,Civilian Airspace
1.0,Flying Unmanned Aerial Vehicles
1.0,Cyclonic Wind Damage
1.0,positioning System
1.0,Provider Information Data Delivery
1.0,Verifying User
1.0,ultra-micro Gas Turbine
1.0,Digital Works
1.0,Virtual Environment
1.0,engine Transmission Carrier
1.0,Cardboard Packaging Materials
1.0,living Systems
1.0,flying Device
1.0,Improved Movement
1.0,Element Display
1.0,repeatably Displaceable
1.0,Drone System Controller
1.0,Programmable Dma Master
1.0,Automated Data Processing
1.0,Export Control Regimes
1.0,government Security Controls
1.0,Meeting U.s
1.0,NA
1.0,Entity Tracking
1.0,Privacy Assurance
1.0,zone Policy Administration
1.0,air Locomotion Method
1.0,Inflatable Wings(s)
1.0,Multi-purpose Aircraft
1.0,Air Reconnaissance
1.0,Target Designation
1.0,Launching Unmanned Missiles
1.0,Acoustic Data Transmission
1.0,Activation Means
1.0,confirmation System
1.0,Speech Recognition
1.0,Ethinyl Estradiol
1.0,Improved Bioavailability
1.0,Solid Dosage Forms
1.0,Global Enterprise Service Bus esb)
1.0,internet Relay Chat irc Framework
1.0,Honey Bees
1.0,stabilized Brood Pheromone
1.0,prognostic Condition Assessment Decision Aid
1.0,Drone Card Pci Bus
1.0,Receiving Test/debug Data
1.0,Test Via
1.0,compact Recirculating Lubrication System
1.0,Miniature Gas Turbine Engine
1.0,Hearing Damage Notification
1.0,Intervention Ii
1.0,ball Bearing
1.0,Carbon-carbon Cage
1.0,Gas Turbine Engines
1.0,starch Foam Microparticles
1.0,forced Premature Detonation
1.0,Improvised Explosive Devices Via Heavy Vibration
1.0,forced Premature Detonation
1.0,Improvised Explosive Devices Via Noise Print Simulation
1.0,forced Premature Detonation
1.0,Improvised Explosive Devices Via Chemical Substances
1.0,sound Absorbing Structure
1.0,Gas Turbine Engines
1.0,Race Bearing Lubrication System
1.0,bassimer Apparatus
1.0,forced Premature Detonation
1.0,Improvised Explosive Devices Via Laser Energy
1.0,Electromagnetic Energy
1.0,forced Premature Detonation
1.0,Improvised Explosive Devices Via
1.0,Inhibitory Control
1.0,Aerial Surveillance
1.0,cooling Apparatus
1.0,On-vehicle Electronic Device
1.0,ingestible Low Power Sensor Device
1.0,Simulation Data
1.0,Visualization Data
1.0,kinetic Energy Penetrator
1.0,passive Long Range Acoustic Sensor
1.0,Interplanetary Communications Network
1.0,remote Gateway Selection
1.0,Remote Gateways
1.0,Interplanetary Communications Network
1.0,Interplanetary Communications Network Backbone
1.0,Managing Interplanetary Communications Network
1.0,Interplanetary Communications Network
1.0,Atc Flight Plan
1.0,Flight Directives
1.0,Implementation Device
1.0,Real Time
1.0,image Stabilization System
1.0,passenger Air Transport
1.0,Terrorist Threats
1.0,NA
1.0,Content Analysis
1.0,information Infrastructure Management Tools
1.0,Method Therefor
1.0,Secure Storage
1.0,parallel Encryptor
1.0,3d Safe Emergency Descent Trajectory
1.0,Implementation Device
1.0,Control System
1.0,building Communities
1.0,Relative Motion
1.0,commercial Airliner Missile Protection
1.0,Formation Drone Aircraft
1.0,NA
1.0,Network Data
1.0,path Identification
1.0,optical Waveguide
1.0,Dynamic Grammar
1.0,Hearing Damage Notification
1.0,Aliasing-free Radial Velocity Spectrum
1.0,Matter Moving
1.0,Pulsed-wave Ultrasonography
1.0,electrical System
1.0,Unmanned Vehicles
1.0,Business Marketing System
1.0,Base Station
1.0,navigation Unit
1.0,Aircraft Barometric Altitude
1.0,Flying Object
1.0,body Capacitance Electric Field Powered Device
1.0,High Voltage Lines
1.0,spare Tire Dynamic Damper
1.0,NA
1.0,NA
1.0,Customer Deployments
1.0,False Positive Reputations
1.0,autonomous Vehicle Controller
1.0,Dimensioning Satellite Telecommunications
1.0,Quality Indicator
1.0,Providing Air-to-surface Reconnaissance
1.0,Ad Hoc Wireless Networks
1.0,Cluster Organizations
1.0,resource Management
1.0,terrain Avoidance System
1.0,Transport Aircraft
1.0,Acoustic Shielding
1.0,Internal Combustion Engine
1.0,protective Shield
1.0,Electronic System
1.0,electronics Package
1.0,rotorcraft Control System
1.0,computer Aided Ligand-based
1.0,Electrostatic Complementarity
1.0,Molecular Shape
1.0,Receptor-based Drug Design
1.0,Dpp-iv Inhibitor
1.0,Hypoglycemic Events
1.0,Cable Shape Measurement
1.0,smart Tether System
1.0,Underwater Navigation
1.0,armament Carriage System
1.0,Flight Plan
1.0,Horizontal Profile
1.0,Prescribed Vertical Flight Profile
1.0,Controlling Information
1.0,Compelling Stories Form Online Sources
1.0,Continuous Illumination
1.0,traffic Signal Lights Showing Dynamic Patterns
1.0,spatial Bandwidth Imaging
1.0,Structural Interiors
1.0,Attack Module
1.0,Initiation Control Device
1.0,Base Station Neighbor Lists
1.0,Base Station Neighbor Lists
1.0,Base Station
1.0,Base Station
1.0,Enhanced Directory Assistance Features
1.0,Virtual Reality Elements
1.0,External Devices
1.0,mobile Gaming
1.0,Multiplayer Games
1.0,Distributed User Databases
1.0,NA
1.0,Communication System
1.0,exclusion Zone Guidance Method
1.0,autonomous Outer Loop Control
1.0,Man-rated Fly-by-wire Aircraft
1.0,NA
1.0,speaker System
1.0,processing Overlapping Continuous Queries
1.0,proactive Optical Wind Shear Protection
1.0,Ride Quality Improvement System
1.0,seismic Sensor Transfer Device
1.0,Multiple Frequencies
1.0,Sonar Signals
1.0,NA
1.0,calculating Valence
1.0,Document Index
1.0,Controlling Video Streams
1.0,Sound-insulation Part
1.0,Aerial Image Data
1.0,Commodity Conditions
1.0,Automated Water Sampling Device
1.0,NA
1.0,energy Generation Apparatus
1.0,Magnetic Flux Switching
1.0,Aerial Vehicle
1.0,External Stores
1.0,Two External Stores
1.0,Ad-hoc Mobile Wireless Network
1.0,decentralized Media Access Control
1.0,Attack Module
1.0,Remote Control Device
1.0,Target Designator
1.0,fire Suppression Delivery System
1.0,Making Same
1.0,Jet Engine
1.0,Testing Performance
1.0,Launch Assembly
1.0,Unmanned Aerial Vehicle
1.0,torsional Vibration Damper
1.0,automatic Pilot Device
1.0,Instinctive Target Lock-on
1.0,paving System
1.0,bistatic Radiofrequency Device
1.0,Dynamic Network
1.0,Mobile Network Nodes
1.0,Speed Profile
1.0,NA
1.0,Automation Aids
1.0,complex Automated System
1.0,NA
1.0,Yaw Speed Order
1.0,NA
1.0,pneumatic Tire
1.0,Tire Noise
1.0,camouflage Patterns
1.0,Pulse Edge Synchronization
1.0,Airfoil Control Mechanism
1.0,Stabilizing Unmanned Aircraft
1.0,Mounting Apparatus
1.0,on-wall Loudspeaker
1.0,electroacoustic Transducer
1.0,folding Bar Chimes
1.0,check Valve Turbine
1.0,deep Model Statistics Method
1.0,Machine Translation
1.0,mobile Device
1.0,Electronic System
1.0,Around Obstacles
1.0,Flight Plans
1.0,Temporal Dimensions
1.0,curved Tooth Coupling
1.0,Miniature Gas Turbine Engine
1.0,pc-based Simulator Training System
1.0,NA
1.0,autonomous Outer Loop Control
1.0,Man-rated Fly-by-wire Aircraft
1.0,Artificial Satellite
1.0,Inertial Attitude
1.0,Systems Therefor
1.0,integrated Turbine Alternator/generator
1.0,aircraft Wing
1.0,Fuselage Structure
1.0,translational Optical Flow Sensor
1.0,Integrated Weapon Orientation
1.0,weapon Ball Stock
1.0,mobile Radiation Threat Identification System
1.0,Multimedia Interfaces
1.0,Radio Frequency Identification Sensing System
1.0,Automatic Guiding
1.0,Landing Phase
1.0,Positioning Aircraft
1.0,gas Turbine Engine
1.0,thermal Management System
1.0,digital Information Infrastructure
1.0,quick-change Visual Deception Systems
1.0,Providing Input
1.0,Sensor Pad
1.0,x-ray Inspection Trailer
1.0,Data Acquisition
1.0,Sensor/control Network
1.0,transducer Matrix Film
1.0,Electric Power Conversion
1.0,integrating Sphere Photovoltaic Receiver powersphere
1.0,Laser Light
1.0,robotic Vehicle Remote Control System
1.0,Virtual Operator Environment
1.0,crash Survivable Memory Unit
1.0,hybrid Positioning Method
1.0,Error Compensation
1.0,Aerial Vehicle
1.0,Removable Rotor Arm Assemblies
1.0,lighter-than-air Vehicle
1.0,sunroof Mounting Assembly
1.0,Specialized Elements
1.0,Musical Sculpture
1.0,Sequential Interactive Multimedia Environment
1.0,Teaching Musical Tempo
1.0,Activated Explosives
1.0,Detachable Unmanned Airborne Vehicles
1.0,dual-use Modular Propulsion Surveillance Vehicle
1.0,NA
1.0,Critical Event
1.0,NA
1.0,Common Payload
1.0,Multiple Aircraft
1.0,aircraft Wing
1.0,Dismountable Members
1.0,Altering Brain
1.0,Body Functions
1.0,Marine Vehicle
1.0,Altering Brain
1.0,Body Functions
1.0,multi-lumen Aspirator Device
1.0,fire Suppression Delivery System
1.0,fast Hybrid Helicopter
1.0,Long Range
1.0,Altitude Corrections
1.0,Automated Data Management
1.0,Decision Support Navigational System
1.0,Gps Dropsondes
1.0,Meteorological Data
1.0,Navigational Calculations
1.0,Unmanned Aircraft
1.0,Unmanned Aircraft's Flight Path
1.0,interactive Mobile Aquatic Probing
1.0,Surveillance System
1.0,Electrical Energy
1.0,Mechanical Energy
1.0,Front Matching Stereo Vision
1.0,Intangible Asset
1.0,Production Model
1.0,421 Tunsi-nippon Cognations
1.0,Analysis Systems
1.0,Path-map Generation Data Acquisition
1.0,Marine Vehicle
1.0,submarine Short-range Defense System
1.0,Controlling Movement
1.0,Game Objects
1.0,Airborne Launch
1.0,Isotropic Electrooptic Tensor
1.0,polarimetric Imaging System
1.0,Programmable Waveplates
1.0,six Rotor Helicopter
1.0,Gps-based Position
1.0,acoustic Sensor
1.0,database Event Driven Motion Systems
1.0,Aircraft Comprising Means
1.0,Associated Display Method
1.0,Final Destination
1.0,viewing Device
1.0,Flight Data Recorder
1.0,locator Beacon Disposed
1.0,Method Therefor
1.0,Making Stereo Pairs
1.0,stereo Pair
1.0,flywheel Arrangement
1.0,Internal Combustion Engine
1.0,NA
1.0,Real-time Environment Tracking
1.0,guide Glasses
1.0,hybrid Propulsive Engine
1.0,Least One
1.0,Rotatable Compressor Rotor
1.0,hybrid Propulsive Engine
1.0,Least One
1.0,Rotatable Turbine Stator
1.0,machine System
1.0,Operating Method
1.0,Work Area
1.0,Data Queries
1.0,Discontinuous Communications
1.0,computation-time-optimized Route Planning
1.0,Automated Water Sampling Device
1.0,computing-time-efficient Route Determination
1.0,Given Connecting Routes In-between
1.0,Several Preset Path Points
1.0,hybrid Propulsive Engine
1.0,Least One
1.0,Rotatable Compressor Stator
1.0,NA
1.0,Improvised Explosive Devices
1.0,remote Explosion
1.0,Aerial Roof Estimation
1.0,pitch Determination Systems
1.0,Fast Dense Stereoscopic Ranging
1.0,Radar Suppression
1.0,visual Camouflage
1.0,Aerial Roof Estimation
1.0,concurrent Display Systems
1.0,fuel Cell Stack
1.0,Lightweight Construction
1.0,spherical Two Stroke Engine System
1.0,blended Wing Body Unmanned Aerial Vehicle
1.0,hybrid Propulsive Engine
1.0,Least One
1.0,Rotatable Turbine Stator
1.0,Embossed Film
1.0,Fuel Bladder Assembly
1.0,User's Position
1.0,Aircraft Comprising Radio Navigation Beacon Display Means
1.0,Associated Method
1.0,viewing Device
1.0,Implantable Sensor Platform
1.0,Multiple Devices
1.0,Internetworked Wireless Integrated Network Sensors wins)
1.0,radiation-detecting Structures
1.0,multiple Receiver Line Deployment
1.0,Spam Hosts
1.0,automatic Flight Control Helicopter
1.0,Conducting Surfaces
1.0,wireless Energy Transfer
1.0,Magnetic Materials
1.0,wireless Energy Transfer
1.0,remote Optical Fiber Surveillance System
1.0,Detection Architecture
1.0,Membrane-proximal Domain
1.0,recombinant Viruses
1.0,Vsv G Protein
1.0,antidiabetic Oxazolidinediones
1.0,Reducing Botnet Activity
1.0,Activated Explosives
1.0,gimbal System
1.0,Game Machines
1.0,swarming Behavior
1.0,temperature Compensation
1.0,Wireless Transfer System
1.0,board Game
1.0,Electronic Positioning System
1.0,Feedback Control
1.0,Lighting Applications
1.0,wireless Energy Transfer
1.0,Communicating Users
1.0,Spontaneous Area Networks
1.0,non-planar Adaptive Wing Solar Aircraft
1.0,optical Image
1.0,fast Hybrid Helicopter
1.0,Lift Rotor
1.0,Long Range
1.0,fast Hybrid Helicopter
1.0,Long Range
1.0,Longitudinal Trim Control
1.0,Multiple Burn Zones
1.0,small Gas Turbine Engine
1.0,wireless Energy Transfer Resonator Enclosures
1.0,managing Non-destructive Evaluation Data
1.0,managing Non-destructive Evaluation Data
1.0,resonator Arrays
1.0,wireless Energy Transfer
1.0,360Âº Heads
1.0,computer-aided System
1.0,Safety/mission Critical Data
1.0,respiratory Biofeedback Devices
1.0,360 Degree Heads
1.0,computer-aided System
1.0,Safety/mission Critical Data
1.0,fuel Heating Apparatus
1.0,Content Encryption
1.0,Cloud Dispersal
1.0,Content Analysis
1.0,electromagnetic Pulse emp Hardened Information Infrastructure
1.0,Method Therefor
1.0,Secure Storage
1.0,infrared Emitter
1.0,Repeater Resonators
1.0,wireless Energy Transfer
1.0,resonator Optimizations
1.0,wireless Energy Transfer
1.0,wireless Energy Transfer Converters
1.0,Aerial Devices
1.0,Network Management Centers
1.0,Satellite Enhanced Command
1.0,Surveillance Services
1.0,Unmanned Land
1.0,tensile Structure
1.0,Airborne Launch
1.0,Criminal Apprehension Coordinated Improved System
1.0,Law Enforcement Evidence
1.0,personal Security
1.0,Hatch Door
1.0,detection Apparatus
1.0,Viral Infections
1.0,realtime Video Network
1.0,Site Location Control
1.0,sonic Boom Overpressure
1.0,Uncontrolled Movement
1.0,Home Automation
1.0,multi-function Sensor
1.0,unmanned Aerial Vehicle Communication
1.0,synergistic Pest-control Compositions
1.0,integrated Resonator-shield Structures
1.0,ic Power Plant
1.0,laundry Treatment Appliance
1.0,exhaust System
1.0,Internal Combustion Engine
1.0,Lateral Control
1.0,Hurricane Surveillance
1.0,Digital Audio Workstation
1.0,String-instrument Chord Grids
1.0,Chemical Detection
1.0,Sensor System
1.0,Honey Bees
1.0,Race-specific Ratios
1.0,stabilized Synthetic Brood Pheromone
1.0,coannular Ducted Fan
1.0,threat Analysis Toolkit
1.0,Interchangeable Function Bridge Modules
1.0,unmanned Vehicle Controller
1.0,Ground-laid Wire
1.0,Ultraviolet C-band Radiation
1.0,Personal Security Via Mobile Devices
1.0,camshaft Module
1.0,Cylinder Head
1.0,Internal Combustion Engine
1.0,interactive Multimedia Content Playback System
1.0,Low Loss
1.0,Object Positioning
1.0,wireless Energy Transfer
1.0,Field Shaping
1.0,High-q Resonators
1.0,wireless Energy Transfer
1.0,Field Shaping
1.0,wireless Energy Transfer
1.0,multifunction Aircraft Lidar
1.0,automatic Image
1.0,Safety Management
1.0,Threat Assessment
1.0,Anaerobic Fuel
1.0,Predetermined Deflagration
1.0,Passive Intermodulation
1.0,exhaust System
1.0,snap-action Valve
1.0,Locating Geophysical Anomalies
1.0,survey System
1.0,gnss Ultra-short Baseline Heading Determination System
1.0,pharmaceutically Useful Heterocycle-substituted Lactams
1.0,Avionics System
1.0,Representative Real-time Simulation
1.0,Non-destructive Real-time System
1.0,Physical Performance Capacity
1.0,Environmental Representation
1.0,Accurate Comparison
1.0,Software Items
1.0,Repeater Resonators
1.0,wireless Energy Transfer
1.0,Related Methods
1.0,sensor-based Mobile Search
1.0,semantic Space Configuration
1.0,active Protection
1.0,Peace Keeper
1.0,Droplet Actuator
1.0,Optical Waveguide Cable
1.0,unmanned Underwater Vehicle
1.0,crouse Oil Spill Response System
1.0,NA
1.0,Convergent Communications
1.0,NA
1.0,Part Social
1.0,Physical Entity Attribute Effects
1.0,Physical Environments
1.0,Service Input
1.0,Physical Attribute Status
1.0,Physical Entities
1.0,Receiving Selection
1.0,Social Network
1.0,Part Social
1.0,Physical Entity Attribute Effects
