row no,publication number,kind code,title,priority document,priority country,earliest priority date,earliest priority year,application date,publication date,publication year,applicant,inventors,ipc classes,family members,family size,family size,wo in family,grant or application type families,granted patent
146,WO1999063998,A1,NOVEL USE OF HIV PROTEASE INHIBITING COMPOUNDS,FR19980007373,France,1998-06-11T00:00:00Z,1998,1999-06-11T00:00:00Z,1999-12-16T00:00:00Z,1999,INSTITUT NATIONAL DE SANTE ET DE LA RECHERCHE MEDI | BIOMERIEUX,ANDRE PATRICE  FR  | LOTTEAU VINCENT  FR  | ZINKERNAGEL ROLF  CH  | KLENERMAN PAUL  GB  | GROETTRUP MARCUS  CH,A61K031425 | A61K03147,EP1083898A1 | FR2779653B1 | EP1083898B1 | FR2779653A1 | CA2334990A1 | AT314847T  | AU4049399A  | DE69929330T2 | US2003082207A1 | US6506555B1 | DE69929330D1 | EP1637139A3 | ES2258842T3 | EP1637139A2 | JP2002517441T ,12,10,Yes,Grant,Yes
147,WO1999064001,A2,METHODS AND COMPOSITIONS FOR INCREASING PENETRATION OF HIV PROTEASE INHIBITORS,GB19980012189,United Kingdom,1998-06-05T00:00:00Z,1998,1999-06-03T00:00:00Z,1999-12-16T00:00:00Z,1999,GSK LLC,BROUWER KENNETH RUSSELL  US  | POLLI JOSEPH WILLIAM  US,A61K03147 | A61K03134 | A61K031495 | A61K031425,EP1094814A2 | AU4505199A  | GB9812189D0 | JP2002517443T  | WO9964001A3,4,4,Yes,Application,No
148,WO1999065870,A2,SULFONAMIDE INHIBITORS OF ASPARTYL PROTEASE,US19980090094P,United States,1998-06-19T00:00:00Z,1998,1999-06-17T00:00:00Z,1999-12-23T00:00:00Z,1999,VERTEX PHARMA,SHERRILL RONALD GEORGE    US  | HALE MICHAEL R    US  | SPALTENSTEIN ANDREW    US  | FURFINE ERIC STEVEN    US  | ANDREWS CLARENCE WEBSTER III    US  | LOWEN GREGORY THOMAS    US,C07D24142 | C07D41306 | C07D21330 | C07C31149 | C07D41712 | C07D40712 | C07F0096561 | C07D31906 | C07D27730 | C07D30720 | C07C31148 | C07D30912 | C07D23532 | C07D23506 | C07D26502 | C07D30906 | C07D40512 | C07D24304 | C07D23526 | C07D49304 | C07D23530,ES2235492T3 | US2006172936A1 | AP200002023D0 | PT1086076E  | US2004097594A1 | AU2004200636A1 | EP1086076A1 | AU767728B2 | WO9965870A3 | AT285396T  | US6613743B2 | CA2335477A1 | OA11573A  | NO20006405A  | DE69922807D1 | NZ508855A  | EP1086076B1 | US2002049201A1 | NO20006405D0 | CA2335477C  | HK1037605A1 | BR9912169A  | AP1717A  | DK1086076T3 | US7419967B2 | NZ528074A  | AU4576099A  | DE69922807T2,21,16,Yes,Grant,Yes
149,WO1999066936,A1,"USE OF 3'-AZIDO-2',3'-DIDEOXYURIDINE IN COMBINATION WITH FURTHER ANTI-HIV DRUGS FOR THE MANUFACTURE OF A MEDICAMENT FOR THE TREATMENT OF HIV",US19980090552P,United States,1998-06-24T00:00:00Z,1998,1999-06-24T00:00:00Z,1999-12-29T00:00:00Z,1999,NOVIRIO PHARMACEUTICALS LIMITED,BRYANT MARTIN L  US  | MYERS MAUREEN W  US  | SCHINAZI RAYMOND  US,A61K03170,WO9966936A9 | US6194391B1 | JP2002518452T  | MXPA00012842A  | US2001009906A1 | US6602664B2 | JP2010280724A  | AU4716299A  | BR9911457A  | CA2335617A1 | EP1089741A1 | CA2335617C ,10,8,Yes,Grant,Yes
150,WO1999067417,A2,FITNESS ASSAY AND ASSOCIATED METHODS,US19980090393,United States,1998-06-23T00:00:00Z,1998,1999-06-23T00:00:00Z,1999-12-29T00:00:00Z,1999,"THE GOVERNMENT OF THE UNITED STATES OF AMERICA, AS REPRESENTED BY THE SECRETARY OF THE DEPARTMENT OF HEALTH AND HUMAN SERVICES NATIONAL INSTITUTES OF HEALTH",ERICKSON JOHN W    US  | GULNIK SERGEI V    US,G01N03315 | A61P03118 | A61P03704 | A61P04300 | C07D49304 | C12Q00137 | A61K0314525 | A61K03134 | C12Q00102,US2008085918A1 | US7470506B1 | JP2010088437A  | AT500823T  | WO9967254A2 | AU771780B2 | WO9967254A3 | EP1088098A2 | JP2002518063T  | US2005158713A1 | DE69943266D1 | AU4828099A  | CA2336160A1 | EP1088098B1 | WO9967417A3 | AU4828199A ,17,10,Yes,Grant,Yes
151,WO2000000475,A1,SUBSTITUTED QUINOLIN-2(1H)-ONES USEFUL AS HIV REVERSE TRANSCRIPTASE INHIBITORS,US19980091253P,United States,1998-06-30T00:00:00Z,1998,1999-06-25T00:00:00Z,2000-01-06T00:00:00Z,2000,BRISTOL MYERS SQUIBB PHARMA CO,PATEL MONA      | RODGERS JAMES D,C07D21554 | C07D215227 | C07D21522,US6265406B1 | CA2333643A1 | AU4719799A  | EP969185A1 | US6090821A  | JP2000034915A  | EP1091939A1,8,6,Yes,Grant,Yes
152,WO2000000478,A1,SUBSTITUTED QUINOXALIN-2(1H)-ONES USEFUL AS HIV REVERSE TRANSCRIPTASE INHIBITORS,US19980090893P,United States,1998-06-26T00:00:00Z,1998,1999-06-25T00:00:00Z,2000-01-06T00:00:00Z,2000,BRISTOL MYERS SQUIBB PHARMA CO,PATEL MONA      | MCHUGH ROBERT JOSEPH,C07D40506 | C07D40106 | C07D24144,AU4719699A  | EP1089979A1 | CA2334332A1,4,4,Yes,Application,No
153,WO2000000479,A1,"1,3-BENZODIAZEPIN-2-ONES AND 1,3-BENZOXAZEPIN-2-ONES USEFUL AS HIV REVERSE TRANSCRIPTASE INHIBITORS",US19980091252P,United States,1998-06-30T00:00:00Z,1998,1999-06-18T00:00:00Z,2000-01-06T00:00:00Z,2000,BRISTOL MYERS SQUIBB PHARMA CO,RODGERS JAMES D      | COCUZZA ANTHONY J,C07D40112 | C07D24304,CA2330110A1 | JP2003534230T  | EP1091944A1 | US6204262B1 | AU4698399A ,6,6,Yes,Grant,Yes
154,WO2000003998,A1,"SUBSTITUTED 6-BENZYL-4-OXOPYRIMIDINES, PROCESS FOR THEIR PREPARATION AND PHARMACEUTICAL COMPOSITIONS CONTAINING THEM",IT1998CA00015,Italy,1998-07-17T00:00:00Z,1998,1999-07-19T00:00:00Z,2000-01-27T00:00:00Z,2000,NOVIRIO PHARMACEUTICALS LIMITED,LA COLLA PAOLO    IT  | ARTICO MARINO    IT,C07D23952 | C07D23946 | C07D23936 | C07D23956,CN1309647A  | US6635636B1 | US2004092539A1 | IT1305313B1 | CA2338014A1 | AU5284899A  | BR9912142A  | AU2004200446A1 | ITCA980015A1 | AU20097712B2 | EP1098887A1,11,8,Yes,Grant,Yes
155,WO2000004016,A2,POLYMORPH OF A PHARMACEUTICAL,US19980119345,United States,1998-07-20T00:00:00Z,1998,1999-07-19T00:00:00Z,2000-01-27T00:00:00Z,2000,ABBOTT LAB,BAUER JOHN F      | SALEKI-GERHARDT AZITA      | NARAYANAN BIKSHANDARKOIL A      | CHEMBURKAR SANJAY R      | PATEL KETAN      | SPIWEK HARRY O      | BAUER PHILIP E      | ALLEN KIMBERLY A,A61P03118 | A61K031426 | A61P03704 | C07D27736 | C07D41712 | A61K031427 | C07D27730 | C07D27742 | C07D27740 | C07D27724 | C07D27728,PL194710B1 | EP1418174A2 | KR100853371B1 | EP2017269A9 | DK1097148T3 | CA2510949C  | IL140492D0 | AU5003799A  | JP2002520410T  | DE69915628D1 | IL187181D0 | SK922001A3 | CA2510949A1 | CA2337846C  | PL348033A1 | IL140492A  | PT1418174E  | EP1418174A3 | NZ522690A  | EP1418174B1 | AR044029A2 | AT261947T  | IL187181A  | BG65150B1 | EP1097148B1 | DE69915628T2 | ID27996A  | HU200103823A2 | CN101966180A  | HK1037918A1 | CZ298188B6 | SI1418174T1 | IL191582D0 | AR059764A2 | PT1097148E  | AU20077682B2 | SK200100092A3 | HU200103823A3 | ES2214038T3 | CN1502613A  | TR200100171T2 | DE69940616D1 | NZ509125A  | BR9912010A  | CN1310715A  | NO20042393A  | EP2017269A8 | AR059763A2 | EP1097148A2 | NO20010298A  | KR20060118022A  | TWI227713B  | BG105197A  | SK287586B6 | TWI271400B  | SK287381B6 | EP2298751A2 | ES2322759T3 | CA2337846A1 | EP2017269A2 | DK1418174T3 | CN101259128A  | CZ20010203A3 | SK286388B6 | AR049658A2 | NO20010298D0 | JP2010270135A  | SI1097148T1 | AT425974T  | CO5090830A1 | EP2017269A3 | NO318385B1 | BG109682A  | BG110080A  | NO327320B1 | CA2674800A1 | WO200004016A3 | CN1310715B ,54,28,Yes,Grant,Yes
156,WO2000004033,A1,"CALCIUM (3S) TETRAHYDRO-3-FURANYL(1S,2R)-3-[[(4-AMINOPHENYL) SULFONYL] (ISOBUTYL) AMINO] -1-BENZYL-2- (PHOSPHONOOXY) PROPYLCARBAMATE",GB19980015567,United Kingdom,1998-07-18T00:00:00Z,1998,1999-07-15T00:00:00Z,2000-01-27T00:00:00Z,2000,GSK LLC,ARMITAGE IAN GORDON    GB  | SEARLE ANDREW DAVID    GB  | SINGH HARDEV    GB,A61P03114 | A61P03118 | A61P03704 | A61P03112 | A61K03855 | A61K031665 | C07F009655,OA11706A  | IS5808A  | TR200100111T2 | NO329676B1 | HU200103432A2 | NO20010282D0 | EP1098898A1 | SK285311B6 | EP1098898B1 | TWI245770B  | SK762001A3 | DE69904600D1 | US2003096795A1 | AP200102039D0 | CA2337857A1 | IL140824D0 | JP2003521447T  | CZ300447B6 | PT1098898E  | SK200100076A3 | AU5037999A  | EP1240903A2 | HU200103432A3 | PL345620A1 | EA003191B1 | HR20010046A2 | SI1098898T1 | CA2337857C  | PL195736B1 | DE69904600T2 | SV1999000096A  | PA8477801A1 | NZ509291A  | DZ2845A1 | MA26660A1 | US2003100537A1 | ES2189450T3 | ZA200100417A  | CN1324363A  | NO20010282A  | GC0000105A  | DK1098898T3 | CN1188422C  | US6514953B1 | CZ20010219A3 | AT229964T  | HK1034261A1 | EP1240903A3 | EE200100038A  | AU766056B2 | JP3437553B2 | ID28070A  | GB9815567D0 | CO5090836A1 | BG105253A  | BR9912156A ,41,36,Yes,Grant,Yes
157,WO2000006143,A1,CHEMICALLY INDUCED INTRACELLULAR HYPERTHERMIA,US19980094286P,United States,1998-07-27T00:00:00Z,1998,1999-07-27T00:00:00Z,2000-02-10T00:00:00Z,2000,"ST. JUDE PHARMACEUTICALS, INC.",BACHYNSKY NICHOLAS    US  | ROY WOODIE    US,A61K04100 | A61K03106 | A61K03100,CA2337690A1 | US2010056643A1 | AU750313B2 | EP1098641A4 | US7635722B1 | EP1098641A1 | AU5131899A ,7,5,Yes,Grant,Yes
158,WO2000009150,A2,"CYTOKINE AND CYTOKINE RECEPTOR, AGONIST, ANTAGONIST AND/OR ANTIBODY COMBINATION FOR THERAPEUTIC USE",US19980096735P,United States,1998-08-17T00:00:00Z,1998,1999-08-17T00:00:00Z,2000-02-24T00:00:00Z,2000,PRENDERGAST PATRICK T,PRENDERGAST PATRICK T  IE,A61K03819 | A61K03820 | A61K039395 | A61K03855 | A61P03702 | A61P03300 | A61P03100 | A61P03500 | A61K03820 | 7A 61K 38:17 J | 7A 61K 31:495 J | A61K03819 | 7A 61K 38:17 K | 7A 61K 31:495 K | A61K039395 | 7A 61K 38:20 L | 7A 61K 31:495 L,WO200009150A3 | AU5297299A ,2,2,Yes,Application,No
159,WO2000010965,A2,QUATERNARY AMMONIUM SALTS AND THEIR USE,JP19970351480 ,Japan,1997-12-19T00:00:00Z,1997,1999-08-19T00:00:00Z,2000-03-02T00:00:00Z,2000,TAKEDA PHARMACEUTICAL COMPANY,SHIRAISHI MITSURU      | BABA MASANORI      | ARAMAKI YOSHIO      | NISHIMURA OSAMU      | KANZAKI NAOYUKI,C07C23362 | A61K031452 | A61K031351 | C07D33708 | C07D40712 | A61K031335 | A61K03167 | A61K0314523 | C07D31308 | C07D30914 | A61K0315377 | A61K031665,BR9813691A  | WO9932100A2 | AU1683199A  | WO200010965A3 | JP2000128782A  | JP2000055008A  | CA2337307A1 | AU5301599A  | CA2304959A1 | ID29994A  | JP3698552B2 | JP2000069084A  | US6172061B1 | JP3278616B2 | US6096780A  | AU748064B2 | NO20003179D0 | WO9932100A3 | US6376536B1 | ZA9811574A  | NO20003179A  | EP1104416A2 | EP1039899A2 | JP2000128842A  | US6268354B1 | HU200100199A2 | CN1282243A ,23,12,Yes,Grant,Yes
160,WO2000021514,A2,METHOD AND COMPOSITION FOR TREATING AND PREVENTING TUBERCULOSIS,US19980104409P,United States,1998-10-15T00:00:00Z,1998,1999-10-14T00:00:00Z,2000-04-20T00:00:00Z,2000,SARAWAK MEDICHEM PHARMACEUTICALS,XU ZE-QI  US  | LIN YUH-MEEI  US  | FLAVIN MICHAEL  US,A61K03100,US6268393B1 | AT233089T  | EP1143952A2 | DE69905616D1 | EP1143952B1 | ID29547A  | OA11666A  | EP1143952A3 | AP200102115D0 | US2001027209A1 | CN1334727A  | DE69905616T2 | WO200021514A3 | AU200017054A  | CA2346813A1,11,10,Yes,Grant,Yes
161,WO2000025784,A1,METHOD FOR IMPROVING THE PHARMACOKINETICS OF TIPRANAVIR,US19980106963P,United States,1998-11-04T00:00:00Z,1998,1999-10-29T00:00:00Z,2000-05-11T00:00:00Z,2000,UPJOHN CO.,FERRY JAMES J    US  | BALDWIN JOHN R    US  | BORIN MARIE T    US,A61K0314433 | A61K031427 | A61K03144 | A61P03118,CN1324237A  | CA2346131A1 | CN1154491C  | EP1126847A1 | AU762349B2 | JP2002528502T  | EP1712231A3 | EP1712231A2 | AU200014404A  | US6147095A  | TW580387B  | CO5160321A1 | HK1040625A1 | BR9914940A ,13,11,Yes,Grant,Yes
162,WO2000025799,A1,beta -L-2'-DEOXY-NUCLEOSIDES FOR THE TREATMENT OF HIV INFECTION,US19980107178P,United States,1998-11-05T00:00:00Z,1998,1999-11-05T00:00:00Z,2000-05-11T00:00:00Z,2000,L'UNIVERSITE MONTPELLIER II | EMORY UNIVERSITY | CENTRE NATIONAL DE LA RECHERCHE SCIENTIFQUE,GOSSELIN GILLES    FR  | IMBACH JEAN-LOUIS    FR  | SOMMADOSSI JEAN-PIERRE    US  | SCHINAZI RAYMOND F    US,C07H01906 | A61K0317052 | A61K0317042 | A61K0317064 | A61K0317068 | A61K0317072 | A61K03170 | A61P03118,AU2003261475A1 | AU200014691A  | US6896900B2 | JP2002528510T  | DE69930678D1 | BR9915037A  | IL142982A  | EP1124565A1 | MXPA01004505A  | ES2262366T3 | US2003036528A1 | IL142982D0 | EP1124565B1 | US6407077B1 | AU2003261475B2 | DE69930678T2 | AT321561T  | AU768059B2 | CA2348948C  | CA2348948A1,15,12,Yes,Grant,Yes
163,WO2000027196,A1,USE OF GM-CSF TO INHIBIT DEVELOPMENT OF DRUG RESISTANCE IN HIV<+> PATIENTS,US19980187784,United States,1998-11-06T00:00:00Z,1998,1999-10-22T00:00:00Z,2000-05-18T00:00:00Z,2000,SCHERING CORP,GILBERT MARK J  US,A01N03718 | A01N03816 | A01N04304 | A01N04390,AU763289B2 | EP1124418A1 | WO200027196A8 | EP1124418A4 | CA2349592A1 | NZ512040A  | WO200027196B1 | AU200012252A  | AU763289C  | JP2002529377T ,7,6,Yes,Application,No
164,WO2000033654,A1,"USE OF PROTEASE INHIBITORS TO MODULATE CELLULAR PATHWAYS, IMMUNITY AND THERAPIES ASSOCIATED THEREWITH",US19980110893P,United States,1998-12-04T00:00:00Z,1998,1999-12-03T00:00:00Z,2000-06-15T00:00:00Z,2000,UNIVERSITY OF MARYLAND BIOTECHNOLOGY INSTITUTE,WEICHOLD FRANK F    | BRYANT JOSEPH L    | GALLO ROBERT C,A01N03718 | A01N04304 | A61K03170 | A61K03800 | A61K03848,AU200019309A ,2,2,Yes,Application,No
165,WO2000035419,A2,CONVERSION OF LIQUID FILLED GELATIN CAPSULES INTO CONTROLLED RELEASE SYSTEMS BY MULTIPLE COATINGS,US19980112634P,United States,1998-12-17T00:00:00Z,1998,1999-12-10T00:00:00Z,2000-06-22T00:00:00Z,2000,"ENCINAL PHARMACEUTICAL INVESTMENTS, LLC",DONG LIANG C      | WAN JASON      | WONG PATRICK S-L,A61K00900,US2002155154A1 | AU20097659C  | CA2354472C  | JP2002532406T  | EP1140012A2 | AU20097659B2 | HU200104721A2 | CO5271648A1 | US6419952B2 | AT260642T  | IL143691D0 | PT1140012E  | IL143691A  | DE69915346T2 | NO20012959D0 | ES2213404T3 | MXPA01006108A  | NZ512410A  | US6929803B2 | US2001036472A1 | DK1140012T3 | CN1161101C  | CA2354472A1 | EP1140012B1 | DE69915346D1 | HK1040632A1 | ZA200104928A  | NO20012959A  | HU200104721A3 | AU200021994A  | CN1331580A  | WO200035419A3,22,20,Yes,Grant,Yes
166,WO2000035472,A2,CYTOKINE COMBINATION THERAPY,US19980109923P,United States,1998-11-24T00:00:00Z,1998,1999-12-15T00:00:00Z,2000-06-22T00:00:00Z,2000,HOLLIS EDEN PHARMACEUTICALS,PRENDERGAST PATRICK T   IE,A61K03817 | A61K039395 | A61P03704 | A61K03817 | 7A 61K 31:56 J | A61K039395 | 7A 61K 31:56 K,CN1328463A  | EP1163256A1 | AU775614B2 | ES2215631T3 | US2005282732A1 | EP1163256B1 | DE60008353T2 | AU2004237812B2 | AU2004237812A1 | AU2005211675B2 | RU2001128881A  | NZ511721A  | EP2135611A1 | WO200032177A2 | US2006079492A1 | AP200102285D0 | US7524835B2 | WO200130802A3 | DK1163256T3 | AU782736B2 | AU200017453A  | RU2295534C2 | NO20014588D0 | HK1046002A1 | EP1133287A2 | JP2004537506T  | AU2008255138A1 | AU776853B2 | AU2005237117B2 | EP1223941A2 | US2011009372A1 | US2010222313A1 | CA2352387A1 | WO200056757A1 | US2007275936A1 | CA2365081A1 | AU200015797A  | AU200039190A  | US2008176824A1 | US2005159366A1 | TWI262924B  | WO200032177A3 | OA11715A  | CA2388939C  | US2003083231A1 | DE60008353D1 | EP1135138A2 | AP200102182D0 | OA11850A  | IL142941D0 | IL142942A  | EP1372664A1 | US2008045490A1 | ID29864A  | US7723532B2 | CN1837231A  | WO200032201A3 | NZ513803A  | WO200032176A2 | JP2002531407T  | US7396827B2 | AU2008201188B2 | WO200032201A2 | AU200079880A  | ZA200103852A  | ZA200306638A  | WO200032176A3 | CZ20013420A3 | ZA200106980A  | US2004097406A1 | CA2388939A1 | CA2356539A1 | AU2005237117A1 | JP2002531397T  | AU2008255138A2 | EP1422234A3 | NO320801B1 | AP1584A  | NZ511720A  | BR9915623A  | AU2008255138B2 | CN1243767C  | KR20070007394A  | BR200009476A  | WO2002069977A1 | PT1163256E  | AU200019235A  | CA2352205A1 | EP1223941B1 | US2004116359A1 | JP2002540119T  | CN1348373A  | US2006063749A1 | BR9915644A  | US2008015174A1 | US2003060425A1 | IL142942D0 | NO20014588A  | US2010222425A1 | US2009215737A1 | HU200203429A2 | AU200031052A  | AP200102167D0 | ZA200103845A  | US2007129282A1 | CN1355809A  | JP2003512474T  | AU2008201188A1 | AT413179T  | EP1422234A2 | WO200035472A3 | US2004220161A1 | WO200130802A2 | US2004043973A1 | US6667299B1 | IL144916D0 | CA2439687A1 | HU200203429A3 | US2005075321A1 | US2004220114A1 | OA11716A  | AU781997B2 | AU2005211675A1 | US2005256095A1 | KR20070004149A  | DE60040753D1 | NO20056167A  | AT259825T  | AU2002244247B2,99,25,Yes,Grant,Yes
167,WO2000037455,A1,"BENZOTHIEPIN-ANILIDE DERIVATIVES, THEIR PRODUCTION AND THEIR USE FOR ANTAGONIZING CCR-5",JP19980363404,Japan,1998-12-21T00:00:00Z,1998,1999-12-20T00:00:00Z,2000-06-29T00:00:00Z,2000,TAKEDA PHARMACEUTICAL COMPANY,SHIRAISHI MITSURU    JP  | BABA MASANORI    JP  | SETO MASAKI    JP  | KANZAKI NAOYUKI    JP  | NISHIMURA OSAMU    JP,C07D33506 | A61K031535 | A61K03152 | C07D40914 | C07F0096553 | A61K031495 | A61P03500 | A61K03155 | C07D40912 | C07D33708 | A61K03855 | A61K04506,AU200016901A  | US6235771B1 | CA2353635A1 | JP2001058988A  | EP1140896A1,6,6,Yes,Grant,Yes
168,WO2000038650,A1,GASTRIC RETENTION DOSAGE FORM HAVING MULTIPLE LAYERS,US19980113560P,United States,1998-12-23T00:00:00Z,1998,1999-12-16T00:00:00Z,2000-07-06T00:00:00Z,2000,"ENCINAL PHARMACEUTICAL INVESTMENTS, LLC",EDGREN DAVID E    | JAO FRANCISCO    | WONG PATRICK S-L,A61K00900,AU200021995A  | US2005019409A1 | US6797283B1,4,3,Yes,Grant,Yes
169,WO2000038679,A1,TREATMENT OF RETROVIRAL INFECTIONS WITH OXYPHENBUTAZONE,GB19980028548,United Kingdom,1998-12-23T00:00:00Z,1998,1999-12-23T00:00:00Z,2000-07-06T00:00:00Z,2000,VIRAL AS,TJOETTA ENOK  NO  | KLAVENESS JO  NO,A61K031415 | A61K031495 | A61P03118 | A61K031415 | 7A 61K 31:495 J,ZA200104402A  | JP2002533392T  | GB9828548D0 | AU200018793A  | CA2352423A1 | EP1140075A1,6,6,Yes,Application,No
170,WO2000038680,A1,AZABICYCLOALKANES AS CCR5 MODULATORS,GB19980028420,United Kingdom,1998-12-23T00:00:00Z,1998,1999-12-23T00:00:00Z,2000-07-06T00:00:00Z,2000,PFIZER,ARMOUR DUNCAN ROBERT    GB  | PRICE DAVID ANTHONY    GB  | STAMMEN BLANDA LUZIA CHRISTA    GB  | WOOD ANTHONY    GB  | PERROS MANOUSSOS    GB  | EDWARDS MARTIN PAUL    GB,G01N03350 | G01N03315 | A61K031496 | A61P04300 | A61P01100 | A61K031547 | G01N033566 | A61K031551 | A61K0317064 | A61K031439 | A61K031426 | C07D48722 | A61K04500 | A61K0314184 | A61K03821 | A61K0314709 | A61K0315386 | A61K03152 | A61K03147 | C07D51308 | C07D40104 | C07D41304 | C07D41314 | C07D21158 | C07D49808 | C07D45104 | A61K04506 | C07D20714 | A61P03118 | C07D40514 | C07D45102 | C07D40512 | C07D40112 | C07D40304 | A61K031445 | A61K03146,EP1140085A1 | IL143510D0 | CA2292984C  | AU769449B2 | JP2002533393T  | PL349091A1 | IS5941A  | TW577888B  | NO20013183A  | US7041667B1 | AU200012904A  | CZ20012298A3 | GC0000117A  | CN1331691A  | JP3602795B2 | EE200100344A  | HU200104910A2 | EG24400A  | OA11735A  | DZ2978A1 | BG105709A  | AP1697A  | UA72750C2 | TR200101867T2 | MA26715A1 | JP3779111B2 | HU200104795A3 | NO20013149D0 | PL201875B1 | BR9905977A  | AU763644B2 | ZA200104211A  | NO20013183D0 | EP1140085B1 | ID29031A  | CN1150192C  | EA004988B1 | ID28965A  | UY25869A1 | TR200101793T2 | CZ300926B6 | TR200200938T2 | OA11732A  | HR20010468A2 | CA2350073C  | EP1013276A1 | DZ2979A1 | BR9916585A  | CA2292984A1 | GB9922702D0 | HK1039942A1 | JP2000212159A  | AP200102186D0 | CZ20012297A3 | GB9922009D0 | HU200104795A2 | NZ511796A  | BG105721A  | WO200039125A1 | NO20013149A  | EE05170B1 | ZA200104254A  | CA2350573C  | PL349495A1 | PA8488101A1 | IL143512D0 | GB9828420D0 | IS5944A  | AT505190T  | CA2350573A1 | EE200100345A  | BR9917007A  | JP3522691B2 | JP2002533461T  | PA8487201A1 | CN1331591A  | HR20010478A2 | SK287020B6 | AU200016751A  | HU200104910A3 | CU23344A3 | NZ511794A  | EP1140920A1 | GB9921375D0 | AP200102187D0 | CA2350073A1 | US6586430B1 | SK200100876A3 | BG65448B1 | JP2004099618A  | MA26714A1 | SK200100875A3 | CO5300387A1 | US7217714B1,75,38,Yes,Grant,Yes
171,WO2000039143,A2,ANTIVIRAL NUCLEOSIDE ANALOGUES,US19980113797P,United States,1998-12-23T00:00:00Z,1998,1999-12-22T00:00:00Z,2000-07-06T00:00:00Z,2000,BIOCHEM PHARMA INC,NGUYEN-BA NGHE    CA,C07D47316 | A61K0317068 | A61K03152 | A61K031506 | A61K04500 | A61P03112 | A61P03118 | C07D47300 | C07H01916 | C07B06100,DK1140937T3 | NO20013163D0 | NZ513094A  | PT1140937E  | IL143867D0 | UY25878A1 | US2001049372A1 | AU760875B2 | TR200102501T2 | WO200039143A3 | EP1140937B1 | NO20013163A  | BR9916849A  | OA11741A  | CN1334814A  | AP200102207D0 | MXPA01006425A  | CA2355712C  | ZA200105702A  | US6545001B2 | CN1117751C  | DE69912842T2 | EA004767B1 | AU200017657A  | DE69912842D1 | US6358963B1 | CA2355712A1 | EP1140937A2 | AR029153A1 | US2004058893A1 | ID30477A  | HU200104827A2 | JP2002533470T  | CZ20012352A3 | ES2209532T3 | AT254126T  | HU200104827A3,28,24,Yes,Grant,Yes
172,WO2000040269,A2,PHARMACEUTICAL COMPOSITIONS FOR TREATMENT OF DISEASED TISSUES,US19990114906P,United States,1999-01-05T00:00:00Z,1999,2000-01-05T00:00:00Z,2000-07-13T00:00:00Z,2000,LEE CLARENCE C | LEE FENG MIN,LEE CLARENCE C  US  | LEE FENG-MIN  US,A61K04506 | A61K03568 | A61K031665 | A61K00900 | A61K03820 | A61K03804 | A61K04710 | A61K03814 | A61K03818,AU200034694A  | WO200040269A3,2,2,Yes,Application,No
173,WO2000042060,A1,BIS-AMINO ACID SULFONAMIDES CONTAINING N-TERMINALLY A SUBSTITUTED BENZYL GROUP AS HIV PROTEASE INHIBITORS,US19990115746P,United States,1999-01-13T00:00:00Z,1999,2000-01-13T00:00:00Z,2000-07-20T00:00:00Z,2000,BRISTOL MYERS SQUIBB PHARMA CO,KALTENBACH ROBERT F      | TRAINOR GEORGE L,C07K005062 | A61K03805 | A61P03118,CN1336934A  | JP2002536298T  | IL143763D0 | CZ20012435A3 | PL349774A1 | SK9522001A3 | HU200105235A3 | HU200105235A2 | NO20013338D0 | EP1140983A1 | NO20013338A  | TR200102033T2 | SK200100952A3 | AU200027257A  | CA2353088A1 | BR200007854A ,13,13,Yes,Application,No
174,WO2000043017,A1,COMPOSITION OF ANTI-HIV DRUGS AND ANTI-CORTISOL COMPOUNDS AND METHOD FOR DECREASING THE SIDE EFFECTS OF ANTI-HIV DRUGS IN A HUMAN,US19990234532,United States,1999-01-21T00:00:00Z,1999,2000-01-20T00:00:00Z,2000-07-27T00:00:00Z,2000,SAMARITAN PHARMACEUTICALS INC.,SAPSE ALFRED T,A61K03170,US2005085464A1 | AU200026206A  | US7354906B2,3,3,Yes,Grant,Yes
