applicants_organisations_only, applicants_use_me, cited_count, cpc_codes_useme, dois, extended_family_size, inventors_useme, ipc_codes, ipc_short, ipc_subclass, non_patent_citations, priority_country_code, priority_country_name, priority_numbers, priority_year, publication_country_code, publication_country_name, publication_date, publication_number, publication_year, title, title_phrases, url
"CGG SERVICES SA","CGG SERVICES SA","0","G01V1/168; G01V1/20; G01V1/24","","5","BIANCHI THOMAS; GRIMSDALE JONATHAN; POSTEL JEAN-JACQUES","G01V1/16","Geophysics","G01V: Physics -> Measuring; Testing -> Geophysics; Gravitational Measurements; Detecting Masses Or Objects; Tags","","US","United States of America","US 201361810403 P","2013","CA","Canada","2014-10-16","CA 2908563 A1","2014","Drone Seismic Sensing Method And Apparatus","drone Seismic Sensing Method","https://lens.org/181-331-132-258-901"
"","FERNANDES ROOSEVELT A","0","G01R15/14; G05D1/0038; H02G1/02","","2","FERNANDES ROOSEVELT A","G01R15/14; G05D1/00; H02G1/02","Measuring; Control Systems; Generating Electricity","G01R: Physics -> Measuring; Testing -> Measuring Electric Variables; Measuring Magnetic Variables; G05D: Physics -> Controlling; Regulating -> Systems For Controlling Or Regulating Non-Electric Variables; H02G: Electricity -> Generation, Conversion, Or Distribution Of Electric Power -> Installation Of Electric Cables Or Lines, Or Of Combined Optical And Electric Cables Or Lines","","CA; US","Canada; United States of America","CA 594383 A; US 9515287 A","1987; 1989","CA","Canada","1994-3-22","CA 1328009 C","1994","Monitoring System For Power Lines And Right-of-way Using Remotely Piloted Drone","Power Lines","https://lens.org/040-831-729-601-854"
"LICENTIA GMBH","LICENTIA GMBH","0","H02K1/185","","3","DR JORDAN HEINZ PROF ING; DR STAIGER ADOLF ING; FREISE WERNER DIPL ING","H02K1/18","Generating Electricity","H02K: Electricity -> Generation, Conversion, Or Distribution Of Electric Power -> Dynamo-Electric Machines","","DE","Germany","DE L0038369 A","1961","CH","Switzerland","1966-4-15","CH 411111 A","1966","Elektrische Maschine Mit Federnden Verbindungselementen Zwischen Dem StÃ¤nderblechpaket Und Dem GehÃ¤use","elektrische Maschine Mit Federnden Verbindungselementen Zwischen Dem StÃ¤nderblechpaket Und Dem GehÃ¤use","https://lens.org/110-968-654-664-045"
"","","0","G06F17/509; G06Q10/04","","4","","G06F17/50; G06Q10/00","Computing","G06F: Physics -> Computing; Calculating; Counting -> Electric Digital Data Processing; G06Q: Physics -> Computing; Calculating; Counting -> Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes; Systems Or Methods Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes, Not Otherwise Provided For","","DE","Germany","DE 2139038 A","1971","CH","Switzerland","1974-1-31","CH 545515 A","1974","CH 545515 A","CH 545515","https://lens.org/112-215-403-365-653"
"HONEYWELL INT INC","HONEYWELL INT INC","0","F15C3/14; G01D5/46","","2","HAUGEN RICHARD D","F15C3/14; G01D5/46","Fluid Pressure Actuators; Measuring","F15C: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Fluid-Pressure Actuators; Hydraulics Or Pneumatics In General -> Fluid-Circuit Elements Predominantly Used For Computing Or Control Purposes; G01D: Physics -> Measuring; Testing -> Measuring Not Specially Adapted For A Specific Variable; Arrangements For Measuring Two Or More Variables Not Covered By A Single Other Subclass; Tariff Metering Apparatus; Transferring Or Transducing Arrangements Not Specially Adapted For A Specific Variable; Measuring Or Testing Not Otherwise Provided For","","US","United States of America","US 29207781 A","1981","CH","Switzerland","1986-10-31","CH 658315 A5","1986","Pneumatische Prallplatten-duesenanordnung.","pneumatische Prallplatten-duesenanordnung","https://lens.org/177-958-046-627-090"
"MITSUBISHI ELECTRIC CORP","MITSUBISHI ELECTRIC CORP","0","B23H1/022","","8","KINBARA YOSHIHIDE; OGAWA HAJIME; TANEDA ATSUSHI; UEMOTO KAZUHIKO","B23H1/02","Tools","B23H: Performing Operations; Transporting -> Machine Tools; Metal-Working Not Otherwise Provided For -> Working Of Metal By The Action Of A High Concentration Of Electric Current On A Workpiece Using An Electrode Which Takes The Place Of A Tool; Such Working Combined With Other Forms Of Working Of Metal","","JP","Japan","JP 19640193 A; JP 30883092 A","1992; 1993","CH","Switzerland","2001-1-15","CH 690754 A5","2001","EnergieversorgungsgerÃ¤t FÃ¼r Eine Funkenerosionsmaschine.","energieversorgungsgerÃ¤t FÃ¼r Eine Funkenerosionsmaschine","https://lens.org/124-909-730-849-075"
"BEIJING TECHNOLOGY UNIV","BEIJING TECHNOLOGY UNIV","0","","","2","ZHANG XUSHENG ZHOU","G01M11/00; H04N5/335; H04N5/341; H04N5/369; H04N5/3745","Testing; Electric Communication/Television","G01M: Physics -> Measuring; Testing -> Testing Static Or Dynamic Balance Of Machines Or Structures; Testing Of Structures Or Apparatus, Not Otherwise Provided For; H04N: Electricity -> Electric Communication Technique -> Pictorial Communication, E.G. Television","","CN","China","CN 200710063161 A","2007","CN","China","2007-8-29","CN 101025382 A","2007","Random Pattern Measuring Method For Statistic Modulation Transfer Function","random Pattern; Statistic Modulation Transfer Function","https://lens.org/004-558-783-430-03X"
"UNIV BEI HANG","UNIV BEI HANG","7","G06K2209/40; G06K9/209; G06T2207/10012; G06T7/002; G06T7/0075","","4","ZHANG GUANGJUN SUN","G01B11/24; G01C11/04; G01C11/36","Measuring","G01B: Physics -> Measuring; Testing -> Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours; G01C: Physics -> Measuring; Testing -> Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry","","CN","China","CN 200710099771 A","2007","CN","China","2007-10-17","CN 101055177 A","2007","Double Surface Drone Based Flow Type Tri-dimensional Visual Measurement Splicing Method","double Surface Drone Based Flow Type Tri-dimensional Visual Measurement Splicing Method","https://lens.org/160-332-802-111-013"
"ZHUHAI XINGYU MODEL IND CO LTD","ZHUHAI XINGYU MODEL IND CO LTD","5","","","2","FUSHENG ZHANG; WANGXING HE; XIAODONG TAN","B64F1/04","Aircraft","B64F: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Ground Or Aircraft-Carrier-Deck Installations Specially Adapted For Use In Connection With Aircraft; Designing, Manufacturing, Assembling, Cleaning, Maintaining Or Repairing Aircraft, Not Otherwise Provided For","","CN","China","CN 200610035763 A","2006","CN","China","2007-12-5","CN 101081638 A","2007","Unmanned Aerial Plane Launching System And Method","unmanned Aerial Plane Launching System","https://lens.org/101-019-904-282-437"
"ZHUHAI XINGYU MODEL IND CO LTD","ZHUHAI XINGYU MODEL IND CO LTD","2","","","2","FUSHENG ZHANG; WANGXING HE; XIAODONG TAN","B64F1/04","Aircraft","B64F: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Ground Or Aircraft-Carrier-Deck Installations Specially Adapted For Use In Connection With Aircraft; Designing, Manufacturing, Assembling, Cleaning, Maintaining Or Repairing Aircraft, Not Otherwise Provided For","","CN","China","CN 200610035764 A","2006","CN","China","2007-12-5","CN 101081639 A","2007","Ejecting System Applied For Unmanned Aerial Plane Launching System","unmanned Aerial Plane Launching System","https://lens.org/161-615-585-134-193"
"INST RADIATION MED AMMS PLA","INST RADIATION MED AMMS PLA","0","","","1","BO XIAOCHEN; RUXIAN LIN; SHAOKE LOU; SHENGQI WANG","A61K48/00; A61P37/08; A61P43/00; C07H21/04; C12N15/113","Medical; Organic Chemistry; Biochemistry","A61K: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Preparations For Medical, Dental, Or Toilet Purposes; A61P: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Specific Therapeutic Activity Of Chemical Compounds Or Medicinal Preparations; C07H: Chemistry; Metallurgy -> Organic Chemistry -> Sugars; Derivatives Thereof; Nucleosides; Nucleotides; Nucleic Acids; C12N: Chemistry; Metallurgy -> Biochemistry; Beer; Spirits; Wine; Vinegar; Microbiology; Enzymology; Mutation Or Genetic Engineering -> Micro-Organisms Or Enzymes; Compositions Thereof; Propagating, Preserving, Or Maintaining Micro-Organisms; Mutation Or Genetic Engineering; Culture Media","","CN","China","CN 200610091034 A","2006","CN","China","2008-1-16","CN 101104632 A","2008","Antisense Oligonucleotide Using Apoptosis Gene Caspase-4 As Drone And Use Thereof","antisense Oligonucleotide; Apoptosis Gene Caspase-4","https://lens.org/020-451-654-128-58X"
"UNIV TIANJIN","UNIV TIANJIN","2","","","2","CHANGKU SUN; SHAN CHEN; XIAODONG ZHANG","H04N17/00","Electric Communication/Television","H04N: Electricity -> Electric Communication Technique -> Pictorial Communication, E.G. Television","","CN","China","CN 200610014481 A","2006","CN","China","2008-1-2","CN 101098492 A","2008","Method For Determining Drone Target Topological Relation And Camera Calibration Target Capable Of Disposing Arbitrarily","Camera Calibration Target; Determining Drone Target Topological Relation","https://lens.org/142-282-086-630-422"
"UNIV ZHEJIANG","UNIV ZHEJIANG","5","","","2","CHENGUANG ZHOU; HUANG XIN; YIYU CHENG","C12Q1/18; G01N15/10; G01N21/64","Biochemistry; Measuring","C12Q: Chemistry; Metallurgy -> Biochemistry; Beer; Spirits; Wine; Vinegar; Microbiology; Enzymology; Mutation Or Genetic Engineering -> Measuring Or Testing Processes Involving Enzymes Or Micro-Organisms; Compositions Or Test Papers Therefor; Processes Of Preparing Such Compositions; Condition-Responsive Control In Microbiological Or Enzymological Processes; G01N: Physics -> Measuring; Testing -> Investigating Or Analysing Materials By Determining Their Chemical Or Physical Properties","","CN","China","CN 200710156505 A","2007","CN","China","2008-3-26","CN 101149327 A","2008","Antineoplastic Drug Evaluation And Screening Method Based On Cell Microscopic Image Information","antineoplastic Drug Evaluation; Cell Microscopic Image Information; Screening Method","https://lens.org/163-552-771-048-245"
"UNIV SHANGHAI FISHERIES","UNIV SHANGHAI FISHERIES","2","","","1","CHUNHUA XU; WENJUN WANG","A61K35/64; A61K35/644; A61K36/481; A61K9/19; A61K9/48; A61P1/14; A61P39/06","Medical","A61K: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Preparations For Medical, Dental, Or Toilet Purposes; A61P: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Specific Therapeutic Activity Of Chemical Compounds Or Medicinal Preparations","","CN","China","CN 200610116537 A","2006","CN","China","2008-4-2","CN 101152239 A","2008","Technique Of Preparing Drone Pupa Freeze-dried Powder Medicinal Granules And Capsule","Drone Pupa Freeze-dried Powder Medicinal Granules","https://lens.org/190-063-682-306-283"
"UNIV BEIJING","UNIV BEIJING","0","","","2","DALONG MA; HUI FAN; JING WANG; LU WANG; YANG CUI","A61K38/17; A61K39/395; A61P35/00","Medical","A61K: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Preparations For Medical, Dental, Or Toilet Purposes; A61P: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Specific Therapeutic Activity Of Chemical Compounds Or Medicinal Preparations","","CN","China","CN 200610113621 A","2006","CN","China","2008-4-16","CN 101161283 A","2008","New Use Of Cmtm1-v17 And Its Antagon","new Use","https://lens.org/139-485-851-113-222"
"INST OF ROCK & SOIL MECH CAS","INST OF ROCK & SOIL MECH CAS","6","","","2","WEI REN; XIAOCHUN LI; XUEFEI DU","G01B11/00; G01B11/03; G01C11/00; G01C11/02; G01C11/04","Measuring","G01B: Physics -> Measuring; Testing -> Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours; G01C: Physics -> Measuring; Testing -> Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry","","CN","China","CN 200710168657 A","2007","CN","China","2008-6-18","CN 101201248 A","2008","Avigation Close Range Photography Displacement Measurement System Based On Unmanned Aerial Vehicle As Well As Measurement Method Thereof","avigation Close Range Photography Displacement Measurement System; Measurement Method; Unmanned Aerial Vehicle","https://lens.org/127-920-429-213-824"
"UNIV BEI HANG","UNIV BEI HANG","10","","","2","GUANGJUN ZHANG; JUNHUA SUN; ZHEN YANG; ZHENZHONG WEI; ZIYAN WU","G01B11/00; G01C11/02; G06T7/00","Measuring; Computing","G01B: Physics -> Measuring; Testing -> Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours; G01C: Physics -> Measuring; Testing -> Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry; G06T: Physics -> Computing; Calculating; Counting -> Image Data Processing Or Generation, In General","","CN","China","CN 200810102978 A","2008","CN","China","2008-9-10","CN 101261738 A","2008","A Camera Marking Method Based On Double 1-dimension Drone","Camera Marking Method; Double 1-dimension Drone","https://lens.org/086-310-970-472-898"
"CHANGCHUN AOPU OPTO ELECTRONIC","CHANGCHUN AOPU OPTO ELECTRONIC","3","","","1","JIANZHONG SONG; JINGHONG LIU; MING DAI","G01C25/00","Measuring","G01C: Physics -> Measuring; Testing -> Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry","","CN","China","CN 200710055586 A","2007","CN","China","2008-10-29","CN 101294823 A","2008","Method For Multi-load Photoelectric Tracking Equipment Self-adjusting Two Light Axes To Be Parallel","Multi-load Photoelectric Tracking Equipment Self-adjusting Two Light Axes","https://lens.org/031-501-863-774-352"
"SHANGHAI INST BIOL SCIENCES","SHANGHAI INST BIOL SCIENCES","1","","","1","HAIBO WANG; JIANGUO GENG; JINTAO WANG; LEI ZHANG; MING CHEN; TAO XU; WEILI XU","G01N33/15; G01N33/53; G01N33/68","Measuring","G01N: Physics -> Measuring; Testing -> Investigating Or Analysing Materials By Determining Their Chemical Or Physical Properties","","CN","China","CN 200710041403 A","2007","CN","China","2008-12-3","CN 101315385 A","2008","Drone For Inflammation And Thrombus Medicament, And Medicament Aiming At The Same","Thrombus Medicament","https://lens.org/062-849-650-651-983"
"UNIV CHONGQING JIAOTONG","UNIV CHONGQING JIAOTONG","6","","","2","JIANTING ZHOU; ZHANGLI LAN; ZIXUE DU","G01B11/02; G01B11/16; G01C15/00","Measuring","G01B: Physics -> Measuring; Testing -> Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours; G01C: Physics -> Measuring; Testing -> Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry","","CN","China","CN 200810070076 A","2008","CN","China","2009-1-7","CN 101339003 A","2009","Great Structure Horizontal Two-dimensional Displacement Automatic Measuring Equipment And Method","great Structure Horizontal Two-dimensional Displacement Automatic","https://lens.org/059-844-476-210-427"
"","HUILIAN TANG","0","","","1","HUILIAN TANG; HUIXIN TANG; LI YANG; SHUO TANG; YUEHUA CHEN; ZHENDONG LEI","A01M7/00","Agriculture","A01M: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Catching, Trapping Or Scaring Of Animals; Apparatus For The Destruction Of Noxious Animals Or Noxious Plants","","CN","China","CN 200810032107 A","2008","CN","China","2009-1-7","CN 101336628 A","2009","Rack Type Sprayer For Power-driven Walking","Power-driven Walking; rack Type Sprayer","https://lens.org/117-321-544-390-546"
"","HUILIAN TANG","0","","","1","HUILIAN TANG; JIANQUN LIAO; YUEHUA CHEN; ZHENDONG LEI","A01M7/00","Agriculture","A01M: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Catching, Trapping Or Scaring Of Animals; Apparatus For The Destruction Of Noxious Animals Or Noxious Plants","","CN","China","CN 200810032074 A","2008","CN","China","2009-1-7","CN 101336627 A","2009","Bracket Sprayer For Manpower Traction","bracket Sprayer; Manpower Traction","https://lens.org/108-366-726-408-041"
"CHINESE PEOPLE S ARMED POLICES","CHINESE PEOPLE S ARMED POLICES","1","","","2","BO ZHANG; DESHOU TIAN; HUAISHI GAO; TONGHAI GAO; XUDONG LI","F41J7/06","Weapons","F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","CN","China","CN 200810015941 A","2008","CN","China","2009-1-21","CN 101349529 A","2009","Automatic Target Control Device","automatic Target Control Device","https://lens.org/188-554-448-628-780"
"UNIV TIANJIN","UNIV TIANJIN","2","","","2","BAOZHEN GE; CHEN XIANG; QIENI LU; QINGGUO TIAN; XIAOJIE LI; YAOLIN WEI","G01B11/00","Measuring","G01B: Physics -> Measuring; Testing -> Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours","","CN","China","CN 200810054313 A","2008","CN","China","2009-2-11","CN 101363712 A","2009","Dynamic Precision Target Drone For Demarcating Three-dimensional Colourful Digital System","dynamic Precision Target Drone; Three-dimensional Colourful Digital System","https://lens.org/189-328-181-817-494"
"BEIJING ACAD AGRIC & FORESTRY","BEIJING ACAD AGRIC & FORESTRY","9","","","2","CHANGQING ZHOU; CHEN LUO; FAN ZHANG; JUNMING ZHANG","A01K67/033; A01M99/00","Agriculture","A01K: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Animal Husbandry; Care Of Birds, Fishes, Insects; Fishing; Rearing Or Breeding Animals, Not Otherwise Provided For; New Breeds Of Animals; A01M: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Catching, Trapping Or Scaring Of Animals; Apparatus For The Destruction Of Noxious Animals Or Noxious Plants","","CN","China","CN 200810224944 A","2008","CN","China","2009-3-25","CN 101390505 A","2009","Encarsia Sophia Artificial Propagation Production Method","encarsia Sophia Artificial Propagation Production Method","https://lens.org/061-553-821-098-539"
"AMERICAN SCIENCE & ENG INC","AMERICAN SCIENCE & ENG INC","6","G01N23/04; G01N23/203; G01V5/0016; G01V5/0025","","89","JEFFREY SCHUBERT; JOSEPH CALLERAME; PETER ROTHSCHILD; RANDAL CASON WILLIAM; RICHARD SCHUELLER","G01V5/00","Geophysics","G01V: Physics -> Measuring; Testing -> Geophysics; Gravitational Measurements; Detecting Masses Or Objects; Tags","","US","United States of America","US 72952805 P; US 72954805 P; US 74890905 P","2005","CN","China","2009-3-4","CN 101379415 A","2009","X-ray Inspection Based On Scatter Detection","Scatter Detection; x-ray Inspection","https://lens.org/070-674-170-455-447"
"UNIV BEIJING BUAA","UNIV BEIJING BUAA","8","","","2","FUQIANG ZHOU","G01B11/00; G06T7/00","Measuring; Computing","G01B: Physics -> Measuring; Testing -> Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours; G06T: Physics -> Computing; Calculating; Counting -> Image Data Processing Or Generation, In General","","CN","China","CN 200810239083 A","2008","CN","China","2009-4-29","CN 101419708 A","2009","Structure Optical Parameter Demarcating Method Based On One-dimensional Target Drone","One-dimensional Target Drone; structure Optical Parameter","https://lens.org/110-704-089-450-247"
"CHINA ACADEMY OF AEROSPACE AER","CHINA ACADEMY OF AEROSPACE AER","2","","","2","GANG LI; NAIEN ZHOU","G01C21/20","Measuring","G01C: Physics -> Measuring; Testing -> Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry","","CN","China","CN 200810227578 A","2008","CN","China","2009-4-22","CN 101413801 A","2009","Unmanned Machine Real Time Target Information Solving Machine And Solving Method Thereof","Solving Method; unmanned Machine Real Time Target Information Solving Machine","https://lens.org/044-642-994-286-261"
"GUANGZHOU HUAFENG BIOLOG TECHN","GUANGZHOU HUAFENG BIOLOG TECHN","0","","","1","HUIMEI TAN; LI LING; XUN CHEN; YICHENG CAO; ZHENGPING DU; ZHIYONG LI","C12Q1/04; C12Q1/68","Biochemistry","C12Q: Chemistry; Metallurgy -> Biochemistry; Beer; Spirits; Wine; Vinegar; Microbiology; Enzymology; Mutation Or Genetic Engineering -> Measuring Or Testing Processes Involving Enzymes Or Micro-Organisms; Compositions Or Test Papers Therefor; Processes Of Preparing Such Compositions; Condition-Responsive Control In Microbiological Or Enzymological Processes","","CN","China","CN 200810198802 A","2008","CN","China","2009-4-29","CN 101418342 A","2009","Rapid Diagnosis Kit Of Enterocolitis Yersinia Genus Gene Based On Loop-mediated Isothermal Amplification Technique","Enterocolitis Yersinia Genus Gene; Loop-mediated Isothermal Amplification Technique; rapid Diagnosis Kit","https://lens.org/137-478-151-552-71X"
"UNIV BEI HANG","UNIV BEI HANG","1","","","2","FEIHUA CAI; FUQIANG ZHOU; GUANGJUN ZHANG; JUNCHAO CHENG","G01B11/00; G06T7/00","Measuring; Computing","G01B: Physics -> Measuring; Testing -> Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours; G06T: Physics -> Computing; Calculating; Counting -> Image Data Processing Or Generation, In General","","CN","China","CN 200810239082 A","2008","CN","China","2009-5-6","CN 101425185 A","2009","Method For Demarcating Small-scale Vision Measuring Video Camera Based On Composite Planar Target Drone","Composite Planar Target Drone; Small-scale Vision; Video Camera","https://lens.org/158-335-914-158-029"
"UNIV BEIJING BUAA","UNIV BEIJING BUAA","5","","","2","FUQIANG ZHOU; GUANGJUN ZHANG; WEI ZHANG","G06T7/00","Computing","G06T: Physics -> Computing; Calculating; Counting -> Image Data Processing Or Generation, In General","","CN","China","CN 200810239085 A","2008","CN","China","2009-4-29","CN 101419709 A","2009","Plane Target Drone Characteristic Point Automatic Matching Method For Demarcating Video Camera","plane Target Drone Characteristic Point Automatic Matching Method; Video Camera","https://lens.org/198-539-266-596-623"
"","QI YUFEN","1","","","1","ZUOGUANG ZHANG","A61K31/704","Medical","A61K: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Preparations For Medical, Dental, Or Toilet Purposes","","CN","China","CN 200710194686 A","2007","CN","China","2009-6-10","CN 101450062 A","2009","Medicine Composition For Treating Melancholia Using Multi-target Receptor After-action Mechanism","medicine Composition; Multi-target Receptor After-action Mechanism","https://lens.org/140-507-234-599-183"
"UNIV SHANGHAI JIAOTONG","UNIV SHANGHAI JIAOTONG","0","","","1","DAWEI LI; GUANGWEI GAO","C12Q1/25","Biochemistry","C12Q: Chemistry; Metallurgy -> Biochemistry; Beer; Spirits; Wine; Vinegar; Microbiology; Enzymology; Mutation Or Genetic Engineering -> Measuring Or Testing Processes Involving Enzymes Or Micro-Organisms; Compositions Or Test Papers Therefor; Processes Of Preparing Such Compositions; Condition-Responsive Control In Microbiological Or Enzymological Processes","","CN","China","CN 200910046686 A","2009","CN","China","2009-8-5","CN 101497917 A","2009","Method For Detecting Activity Of Trypanosoma Brucei Leucyl Trna Synthetase","Trypanosoma Brucei Leucyl Trna Synthetase","https://lens.org/195-554-187-430-808"
"SHENZHEN SHENGJIE BIOLOGY TECH","SHENZHEN SHENGJIE BIOLOGY TECH","0","Y02P20/55","","2","HANBING ZHONG; SHUO LIN; ZHEN YANG","A61K31/403; A61K31/4745; A61P43/00; C07D209/66; C07D471/04","Medical; Organic Chemistry","A61K: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Preparations For Medical, Dental, Or Toilet Purposes; A61P: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Specific Therapeutic Activity Of Chemical Compounds Or Medicinal Preparations; C07D: Chemistry; Metallurgy -> Organic Chemistry -> Heterocyclic Compounds","","CN","China","CN 200910106478 A","2009","CN","China","2009-9-2","CN 101519372 A","2009","Benzo [e] Isoindazole-1,3 Diketone Compound Used As Gsk Inhibiting Agent And Preparation Method Thereof","benzo [e] Isoindazole-1,3 Diketone Compound; Gsk Inhibiting Agent; Preparation Method","https://lens.org/066-326-740-050-658"
"UNIV SUN YAT SEN","UNIV SUN YAT SEN","0","","","2","DAN XIE; HAIXIA DENG; HONGMEI WU; JINLONG WANG; WEI ZHU; XIANGFU KONG; XIAO ZHU; YIJI LIAO; ZHUTING TONG","C12Q1/68; G01N21/64","Biochemistry; Measuring","C12Q: Chemistry; Metallurgy -> Biochemistry; Beer; Spirits; Wine; Vinegar; Microbiology; Enzymology; Mutation Or Genetic Engineering -> Measuring Or Testing Processes Involving Enzymes Or Micro-Organisms; Compositions Or Test Papers Therefor; Processes Of Preparing Such Compositions; Condition-Responsive Control In Microbiological Or Enzymological Processes; G01N: Physics -> Measuring; Testing -> Investigating Or Analysing Materials By Determining Their Chemical Or Physical Properties","","CN","China","CN 200910039867 A","2009","CN","China","2009-11-11","CN 101575641 A","2009","Method For Detecting Fluorescence Quantitative Pcr Genotypes Of Predisposing Genes Of Hepatic Cell Carcinoma And Kit Thereof","Fluorescence Quantitative Pcr Genotypes; Hepatic Cell Carcinoma","https://lens.org/168-230-615-532-254"
"UNIV BEIJING BUAA","UNIV BEIJING BUAA","2","","","2","GUANGJUN ZHANG; JUNHUA SUN; LIJUN CAO; ZHENZHONG WEI","G01B11/00; G01B11/25","Measuring","G01B: Physics -> Measuring; Testing -> Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours","","CN","China","CN 200910089307 A","2009","CN","China","2009-11-25","CN 101586943 A","2009","Method For Calibrating Structure Light Vision Transducer Based On One-dimensional Target Drone","One-dimensional Target Drone; Structure Light Vision Transducer","https://lens.org/195-143-458-938-94X"
"BOSE CORP","BOSE CORP","1","H04R1/2819; H04R1/2834; H04R2201/028; H04R3/00; H04R3/002","","13","DELPAPA KENNETH B; FROESCHLE THOMAS A; GEORGE NICHOLS; NUSSBAUM MICHAEL B; TEIXEIRA JAY N","H03F99/00; H04R1/28","Electronic Circuitry; Loudspeakers/Microphones","H03F: Electricity -> Basic Electronic Circuitry -> Amplifiers; H04R: Electricity -> Electric Communication Technique -> Loudspeakers, Microphones, Gramophone Pick-Ups Or Like Acoustic Electromechanical Transducers; Deaf-Aid Sets; Public Address Systems","","US","United States of America","US 68162107 A","2007","CN","China","2010-1-13","CN 101627639 A","2010","Audio System With Synthesized Positive Impedance","audio System; Positive Impedance","https://lens.org/108-958-516-244-324"
"GUIZHOU BOAN TECHNOLOGY CO LTD","GUIZHOU BOAN TECHNOLOGY CO LTD","5","","","1","GUOAN LUO","F41J9/02; F41J9/08","Weapons","F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","CN","China","CN 200910310377 A","2009","CN","China","2010-6-2","CN 101718506 A","2010","Intelligent Movable Target Machine System","intelligent Movable Target Machine System","https://lens.org/101-933-666-188-799"
"UNIV SHANGHAI ENG SCIENCE","UNIV SHANGHAI ENG SCIENCE","0","","","1","HONGSEN LI; JINGLI XU; SIHAO CHEN; ZICHENG XU","A01N37/18; A01N43/80; A01P3/00; A01P7/00","Agriculture","A01N: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Preservation Of Bodies Of Humans Or Animals Or Plants Or Parts Thereof; Biocides, E.G. As Disinfectants, As Pesticides Or As Herbicides; Pest Repellants Or Attractants; Plant Growth Regulators; A01P: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Biocidal, Pest Repellant, Pest Attractant Or Plant Growth Regulatory Activity Of Chemical Compounds Or Preparations","","CN","China","CN 200910201369 A","2009","CN","China","2010-6-16","CN 101731233 A","2010","Hymexazol And Capsaicine Compound Seed Finishing Agent And Preparation Thereof","Capsaicine Compound; Finishing Agent","https://lens.org/089-907-301-869-100"
