title_phrases,n
fusion De Plusieurs Flux Video,1.0
game Machine,1.0
gas Collecting Device,1.0
Gas Collecting Module,1.0
gas Stream Deflection System,1.0
Gas Turbine Engine,1.0
gauss-rees Parametric Ultrawideband System,1.0
gear Change Control Method,1.0
Gear Housing,1.0
gecko-drone Wine,1.0
Generalized Chrysanthemum Plants,1.0
generic Drone Control System,1.0
Geographical Position,1.0
Geographical Regions,1.0
Gigahertz Ranges,1.0
gliding Drone Aircraft,1.0
global Calibration Method,1.0
gnss Ultra-short Baseline Heading Determination System,1.0
gonadotropin Releasing Hormone Receptor Antagonists,1.0
Gps-adverse Environment,1.0
gps-gestÃ¼tztes Pilot-geschoÃŸ Und Verfahren Zur Einweisung Von Wirkgeschossen Ãœber Einem Definierten Einsatzbereich,1.0
grassland Management System,1.0
Great Stalling Angle,1.0
great Structure Horizontal Two-dimensional Displacement Automatic,1.0
ground Control Center,1.0
Ground Control System,1.0
Ground Station,1.0
ground-effect Flying Boats,1.0
Group Remote Control,1.0
Gsk Inhibiting Agent,1.0
Guided Munition Firing Device,1.0
Guiding Vehicle I.e,1.0
Handheld Device,1.0
Haptic Remote Control Gaming,1.0
hard Bitumen,1.0
Hard Multiple-layer Circuit Board,1.0
harrison Free Standing Towers,1.0
Hatch Door,1.0
Hazard Detection,1.0
Head Lamp Automatic Control Device,1.0
Health Assistance Food,1.0
health Wine,1.0
hearing Protecting Ear Cover,1.0
heat Imaging Mutual Active Shoot Training System,1.0
heavy Convertible Electric Drone,1.0
heavy Freight Air Transportation System,1.0
hederagenin Amide Derivative,1.0
Helicopter Fuselage,1.0
Helicopter I.e,1.0
Helping Navigation,1.0
Hepatic Cell Carcinoma,1.0
Hepatoprotective Activity,1.0
Hertzian Transmission System,1.0
Hgh Voltage Lines,1.0
high Altitude Cellular Communication System Platform,1.0
High Altitude Suspension,1.0
High Heat,1.0
High Lift-drag Ratio,1.0
high Precision Electric Testing,1.0
High-capacity Pollen Collector,1.0
High-power Led Stroboscopic Light Source,1.0
high-speed Hybrid Drone Copter-plane,1.0
Hive Entrances,1.0
Holandric Honeycomb,1.0
Holding Clamps,1.0
Hollow Central Body,1.0
holographic Hiding,1.0
honey Bee Mite Disruptive Compounds,1.0
Honey Bees Drone Homogenate,1.0
Honey-base Agent,1.0
Honey-bee Colony Feeding,1.0
Horizontal Flight Aircraft,1.0
Horizontal Shift,1.0
horizontal Translation Exercise Target Drone,1.0
Human Operator,1.0
Human Robot Interface,1.0
Humanoid Security,1.0
Hv Aerial Power Line Diagnostic Drone Acs Complex,1.0
hybrid Honeycomb,1.0
Hybrid Power Plant versions),1.0
hydraulic Slip Compensation Systems,1.0
hydrogen Peroxide Auxiliary Ignition Device,1.0
hydrogen-peroxide-assisted Ignition Device,1.0
hydrophile Vernetzbare Silikone,1.0
Hydroxyl Propane Sulfonic Acid Pyridine Drone Salt,1.0
Hyperbolic Systems,1.0
Hypersonic Drone Active Heat Protection,1.0
HypolipidÃ¤mischen Und Antihypertensiven Eigenschaften,1.0
Ice Conditions,1.0
Ignition Electronics,1.0
Ignition Position,1.0
Ihre Herstellung Und Ihre Anwendung,1.0
Illegal Drugs,1.0
Image Analysis,1.0
Image Analysis Unit,1.0
image Auto,1.0
Image Data,1.0
Image Enhancement,1.0
Image Processing Unit,1.0
Image Sequences,1.0
Images Transmission System,1.0
Imaging Device,1.0
Imaging Instrument,1.0
Immobile Target I.e,1.0
Immune System,1.0
immunotropic Preparation,1.0
Impeller Related Systems,1.0
improved Moisture Control,1.0
improved Seine Net,1.0
Improved Takeoff,1.0
Improving Male Sexual Function,1.0
Improving Noise,1.0
Improving Salt Resistance,1.0
Inclination Angle,1.0
Increased Bioavailability,1.0
Increased Safety,1.0
Increasing Animal's Body Resistance,1.0
Independent Drive Movement,1.0
Indirect Manner,1.0
indistinct Appearing Precision Target,1.0
Industrial Control Device,1.0
Inertial Attitude,1.0
Inexpensive Amplifiers,1.0
infantry Combat Weapons System,1.0
Infiltrative Pulmonary Tuberculosis,1.0
Influenzing Weather,1.0
Information Processing Mobile Unit,1.0
Infrared Spectrometer,1.0
Ingestible Low Power Capsule,1.0
Inner Shell,1.0
Insbesondere Eine Drohne Und Verfahren Zur Rettung Eines Bemannten Oder Unbemannten FluggerÃ¤ts,1.0
Insbesondere Einer Drohne,1.0
Insbesondere Einer Drohne Mit DrehflÃ¼geln,1.0
Insbesondere FÃ¼r Eine Drohne,1.0
Insbesondere FÃ¼r Eisenbahnwagen Zur PersonenbefÃ¶rderung,1.0
Insbesondere Hochleistungs-mikrowellenantenne,1.0
insect Sticking Plate,1.0
Insemination Device,1.0
installation De Production,1.0
Instantaneous Manoeuverability,1.0
Integral Hull,1.0
Integral Signal,1.0
integrated Icon View,1.0
Integrating Values,1.0
Intellectual Decision Making Support System,1.0
intelligent Coupler,1.0
intelligent Movable Target Machine System,1.0
intelligent Surveillance System,1.0
intelligent Target Control Method,1.0
interactive Augmented Reality System,1.0
Interactive Event,1.0
interactive Sound Effects System,1.0
Interception Missile Base,1.0
Intermediate Flying Device,1.0
Internal Circuit,1.0
intrusion Vehicle,1.0
intuitive Piloting Method,1.0
Invasive Species Control Plan,1.0
ir Source,1.0
Italian Bees,1.0
Item Delivery,1.0
Japanese Honeybees,1.0
jetting Type Air Mixing Spray-nozzle,1.0
JP 4206830 B2,1.0
Kalman Filter Estimator,1.0
kampfmittelrÃ¤umgerÃ¤t Zum RÃ¤umen Von Kampfmitteln,1.0
KampfmittelrÃ¤umkombination Mit Unbemanntem Unterwasserfahrzeug Und Derartigem KampfmittelrÃ¤umgerÃ¤t Sowie Verfahren Hierzu,1.0
Kinematic Magnitude,1.0
Known Origin,1.0
Known Value,1.0
koelkast Voor Het Voorkomen Van Hoge Temperaturen,1.0
L-band Radar,1.0
La Mise En Å’uvre De Ce Procede,1.0
La Navigation,1.0
Ladar System,1.0
lade- Oder Batteriewechselstation FÃ¼r FluggerÃ¤te,1.0
lade- Und Wiederbereitstellungsstation FÃ¼r Elektro- Und Hybrid Uavs,1.0
lager Mit FluggerÃ¤ten,1.0
Land Air Sea,1.0
land Wheeled Drone,1.0
Landing Area,1.0
Landing Autonomous/semiautonomous/remote Controlled Aerial Agricultural Sensor Platform,1.0
Landing Characteristics,1.0
Landing Device,1.0
Landing Drone,1.0
Landing Drone Aircraft,1.0
Landing Multimodal,1.0
Landing Phase,1.0
Landing Runways,1.0
Landing Same,1.0
Landing System,1.0
Landing vtol Aircraft,1.0
Larch Sclerodermus Sp,1.0
Large Difference,1.0
Laser Measurement,1.0
laser Simulative Shoot Training System,1.0
Laser Visual Dynamic,1.0
laser Weapon,1.0
laser-based System,1.0
lateral Avoidance Manoeuvre Solver,1.0
launch Tube,1.0
Launching Reconnaissance Drones,1.0
lautsprecher Mit Zwei Kammern,1.0
Law Enforcement Evidence,1.0
Lawn Bowls,1.0
Laying Steel Pipes,1.0
Leader-follower Model,1.0
Leading Magnetic Material Magnetron,1.0
Leaf Spring,1.0
Least Two Groups,1.0
led Lighting System,1.0
lenkung FÃ¼r FlugkÃ¶rper-systeme Mit Ziel-tracker Und ZusÃ¤tzlicher Manueller Korrektur Des Trackpunktes,1.0
Life-saving Apparatus,1.0
Light Emitting Diode,1.0
light Target Drone,1.0
Light Weapon Shooting,1.0
Light Yellow Encarsia Amicula,1.0
Light/mimu micro Inertial Measurement Unit),1.0
Lighting Fixture,1.0
Linear Acceleration,1.0
linear Solving,1.0
Liquid Fuel,1.0
liquid Sampling Apparatus,1.0
lithospermum Leerf-1 Gene Overexpression Vector,1.0
Living Body Bee Dna,1.0
Local Applications,1.0
Localization Waves,1.0
Locating Indoor Electromagnetic Radiation Source,1.0
Locating Insulator Defects,1.0
Locating Opto-electronic Projector,1.0
Locating Web-type Wing Ribs,1.0
locking Control Method,1.0
locking Device,1.0
Logic Unitary Active Equipment,1.0
Logical Alarm Generator,1.0
long Line Fiber Optic Communication System,1.0
Long Structures,1.0
long-distance 2d,1.0
Long-range Missile,1.0
Longitudinal Axis,1.0
longitudinal Control Law Smooth Switching Method,1.0
Loop-mediated Isothermal Amplification Technique,1.0
Loss Control,1.0
loudspeaker Apparatus,1.0
Low Altitude,1.0
Low Energy Nuclear Reactor,1.0
low Profile Audio Speaker,1.0
Low Sound,1.0
Lung Adenocarcinoma Metastasis,1.0
MÃ©todo E Sistema Para SincronizaÃ§Ã£o Para Quadro Dvb-s2 E Sua Estrutura De Quadro Associada,1.0
machine-readable Delivery Platform,1.0
main Wing Plus,1.0
Making Drone Larva Powder,1.0
Making Preparation,1.0
Making Stereo Pairs,1.0
Male Bees,1.0
male King,1.0
Male Sex Drive libido,1.0
Male Sex Drive libido),1.0
Mammalian-type Carbohydrate Structures,1.0
Management Arming,1.0
Managing Drone Colony,1.0
Managing Method,1.0
Managing Platform,1.0
Managing System Controlling Method,1.0
manless Medicine Dispensary System,1.0
Manmade Disasters,1.0
Manned Aircraft,1.0
Manpower Traction,1.0
Manufacturing Biogenic Stimulator,1.0
Manufacturing Method,1.0
marine Ship,1.0
maritime Safety Systems,1.0
Marketing System,1.0
Mass Set,1.0
Massicus Raddei,1.0
match Composite Sketches,1.0
Material Detection,1.0
Measurement Method,1.0
Measurement Target Drone Base,1.0
Medical Support,1.0
Medicament Target Drone,1.0
medicine Composition,1.0
Medicine Dispenser,1.0
Medium-range Drones,1.0
mesh Network Controller,1.0
metodo Y Dispositivo Mejorados Para La Prospeccion Sismica Acuatica,1.0
Micro Convertible Drone System,1.0
micro Drone,1.0
micro Unmanned Aerial Vehicle,1.0
Micro/nano Aicraft,1.0
Microwaves Band,1.0
middel Til Anvendelse,1.0
militÃ¤risches Fahrzeug Mit Einer FÃ¼hrungseinheit,1.0
Military Area,1.0
Military Drone,1.0
military Land/sea/air Drones Mobile/stationary Unit Information Transfer,1.0
Military Mission,1.0
Military Purposes,1.0
military Reconnaissance Drone Launcher Tube,1.0
Military Surveillance,1.0
Military Unit,1.0
Military Use,1.0
Milk Products,1.0
Miniature Drones,1.0
miniature Holographic Sight,1.0
miniature Vtol Drone,1.0
Missile Defense System,1.0
Missile-firing Tubes,1.0
Mission Data,1.0
Mitigating Fading,1.0
Mixing Semen,1.0
Mobile Base Stations,1.0
Mobile Devices,1.0
mobile Gaming,1.0
mobile Lock,1.0
Mobile Payments,1.0
mobile Phone Shell,1.0
Mobile Platforms,1.0
Mobile Remote Beacon,1.0
Mobile Robotic System Aggregation,1.0
Mobile Robotic Vehicles,1.0
Mobile Sensors,1.0
Mobile Station,1.0
Mobile Telephone Connection,1.0
mobile Type,1.0
Model Aero-engine,1.0
Model Aircraft,1.0
Model-based Sound Effects,1.0
modifiziertes Rosar-verfahren,1.0
modular Drone versions,1.0
modular Track,1.0
modulare Drohne Mit Abnehmbaren Komponenten,1.0
modularized Shooting Training Range,1.0
module D'epandage Auto-porte Par Un Drone Aerien,1.0
Moment Imparting Device,1.0
Montage Rapide,1.0
Mother Bees,1.0
Mother Larvae),1.0
Mother Milk,1.0
Motion Capture System,1.0
Motion Compensation,1.0
motion Sensor Assembly,1.0
Motor Vehicle,1.0
motorized Apparatus,1.0
Mounting Apparatus,1.0
mounting Tool,1.0
Movable Drone,1.0
movable Memory Target,1.0
Movable Relative,1.0
Movable Type Automatic Target Indicating Device,1.0
move Target Drone,1.0
Moving Base Stations,1.0
Moving Contrast,1.0
Multi- Purpose Fire Fighting Drone,1.0
multi-function Composite Queen Cages,1.0
multi-function Honey-dividing Machine,1.0
multi-function Illuminating Diabolo,1.0
multi-head Rubber-coated Steel Plate Target Drone,1.0
Multi-load Photoelectric Tracking Equipment Self-adjusting Two Light Axes,1.0
Multi-rotor Aerial Vehicle,1.0
multi-rotor Helicopter,1.0
Multi-rotor Type Drone,1.0
Multi-rotor Type Folding Drone,1.0
multi-sheets Type Automatic Drone,1.0
Multi-target Receptor After-action Mechanism,1.0
multichannel Sonar Systems,1.0
multicopter Dron,1.0
multicore Parallel Photogrammetry Block Adjustment Method,1.0
multidirectional Conversion Automatic Target Drone,1.0
multifunction Beehive,1.0
multifunction High-resolution Radar,1.0
multifunction Programmable Boxing Training Device,1.0
multifunctional Combined-type Drone-imprisoning Queen-capturing Swarming Cage Queen-isolating Grate,1.0
multifunctional Flight Pollen Trap,1.0
multifunctional Navigation Earphone,1.0
multifunctional Queen,1.0
multifunctional Queen Bee Honeycomb,1.0
multimode D/a Drone Angular Pitch Control Device,1.0
Multiplayer Games,1.0
multiple Chamber Loudspeaker System,1.0
Multiple Contrarotating Rotors,1.0
Multiple Control Actuators,1.0
Multiple Layers,1.0
multiple Radar Interference Suppressor,1.0
multiple Receiver Line Deployment,1.0
Multiple Video Image Streams,1.0
multipurpose Aircraft,1.0
multipurpose Intelligent Automated System,1.0
multirotor Convertible Pilotless Helicopter,1.0
multirotor Vtol Drone,1.0
Multisensor Vision Measurement System,1.0
multistatic Radar System,1.0
munition Oder Munitionsteil Das Die Form Eines FlugkÃ¶rpers Wie Einer Drohne Hat,1.0
Music Signal Processing,1.0
Musical Instrument,1.0
Musical Instruments Via Plastic Molding Technique,1.0
musikinstrument Mit Einem Elektroakustischen Wandler Zur Erzeugung Eines Musiktons,1.0
n-(pyridinylamino)isoindoline Und Verwandte Verbindungen,1.0
Nadir Alignment,1.0
Natural Displacement,1.0
Natural Flavorings,1.0
Natural Honey,1.0
Natural Material,1.0
natural Pharmaceutical Product,1.0
natural Phytotherapeutic Product,1.0
Natural Polymers,1.0
Nature Testing,1.0
Naval Craft,1.0
Naval Mines,1.0
naval Surface Drone,1.0
Navigation Data,1.0
Navigation Sensors,1.0
Nematicidal Activity,1.0
Nestkastjes Voor Hommelkolonies,1.0
Network Attached Device,1.0
Network Data,1.0
network Functions Virtualization Interconnection Gateway,1.0
neue Pharmazeutische Zusammensetzungen Von Steroid-nitratester Zur Verwendung Als EnzÃ¼ndungshemmer,1.0
New Environment,1.0
New Section,1.0
new Target Drone,1.0
New Tumor Blood Vessel Drone,1.0
new Use,1.0
New Yew Alcohol,1.0
Noise Damper,1.0
Non-destructive Testing,1.0
Non-lethal Fighting,1.0
Nosematosis Disease,1.0
novel Application,1.0
novel Efficient Drone,1.0
novel Formula,1.0
novel Mobile Network,1.0
novel Target Drone,1.0
novel Universal Obstacle,1.0
Nuclear Cloud Outputted,1.0
Nuclear Engine,1.0
Nuclear Power Plant,1.0
Nuclear Warhead,1.0
Nucleic Acid Molecules,1.0
nursery Garden Client Intelligent Service System,1.0
Object Coordinates Determination,1.0
Object Surface,1.0
Observation Camber,1.0
observation Drone,1.0
Observation System,1.0
Offers Greater Control,1.0
oil Pressure,1.0
Older Design,1.0
Omni-directional Sensor Devices,1.0
omnidirectional Motor Stability Augmentation Pan/tilt/zoom(ptz),1.0
On-board Computer,1.0
on-line Network Safety Competition Method,1.0
on-wall Loudspeaker,1.0
onboard Thermal Trap,1.0
One Hole,1.0
One Performer max,1.0
open-ditch Pipeline As-built Process,1.0
Operable Drone,1.0
Operating Directional Flap,1.0
Operating Electrostatic Powder Blower,1.0
operating Gps Receivers,1.0
Operating Method,1.0
Operating Vehicle,1.0
Operer Une,1.0
Opposing Directions,1.0
Optical Device,1.0
optical Fibres Support Drum,1.0
optical Tracking System,1.0
Optimizable Processing Communications,1.0
optronische ZÃ¼ndeinrichtung FÃ¼r Einen FlugkÃ¶rper,1.0
Orally-administered Embryo-peptides,1.0
Origination User Interface Aspects System,1.0
Osteoporosis Comprising Benzamidine Derivative,1.0
Outputs Warning,1.0
over-ground Height,1.0
paint-on Approach,1.0
Parachute Landing,1.0
Parachuting Broken Multirotor Drone,1.0
parasitic Monopole Antenna System I.e,1.0
Partial Acquisition,1.0
Passage Marker,1.0
passenger Air Transport,1.0
passive Radiator,1.0
path Identification,1.0
Pcb Board,1.0
pendulous Microgenerator,1.0
Perpendicular Axis Fiber Optic Drum Mobile Unit Placed Stationary Unit Communicating,1.0
Perpendicular Position,1.0
personal Security,1.0
personal Submersible Drone,1.0
Personalized Nutrition,1.0
Petroleum Exploration Sites,1.0
Pharmaceutical Formulation,1.0
pharmazeutische Zusammensetzungen Fuer Die Parenterale Anwendung,1.0
phase Control System,1.0
Phosphonyl Fluorides,1.0
Photo Telephotos,1.0
Photoelectric Autocollimation Device,1.0
Photogrammetric Survey Deformation,1.0
Photovoltaic Panel,1.0
Photovoltaic Panels,1.0
Physical Dimension,1.0
Physical Property,1.0
physiological Signal Processing Devices,1.0
Picture Quality,1.0
Pilotless Drone Reconnaissance Aircraft,1.0
Pipe Bag,1.0
Plane General Assembly,1.0
plane Target Drone Characteristic Point Automatic Matching Method,1.0
Plant Falling,1.0
Plant Oils,1.0
plant Protection Drone,1.0
Plastic Screw,1.0
platine Universelle De Montage,1.0
pneumatic Relay Valve,1.0
pod Structure,1.0
Polarization Differencing Method,1.0
police Drone,1.0
Policy Driven Protection,1.0
pollen Removal Device,1.0
Polymer Modified Bitumen,1.0
Portable Guided Missile,1.0
portable Indoor Mobile Robot Navigation Performance Test,1.0
portable Mortar Ejector,1.0
portable Plastic Heat Preservation Beehive,1.0
portable Slice Type Erecting,1.0
pose Control System,1.0
Position Regulation,1.0
Positioning Aircraft,1.0
Positioning Center,1.0
Positioning Method,1.0
positioning System,1.0
Positive Impedance,1.0
poste De Controle De Drones,1.0
Pourvu De Pare-chocs Amovibles De Protection Des Helices,1.0
Power Supply,1.0
Power Transmission Line Image Via,1.0
Power-driven Walking,1.0
Predetermined Deflagration,1.0
Preimaginal Phases,1.0
preserving Fluid,1.0
Preset Minimum Distance,1.0
proactive Optical Trajectory,1.0
procede D'analyse D'une Parcelle Agricole Cultivee,1.0
procede D'observation D'une Zone Au Moyen D'un Drone,1.0
Procede De Guidage AutomatiqueÂ,1.0
procede De Mesure Du Volume D'un Amas De Materiaux,1.0
procede De Navigation D'un Drone Aerien En Presence D'un Aeronef Intrus,1.0
Procede De Pilotage De Vol D'un Drone,1.0
procede De Surveillance De L'etat De Vegetation Aux Abords D'une Infrastructure,1.0
Processed Food,1.0
Processing Characteristic,1.0
Processing Method,1.0
Production Process,1.0
programmable Central Intelligence Controller,1.0
Programmable Dma Master,1.0
Programming Kind,1.0
pronostic De Duree Avant Maintenance Par Fusion Entre Modelisation,1.0
Propane Sulfonic Acid Pyridine Drone Salt Production Usefulness,1.0
Propeller Engines,1.0
Propeller Passes,1.0
Propeller Unmanned Drone Aircraft,1.0
Propulsion Device,1.0
propulsion Engine,1.0
propulsion Unit,1.0
Prostate Hyperplasia,1.0
Protecting Nuclear Power Plant,1.0
Protecting Transport Ship,1.0
Protein Kinases,1.0
Providing Input,1.0
Providing Network Service,1.0
Providing Security Service,1.0
Providing Tuning Levers,1.0
Pseudo-ginseng Capsule Product,1.0
Pulling Back Air Route,1.0
push-pull Type,1.0
pyrotechnic Tracer,1.0
Pyrotechnical Device,1.0
Quadri-rotor Type Drone,1.0
Queen Bee,1.0
queen Bee Artificial Insemination Appearance,1.0
queen Bee One-way Channel Valve,1.0
queen Bee Single-way Channel Gate,1.0
queen Bee Single-way Channel Valve,1.0
queen Bee Wine,1.0
Queen Bumblebee Rearing,1.0
Quickly-going-backward Program Control Moving Target Drone,1.0
quinhydrone-containing Sensor,1.0
Racing Car Games,1.0
rack Type Sprayer,1.0
Radar Counteraction,1.0
radar Device,1.0
Radar Doppler,1.0
Radar Station,1.0
radargerÃ¤t FÃ¼r Einen FlugkÃ¶rper,1.0
Radio Frequency Signals,1.0
radio Frequency Signature Augmentation System,1.0
radio Laser Shooting Machine,1.0
Radio Signals,1.0
radio-controlled Flying Machine,1.0
Radio/radar Counteraction,1.0
Radionavigation Device,1.0
Radionavigation Facility,1.0
railroad Trailer Chassis,1.0
random Pattern,1.0
random Target Drone,1.0
rapid Diagnosis Kit,1.0
Rapid Method,1.0
re-entry Drone Aircraft,1.0
Readout Unit,1.0
Real Time,1.0
real Time Assessment,1.0
Real World,1.0
Real World Objects,1.0
Real-time Control,1.0
real-time Positioning,1.0
Rear Arms Articulated Relative,1.0
Rear Side,1.0
Receipts Swarmming Cage,1.0
Receiving Helicopter I.e,1.0
Receiving One,1.0
Receiving Radio Frequency Signals,1.0
Receiving Rigidification Unit,1.0
Receiving Test/debug Data,1.0
Rechargeable Batteries,1.0
recharger System,1.0
Recipient Equipments,1.0
Recognition Drone,1.0
Recognition Markers,1.0
Reconfigurable Array,1.0
reconfiguration Aircraft,1.0
reconnaissance Radius,1.0
Recording Unit,1.0
Recovery Cable Active End,1.0
recovery System,1.0
rectangular-tube Bee Activity Frame Underbeam,1.0
Reducing Cholesterin,1.0
Reducing Menopause Symptoms,1.0
Reflectionless Paths,1.0
Regenerating Action,1.0
Regenerating Cream,1.0
Reinforcement Part,1.0
Related Electrical Generation Method,1.0
Related Method,1.0
Related Uses,1.0
Reliable Parachute Release Device,1.0
Remote Control Device,1.0
remote Control Overturning Target,1.0
Remote Control Sea,1.0
remote Control Target Drone,1.0
Remote Controlled Combat,1.0
remote Controlled Drone Aircraft,1.0
remote Controlled Mobile Platform,1.0
Remote Controlled Rotary-wing Drone,1.0
Remote Desktops,1.0
Remote Detection,1.0
Remote Inspection,1.0
remote Network Attack,1.0
remote Optical Fiber Surveillance System,1.0
Remote Reading,1.0
Remote Readout,1.0
Remote Rov,1.0
Remote Sensing Surveillance,1.0
Remote Stereo Reconnaissance Sensor,1.0
remote Vehicle Driving,1.0
removalbe Sytem,1.0
Reporter Drone,1.0
rescue Drone,1.0
Rescue Method,1.0
Retractable Cable,1.0
retractable Landing Gear,1.0
Retracted Position,1.0
Revolving Aerofoil Integrated Drone,1.0
Rifamycin-quinolizidone Double-drone Molecule,1.0
Rifle Basic Training,1.0
Rigid Rod,1.0
Rigidification Unit,1.0
Risk Mitigation,1.0
Road-based Devices,1.0
Robber Bee,1.0
Robot Plane,1.0
Robot System,1.0
robotic Aircraft,1.0
robotic Inspection Apparatus,1.0
rocket Magnetic Safety Device,1.0
Rocket Separation,1.0
room Sound,1.0
Rotary Wing Aircraft,1.0
rotary Wing Drone,1.0
rotary Wing Drone I.e,1.0
Rotary Wings,1.0
rotating Drone Aircraft,1.0
Rotating Mass,1.0
rotating Target Drone,1.0
rotating-wing Drone,1.0
Rotor Arm Device,1.0
Rotor Blade Drone Safety Landing Pack,1.0
Rotor Blades,1.0
rotor Blades Controlling Device,1.0
Rotor Drone,1.0
Rotor Pivotable,1.0
Rotor System,1.0
Rotor Systems,1.0
rotor Vertebral Body Imaging Tester,1.0
rotor Wing Protection Cover,1.0
rotor-lift Aircraft,1.0
Rotors Around Two Axis,1.0
Rotors Multiples Avec Estimation,1.0
safe Emergency Landing,1.0
Safe Landing,1.0
Safer Mid-air,1.0
Safety Bb Bullet Target Structure,1.0
Safety Device,1.0
sailing User Interface Systems,1.0
Sal Capabilities,1.0
Same Circles,1.0
Same Circuit Board,1.0
Same Direction,1.0
"Same-day Order Fulfilment,including Delivery",1.0
satellite Based Key Agreement,1.0
Satellite Formation,1.0
Scale Model,1.0
scale Plate-adjustable B-ultrasonic Searching Unit Puncture Gate Apparatus,1.0
Scatter Detection,1.0
schleppkÃ¶rper Zur Flugzieldarstellung Mit Ir-flares,1.0
school-wide Lockdown,1.0
schwenkbare SchubdÃ¼se Eines Flugtriebwerkes,1.0
Sclerodermus Pupariae Yang,1.0
screen Mesh Device,1.0
Screening Method,1.0
Sea Floor,1.0
Search Method,1.0
Searching Geological Boundary,1.0
secondary Action Target Drone,1.0
Segregated Air Space,1.0
seismic Data Acquisition,1.0
Selective Terrain Alerts,1.0
self Suspended Energy,1.0
Self-contained Mobile,1.0
Self-gripping Band,1.0
Self-organizing Synchronization,1.0
Self-restoring Force,1.0
self-sustaining Drone Aircraft Freight,1.0
Semantic Beliefs,1.0
Sensor Pad,1.0
sensor-location System,1.0
sensor-netzwerk Sowie Verfahren Zur Ãœberwachung Eines GelÃ¤ndes,1.0
Service Animals,1.0
Several Opportunities,1.0
Several Points,1.0
Sharing Reconnaissance Images,1.0
Ship Operating Energy,1.0
shipboard Aircraft Catapult,1.0
shooting Attitude,1.0
Shooting Exercise,1.0
shooting Target Set,1.0
shooting Training Analyser,1.0
Shooting Unit,1.0
Shooting Units,1.0
Shooting Windows,1.0
shooting-train Target Drone,1.0
short-distance Precision Dynamic Angle,1.0
shuttle Device,1.0
Signal Survey,1.0
simple Processing Technology,1.0
simulated Shooting System,1.0
simulation Cruise Missile Target Drone,1.0
simulation En Temps Reel Hautement Representative D'un Systeme Avionique,1.0
Simultaneous Reference Pulse Receiver,1.0
Single Camera Virtual Mouse System,1.0
Single Video Stream,1.0
single-reed Wind Instrument,1.0
Single-sided Multi-stringed Instrument,1.0
sistema De Alarme Salva-vidas,1.0
sistema De Salvamento,1.0
Small Size Drone Airplane,1.0
Small Sized Revolving Wing I.e,1.0
small Unmanned Aircraft System,1.0
Small-scale Vision,1.0
Smart Humanoid Mailbox,1.0
solar Panel Field Array Support System,1.0
solar Tablet Verbal,1.0
Solid Body,1.0
Solid Displacement,1.0
Solvent Extraction,1.0
solving Camera Intrinsic Parameters,1.0
Solving Method,1.0
Sound Amplification,1.0
Sound Creation,1.0
Sound Recording,1.0
sounding Device,1.0
South Pole Carriage,1.0
space-based Orbital-transfer Drone,1.0
Spaced Repeaters,1.0
speaker Equipment,1.0
special Hive,1.0
Special Honeycomb Base,1.0
Special Signal-measuring-bridge,1.0
Special Truck,1.0
Special-use Target Mark,1.0
Specific Body Resistance,1.0
Specific Resistance,1.0
Speech Recognition,1.0
speed Regulation Blade,1.0
Speed Setpoint,1.0
Sperm Withdrawal,1.0
Spike Robotic Arm,1.0
Spindle Engine Propeller,1.0
sprayable Compsn,1.0
Spreading Method,1.0
Spring-powered Guide Rails,1.0
Spurious Echos,1.0
Spy Drones Survillance Land Air Sea,1.0
Sqaud Fly,1.0
Square Outside,1.0
stabile Herbizide Zusammensetzungen,1.0
Stabilise Helicopter Multi-blade Rotor,1.0
stabilisierungsvorrichtung Und Diese Nutzendes Steuerungssystem FÃ¼r Eine Drohne,1.0
Stabilized Platform,1.0
Stable Ground,1.0
stand-off Disrupter Apparatus,1.0
standardisiertes Gelee Royale,1.0
Start/stop/lap Timing,1.0
Statistic Modulation Transfer Function,1.0
stealth Air Drone,1.0
steel Rail,1.0
steering Drive,1.0
Steering Wire Interface,1.0
Stereo Information,1.0
stereo Pair,1.0
Stereoscopic Vision,1.0
Stimulating Animal Bodies,1.0
Stimulating Immune Response,1.0
Stomach Cancer,1.0
Storage System,1.0
Storage System Packetises,1.0
Stowing Extra Drones,1.0
Strategic Drones,1.0
stripline Antenna,1.0
Structure Facades,1.0
Structure Fire Containment,1.0
structure Inspection System,1.0
Structure Light Vision Transducer,1.0
structure Optical Parameter,1.0
Structure Works,1.0
struttura Perfezionata Di Drone,1.0
subfloor Structure,1.0
Submarine Craft,1.0
submarine Drone,1.0
Submarine Observation Drone,1.0
submarine Self-contained Dynamic Structure,1.0
submarine Short-range Defense System,1.0
Subsidiarily Regulating Blood Sugar,1.0
Subterranean Operations,1.0
suction Device I.e,1.0
Sulfur Thiosulfuric Acid,1.0
sun Roof,1.0
sun-roop Assembly,1.0
supervision System,1.0
Supplement Vita-forze M,1.0
Support Arm Structure,1.0
Support Frame,1.0
Supporting Activity,1.0
Supporting Unit Supporting,1.0
Surface-bound Targets,1.0
Suspended Drone,1.0
swarm Trap,1.0
Swarming Slave Aircrafts,1.0
sxl-01 Top,1.0
Synchronised Control,1.0
Synchronous Via Two Shoes,1.0
system Mit Einer Lagervorrichtung Und Einer Aussetzvorrichtung FÃ¼r Unterwasserdrohnen,1.0
system Zur Bidirektionalen Optischen Vollduplex-freiraum-datenÃ¼bertragung,1.0
systeme D'autorisation D'arret Des Taches De Pilotage,1.0
