type,office,office_code,origin,technology_original,technology_number,technology,year,records
Income,Low-income,W4,Non-Resident,31 - Mechanical elements,31,Mechanical elements,1988,11
Income,Low-income,W4,Non-Resident,32 - Transport,32,Transport,1988,11
Income,Low-income,W4,Non-Resident,"33 - Furniture, games",33,"Furniture, games",1988,8
Income,Low-income,W4,Non-Resident,34 - Other consumer goods,34,Other consumer goods,1988,16
Income,Low-income,W4,Non-Resident,35 - Civil engineering,35,Civil engineering,1988,39
Income,Upper middle-income,W2,Resident,0 - Unknown,0,Unknown,1988,493
Income,Upper middle-income,W2,Resident,"1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy",1988,237
Income,Upper middle-income,W2,Resident,2 - Audio-visual technology,2,Audio-visual technology,1988,48
Income,Upper middle-income,W2,Resident,3 - Telecommunications,3,Telecommunications,1988,43
Income,Upper middle-income,W2,Resident,4 - Digital communication,4,Digital communication,1988,5
Income,Upper middle-income,W2,Resident,5 - Basic communication processes,5,Basic communication processes,1988,33
Income,Upper middle-income,W2,Resident,6 - Computer technology,6,Computer technology,1988,57
Income,Upper middle-income,W2,Resident,7 - IT methods for management,7,IT methods for management,1988,1
Income,Upper middle-income,W2,Resident,8 - Semiconductors,8,Semiconductors,1988,19
Income,Upper middle-income,W2,Resident,9 - Optics,9,Optics,1988,36
Income,Upper middle-income,W2,Resident,10 - Measurement,10,Measurement,1988,295
Income,Upper middle-income,W2,Resident,11 - Analysis of biological materials,11,Analysis of biological materials,1988,20
Income,Upper middle-income,W2,Resident,12 - Control,12,Control,1988,63
Income,Upper middle-income,W2,Resident,13 - Medical technology,13,Medical technology,1988,74
Income,Upper middle-income,W2,Resident,14 - Organic fine chemistry,14,Organic fine chemistry,1988,270
Income,Upper middle-income,W2,Resident,15 - Biotechnology,15,Biotechnology,1988,50
Income,Upper middle-income,W2,Resident,16 - Pharmaceuticals,16,Pharmaceuticals,1988,140
Income,Upper middle-income,W2,Resident,"17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers",1988,151
Income,Upper middle-income,W2,Resident,18 - Food chemistry,18,Food chemistry,1988,135
Income,Upper middle-income,W2,Resident,19 - Basic materials chemistry,19,Basic materials chemistry,1988,200
Income,Upper middle-income,W2,Resident,"20 - Materials, metallurgy",20,"Materials, metallurgy",1988,261
Income,Upper middle-income,W2,Resident,"21 - Surface technology, coating",21,"Surface technology, coating",1988,82
Income,Upper middle-income,W2,Resident,23 - Chemical engineering,23,Chemical engineering,1988,183
Income,Upper middle-income,W2,Resident,24 - Environmental technology,24,Environmental technology,1988,83
Income,Upper middle-income,W2,Resident,25 - Handling,25,Handling,1988,134
Income,Upper middle-income,W2,Resident,26 - Machine tools,26,Machine tools,1988,315
Income,Upper middle-income,W2,Resident,"27 - Engines, pumps, turbines",27,"Engines, pumps, turbines",1988,93
Income,Upper middle-income,W2,Resident,28 - Textile and paper machines,28,Textile and paper machines,1988,106
Income,Upper middle-income,W2,Resident,29 - Other special machines,29,Other special machines,1988,191
Income,Upper middle-income,W2,Resident,30 - Thermal processes and apparatus,30,Thermal processes and apparatus,1988,101
Income,Upper middle-income,W2,Resident,31 - Mechanical elements,31,Mechanical elements,1988,143
Income,Upper middle-income,W2,Resident,32 - Transport,32,Transport,1988,84
Income,Upper middle-income,W2,Resident,"33 - Furniture, games",33,"Furniture, games",1988,44
Income,Upper middle-income,W2,Resident,34 - Other consumer goods,34,Other consumer goods,1988,55
Income,Upper middle-income,W2,Resident,35 - Civil engineering,35,Civil engineering,1988,288
Income,Upper middle-income,W2,Non-Resident,0 - Unknown,0,Unknown,1988,1351
Income,Upper middle-income,W2,Non-Resident,"1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy",1988,448
Income,Upper middle-income,W2,Non-Resident,2 - Audio-visual technology,2,Audio-visual technology,1988,110
Income,Upper middle-income,W2,Non-Resident,3 - Telecommunications,3,Telecommunications,1988,84
Income,Upper middle-income,W2,Non-Resident,4 - Digital communication,4,Digital communication,1988,28
Income,Upper middle-income,W2,Non-Resident,5 - Basic communication processes,5,Basic communication processes,1988,58
Income,Upper middle-income,W2,Non-Resident,6 - Computer technology,6,Computer technology,1988,104
Income,Upper middle-income,W2,Non-Resident,7 - IT methods for management,7,IT methods for management,1988,2
Income,Upper middle-income,W2,Non-Resident,8 - Semiconductors,8,Semiconductors,1988,41
Income,Upper middle-income,W2,Non-Resident,9 - Optics,9,Optics,1988,90
Income,Upper middle-income,W2,Non-Resident,10 - Measurement,10,Measurement,1988,290
Income,Upper middle-income,W2,Non-Resident,11 - Analysis of biological materials,11,Analysis of biological materials,1988,78
Income,Upper middle-income,W2,Non-Resident,12 - Control,12,Control,1988,117
Income,Upper middle-income,W2,Non-Resident,13 - Medical technology,13,Medical technology,1988,322
Income,Upper middle-income,W2,Non-Resident,14 - Organic fine chemistry,14,Organic fine chemistry,1988,1746
Income,Upper middle-income,W2,Non-Resident,15 - Biotechnology,15,Biotechnology,1988,375
Income,Upper middle-income,W2,Non-Resident,16 - Pharmaceuticals,16,Pharmaceuticals,1988,1092
Income,Upper middle-income,W2,Non-Resident,"17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers",1988,389
Income,Upper middle-income,W2,Non-Resident,18 - Food chemistry,18,Food chemistry,1988,207
Income,Upper middle-income,W2,Non-Resident,19 - Basic materials chemistry,19,Basic materials chemistry,1988,969
Income,Upper middle-income,W2,Non-Resident,"20 - Materials, metallurgy",20,"Materials, metallurgy",1988,647
Income,Upper middle-income,W2,Non-Resident,"21 - Surface technology, coating",21,"Surface technology, coating",1988,244
Income,Upper middle-income,W2,Non-Resident,22 - Micro-structural and nano-technology,22,Micro-structural and nano-technology,1988,1
Income,Upper middle-income,W2,Non-Resident,23 - Chemical engineering,23,Chemical engineering,1988,562
Income,Upper middle-income,W2,Non-Resident,24 - Environmental technology,24,Environmental technology,1988,137
Income,Upper middle-income,W2,Non-Resident,25 - Handling,25,Handling,1988,431
Income,Upper middle-income,W2,Non-Resident,26 - Machine tools,26,Machine tools,1988,364
Income,Upper middle-income,W2,Non-Resident,"27 - Engines, pumps, turbines",27,"Engines, pumps, turbines",1988,221
Income,Upper middle-income,W2,Non-Resident,28 - Textile and paper machines,28,Textile and paper machines,1988,311
Income,Upper middle-income,W2,Non-Resident,29 - Other special machines,29,Other special machines,1988,555
Income,Upper middle-income,W2,Non-Resident,30 - Thermal processes and apparatus,30,Thermal processes and apparatus,1988,241
Income,Upper middle-income,W2,Non-Resident,31 - Mechanical elements,31,Mechanical elements,1988,399
Income,Upper middle-income,W2,Non-Resident,32 - Transport,32,Transport,1988,276
Income,Upper middle-income,W2,Non-Resident,"33 - Furniture, games",33,"Furniture, games",1988,132
Income,Upper middle-income,W2,Non-Resident,34 - Other consumer goods,34,Other consumer goods,1988,177
Income,Upper middle-income,W2,Non-Resident,35 - Civil engineering,35,Civil engineering,1988,437
Income,High-income,W1,Resident,0 - Unknown,0,Unknown,1989,5039
Income,High-income,W1,Resident,"1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy",1989,6541
Income,High-income,W1,Resident,2 - Audio-visual technology,2,Audio-visual technology,1989,3002
Income,High-income,W1,Resident,3 - Telecommunications,3,Telecommunications,1989,2006
Income,High-income,W1,Resident,4 - Digital communication,4,Digital communication,1989,603
Income,High-income,W1,Resident,5 - Basic communication processes,5,Basic communication processes,1989,1612
Income,High-income,W1,Resident,6 - Computer technology,6,Computer technology,1989,2394
Income,High-income,W1,Resident,7 - IT methods for management,7,IT methods for management,1989,67
Income,High-income,W1,Resident,8 - Semiconductors,8,Semiconductors,1989,1689
Income,High-income,W1,Resident,9 - Optics,9,Optics,1989,2758
Income,High-income,W1,Resident,10 - Measurement,10,Measurement,1989,6218
Income,High-income,W1,Resident,11 - Analysis of biological materials,11,Analysis of biological materials,1989,598
Income,High-income,W1,Resident,12 - Control,12,Control,1989,2021
Income,High-income,W1,Resident,13 - Medical technology,13,Medical technology,1989,4355
Income,High-income,W1,Resident,14 - Organic fine chemistry,14,Organic fine chemistry,1989,4117
Income,High-income,W1,Resident,15 - Biotechnology,15,Biotechnology,1989,1152
Income,High-income,W1,Resident,16 - Pharmaceuticals,16,Pharmaceuticals,1989,1742
Income,High-income,W1,Resident,"17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers",1989,2466
Income,High-income,W1,Resident,18 - Food chemistry,18,Food chemistry,1989,1119
Income,High-income,W1,Resident,19 - Basic materials chemistry,19,Basic materials chemistry,1989,3239
Income,High-income,W1,Resident,"20 - Materials, metallurgy",20,"Materials, metallurgy",1989,2712
Income,High-income,W1,Resident,"21 - Surface technology, coating",21,"Surface technology, coating",1989,1619
Income,High-income,W1,Resident,22 - Micro-structural and nano-technology,22,Micro-structural and nano-technology,1989,2
Income,High-income,W1,Resident,23 - Chemical engineering,23,Chemical engineering,1989,3934
Income,High-income,W1,Resident,24 - Environmental technology,24,Environmental technology,1989,1692
Income,High-income,W1,Resident,25 - Handling,25,Handling,1989,5132
Income,High-income,W1,Resident,26 - Machine tools,26,Machine tools,1989,4535
Income,High-income,W1,Resident,"27 - Engines, pumps, turbines",27,"Engines, pumps, turbines",1989,3158
Income,High-income,W1,Resident,28 - Textile and paper machines,28,Textile and paper machines,1989,2969
Income,High-income,W1,Resident,29 - Other special machines,29,Other special machines,1989,5678
Income,High-income,W1,Resident,30 - Thermal processes and apparatus,30,Thermal processes and apparatus,1989,2374
Income,High-income,W1,Resident,31 - Mechanical elements,31,Mechanical elements,1989,5130
Income,High-income,W1,Resident,32 - Transport,32,Transport,1989,5654
Income,High-income,W1,Resident,"33 - Furniture, games",33,"Furniture, games",1989,3935
Income,High-income,W1,Resident,34 - Other consumer goods,34,Other consumer goods,1989,2802
Income,High-income,W1,Resident,35 - Civil engineering,35,Civil engineering,1989,6055
Income,High-income,W1,Non-Resident,0 - Unknown,0,Unknown,1989,1751
Income,High-income,W1,Non-Resident,"1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy",1989,7274
Income,High-income,W1,Non-Resident,2 - Audio-visual technology,2,Audio-visual technology,1989,5614
Income,High-income,W1,Non-Resident,3 - Telecommunications,3,Telecommunications,1989,2673
Income,High-income,W1,Non-Resident,4 - Digital communication,4,Digital communication,1989,818
Income,High-income,W1,Non-Resident,5 - Basic communication processes,5,Basic communication processes,1989,1666
Income,High-income,W1,Non-Resident,6 - Computer technology,6,Computer technology,1989,3133
Income,High-income,W1,Non-Resident,7 - IT methods for management,7,IT methods for management,1989,70
Income,High-income,W1,Non-Resident,8 - Semiconductors,8,Semiconductors,1989,2311
Income,High-income,W1,Non-Resident,9 - Optics,9,Optics,1989,5741
Income,High-income,W1,Non-Resident,10 - Measurement,10,Measurement,1989,6003
Income,High-income,W1,Non-Resident,11 - Analysis of biological materials,11,Analysis of biological materials,1989,832
Income,High-income,W1,Non-Resident,12 - Control,12,Control,1989,2074
Income,High-income,W1,Non-Resident,13 - Medical technology,13,Medical technology,1989,4222
Income,High-income,W1,Non-Resident,14 - Organic fine chemistry,14,Organic fine chemistry,1989,8507
Income,High-income,W1,Non-Resident,15 - Biotechnology,15,Biotechnology,1989,2061
Income,High-income,W1,Non-Resident,16 - Pharmaceuticals,16,Pharmaceuticals,1989,4970
Income,High-income,W1,Non-Resident,"17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers",1989,4442
Income,High-income,W1,Non-Resident,18 - Food chemistry,18,Food chemistry,1989,2103
Income,High-income,W1,Non-Resident,19 - Basic materials chemistry,19,Basic materials chemistry,1989,5389
Income,High-income,W1,Non-Resident,"20 - Materials, metallurgy",20,"Materials, metallurgy",1989,4392
Income,High-income,W1,Non-Resident,"21 - Surface technology, coating",21,"Surface technology, coating",1989,2828
Income,High-income,W1,Non-Resident,22 - Micro-structural and nano-technology,22,Micro-structural and nano-technology,1989,4
Income,High-income,W1,Non-Resident,23 - Chemical engineering,23,Chemical engineering,1989,5140
Income,High-income,W1,Non-Resident,24 - Environmental technology,24,Environmental technology,1989,1718
Income,High-income,W1,Non-Resident,25 - Handling,25,Handling,1989,6136
Income,High-income,W1,Non-Resident,26 - Machine tools,26,Machine tools,1989,5193
Income,High-income,W1,Non-Resident,"27 - Engines, pumps, turbines",27,"Engines, pumps, turbines",1989,4623
Income,High-income,W1,Non-Resident,28 - Textile and paper machines,28,Textile and paper machines,1989,5194
Income,High-income,W1,Non-Resident,29 - Other special machines,29,Other special machines,1989,6429
Income,High-income,W1,Non-Resident,30 - Thermal processes and apparatus,30,Thermal processes and apparatus,1989,2437
Income,High-income,W1,Non-Resident,31 - Mechanical elements,31,Mechanical elements,1989,6376
Income,High-income,W1,Non-Resident,32 - Transport,32,Transport,1989,6445
Income,High-income,W1,Non-Resident,"33 - Furniture, games",33,"Furniture, games",1989,2976
Income,High-income,W1,Non-Resident,34 - Other consumer goods,34,Other consumer goods,1989,3262
Income,High-income,W1,Non-Resident,35 - Civil engineering,35,Civil engineering,1989,5264
Income,Lower middle-income,W3,Resident,0 - Unknown,0,Unknown,1989,6
Income,Lower middle-income,W3,Resident,"1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy",1989,1
Income,Lower middle-income,W3,Resident,2 - Audio-visual technology,2,Audio-visual technology,1989,1
Income,Lower middle-income,W3,Resident,3 - Telecommunications,3,Telecommunications,1989,4
Income,Lower middle-income,W3,Resident,6 - Computer technology,6,Computer technology,1989,5
Income,Lower middle-income,W3,Resident,8 - Semiconductors,8,Semiconductors,1989,1
Income,Lower middle-income,W3,Resident,10 - Measurement,10,Measurement,1989,6
Income,Lower middle-income,W3,Resident,11 - Analysis of biological materials,11,Analysis of biological materials,1989,1
Income,Lower middle-income,W3,Resident,12 - Control,12,Control,1989,2
Income,Lower middle-income,W3,Resident,13 - Medical technology,13,Medical technology,1989,6
Income,Lower middle-income,W3,Resident,14 - Organic fine chemistry,14,Organic fine chemistry,1989,1
Income,Lower middle-income,W3,Resident,15 - Biotechnology,15,Biotechnology,1989,3
Income,Lower middle-income,W3,Resident,16 - Pharmaceuticals,16,Pharmaceuticals,1989,1
Income,Lower middle-income,W3,Resident,18 - Food chemistry,18,Food chemistry,1989,6
Income,Lower middle-income,W3,Resident,19 - Basic materials chemistry,19,Basic materials chemistry,1989,3
Income,Lower middle-income,W3,Resident,"20 - Materials, metallurgy",20,"Materials, metallurgy",1989,3
Income,Lower middle-income,W3,Resident,"21 - Surface technology, coating",21,"Surface technology, coating",1989,1
Income,Lower middle-income,W3,Resident,23 - Chemical engineering,23,Chemical engineering,1989,2
Income,Lower middle-income,W3,Resident,24 - Environmental technology,24,Environmental technology,1989,3
Income,Lower middle-income,W3,Resident,25 - Handling,25,Handling,1989,13
Income,Lower middle-income,W3,Resident,26 - Machine tools,26,Machine tools,1989,2
Income,Lower middle-income,W3,Resident,"27 - Engines, pumps, turbines",27,"Engines, pumps, turbines",1989,4
Income,Lower middle-income,W3,Resident,28 - Textile and paper machines,28,Textile and paper machines,1989,2
Income,Lower middle-income,W3,Resident,29 - Other special machines,29,Other special machines,1989,14
Income,Lower middle-income,W3,Resident,30 - Thermal processes and apparatus,30,Thermal processes and apparatus,1989,1
Income,Lower middle-income,W3,Resident,31 - Mechanical elements,31,Mechanical elements,1989,3
Income,Lower middle-income,W3,Resident,32 - Transport,32,Transport,1989,3
Income,Lower middle-income,W3,Resident,"33 - Furniture, games",33,"Furniture, games",1989,7
Income,Lower middle-income,W3,Resident,34 - Other consumer goods,34,Other consumer goods,1989,5
Income,Lower middle-income,W3,Resident,35 - Civil engineering,35,Civil engineering,1989,3
Income,Lower middle-income,W3,Non-Resident,0 - Unknown,0,Unknown,1989,50
Income,Lower middle-income,W3,Non-Resident,"1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy",1989,52
Income,Lower middle-income,W3,Non-Resident,2 - Audio-visual technology,2,Audio-visual technology,1989,14
Income,Lower middle-income,W3,Non-Resident,3 - Telecommunications,3,Telecommunications,1989,14
Income,Lower middle-income,W3,Non-Resident,4 - Digital communication,4,Digital communication,1989,1
Income,Lower middle-income,W3,Non-Resident,5 - Basic communication processes,5,Basic communication processes,1989,2
Income,Lower middle-income,W3,Non-Resident,6 - Computer technology,6,Computer technology,1989,13
Income,Lower middle-income,W3,Non-Resident,7 - IT methods for management,7,IT methods for management,1989,1
Income,Lower middle-income,W3,Non-Resident,8 - Semiconductors,8,Semiconductors,1989,4
Income,Lower middle-income,W3,Non-Resident,9 - Optics,9,Optics,1989,13
Income,Lower middle-income,W3,Non-Resident,10 - Measurement,10,Measurement,1989,31
Income,Lower middle-income,W3,Non-Resident,11 - Analysis of biological materials,11,Analysis of biological materials,1989,11
Income,Lower middle-income,W3,Non-Resident,12 - Control,12,Control,1989,11
Income,Lower middle-income,W3,Non-Resident,13 - Medical technology,13,Medical technology,1989,51
Income,Lower middle-income,W3,Non-Resident,14 - Organic fine chemistry,14,Organic fine chemistry,1989,316
Income,Lower middle-income,W3,Non-Resident,15 - Biotechnology,15,Biotechnology,1989,42
Income,Lower middle-income,W3,Non-Resident,16 - Pharmaceuticals,16,Pharmaceuticals,1989,242
Income,Lower middle-income,W3,Non-Resident,"17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers",1989,33
Income,Lower middle-income,W3,Non-Resident,18 - Food chemistry,18,Food chemistry,1989,66
Income,Lower middle-income,W3,Non-Resident,19 - Basic materials chemistry,19,Basic materials chemistry,1989,182
Income,Lower middle-income,W3,Non-Resident,"20 - Materials, metallurgy",20,"Materials, metallurgy",1989,58
Income,Lower middle-income,W3,Non-Resident,"21 - Surface technology, coating",21,"Surface technology, coating",1989,22
Income,Lower middle-income,W3,Non-Resident,23 - Chemical engineering,23,Chemical engineering,1989,62
Income,Lower middle-income,W3,Non-Resident,24 - Environmental technology,24,Environmental technology,1989,16
Income,Lower middle-income,W3,Non-Resident,25 - Handling,25,Handling,1989,59
Income,Lower middle-income,W3,Non-Resident,26 - Machine tools,26,Machine tools,1989,20
Income,Lower middle-income,W3,Non-Resident,"27 - Engines, pumps, turbines",27,"Engines, pumps, turbines",1989,20
Income,Lower middle-income,W3,Non-Resident,28 - Textile and paper machines,28,Textile and paper machines,1989,24
Income,Lower middle-income,W3,Non-Resident,29 - Other special machines,29,Other special machines,1989,70
Income,Lower middle-income,W3,Non-Resident,30 - Thermal processes and apparatus,30,Thermal processes and apparatus,1989,21
Income,Lower middle-income,W3,Non-Resident,31 - Mechanical elements,31,Mechanical elements,1989,31
Income,Lower middle-income,W3,Non-Resident,32 - Transport,32,Transport,1989,14
Income,Lower middle-income,W3,Non-Resident,"33 - Furniture, games",33,"Furniture, games",1989,13
Income,Lower middle-income,W3,Non-Resident,34 - Other consumer goods,34,Other consumer goods,1989,41
Income,Lower middle-income,W3,Non-Resident,35 - Civil engineering,35,Civil engineering,1989,47
Income,Low-income,W4,Resident,0 - Unknown,0,Unknown,1989,2
Income,Low-income,W4,Resident,13 - Medical technology,13,Medical technology,1989,1
Income,Low-income,W4,Resident,15 - Biotechnology,15,Biotechnology,1989,1
Income,Low-income,W4,Resident,16 - Pharmaceuticals,16,Pharmaceuticals,1989,2
Income,Low-income,W4,Resident,18 - Food chemistry,18,Food chemistry,1989,2
Income,Low-income,W4,Resident,23 - Chemical engineering,23,Chemical engineering,1989,1
Income,Low-income,W4,Resident,29 - Other special machines,29,Other special machines,1989,1
Income,Low-income,W4,Resident,30 - Thermal processes and apparatus,30,Thermal processes and apparatus,1989,1
Income,Low-income,W4,Resident,31 - Mechanical elements,31,Mechanical elements,1989,1
Income,Low-income,W4,Resident,32 - Transport,32,Transport,1989,1
Income,Low-income,W4,Resident,34 - Other consumer goods,34,Other consumer goods,1989,1
Income,Low-income,W4,Resident,35 - Civil engineering,35,Civil engineering,1989,5
Income,Low-income,W4,Non-Resident,0 - Unknown,0,Unknown,1989,36
Income,Low-income,W4,Non-Resident,"1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy",1989,7
Income,Low-income,W4,Non-Resident,2 - Audio-visual technology,2,Audio-visual technology,1989,2
Income,Low-income,W4,Non-Resident,3 - Telecommunications,3,Telecommunications,1989,6
Income,Low-income,W4,Non-Resident,4 - Digital communication,4,Digital communication,1989,2
Income,Low-income,W4,Non-Resident,6 - Computer technology,6,Computer technology,1989,2
Income,Low-income,W4,Non-Resident,7 - IT methods for management,7,IT methods for management,1989,1
Income,Low-income,W4,Non-Resident,10 - Measurement,10,Measurement,1989,18
Income,Low-income,W4,Non-Resident,11 - Analysis of biological materials,11,Analysis of biological materials,1989,6
Income,Low-income,W4,Non-Resident,12 - Control,12,Control,1989,4
Income,Low-income,W4,Non-Resident,13 - Medical technology,13,Medical technology,1989,21
Income,Low-income,W4,Non-Resident,14 - Organic fine chemistry,14,Organic fine chemistry,1989,85
Income,Low-income,W4,Non-Resident,15 - Biotechnology,15,Biotechnology,1989,21
Income,Low-income,W4,Non-Resident,16 - Pharmaceuticals,16,Pharmaceuticals,1989,73
Income,Low-income,W4,Non-Resident,"17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers",1989,16
Income,Low-income,W4,Non-Resident,18 - Food chemistry,18,Food chemistry,1989,9
Income,Low-income,W4,Non-Resident,19 - Basic materials chemistry,19,Basic materials chemistry,1989,77
Income,Low-income,W4,Non-Resident,"20 - Materials, metallurgy",20,"Materials, metallurgy",1989,26
Income,Low-income,W4,Non-Resident,"21 - Surface technology, coating",21,"Surface technology, coating",1989,5
Income,Low-income,W4,Non-Resident,23 - Chemical engineering,23,Chemical engineering,1989,33
Income,Low-income,W4,Non-Resident,24 - Environmental technology,24,Environmental technology,1989,4
Income,Low-income,W4,Non-Resident,25 - Handling,25,Handling,1989,14
Income,Low-income,W4,Non-Resident,26 - Machine tools,26,Machine tools,1989,8
Income,Low-income,W4,Non-Resident,"27 - Engines, pumps, turbines",27,"Engines, pumps, turbines",1989,5
Income,Low-income,W4,Non-Resident,28 - Textile and paper machines,28,Textile and paper machines,1989,5
Income,Low-income,W4,Non-Resident,29 - Other special machines,29,Other special machines,1989,41
Income,Low-income,W4,Non-Resident,30 - Thermal processes and apparatus,30,Thermal processes and apparatus,1989,6
Income,Low-income,W4,Non-Resident,31 - Mechanical elements,31,Mechanical elements,1989,12
Income,Low-income,W4,Non-Resident,32 - Transport,32,Transport,1989,9
Income,Low-income,W4,Non-Resident,"33 - Furniture, games",33,"Furniture, games",1989,8
Income,Low-income,W4,Non-Resident,34 - Other consumer goods,34,Other consumer goods,1989,12
Income,Low-income,W4,Non-Resident,35 - Civil engineering,35,Civil engineering,1989,21
Income,Upper middle-income,W2,Resident,0 - Unknown,0,Unknown,1989,440
Income,Upper middle-income,W2,Resident,"1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy",1989,164
Income,Upper middle-income,W2,Resident,2 - Audio-visual technology,2,Audio-visual technology,1989,36
Income,Upper middle-income,W2,Resident,3 - Telecommunications,3,Telecommunications,1989,38
Income,Upper middle-income,W2,Resident,4 - Digital communication,4,Digital communication,1989,6
Income,Upper middle-income,W2,Resident,5 - Basic communication processes,5,Basic communication processes,1989,40
Income,Upper middle-income,W2,Resident,6 - Computer technology,6,Computer technology,1989,49
Income,Upper middle-income,W2,Resident,8 - Semiconductors,8,Semiconductors,1989,15
Income,Upper middle-income,W2,Resident,9 - Optics,9,Optics,1989,28
Income,Upper middle-income,W2,Resident,10 - Measurement,10,Measurement,1989,183
Income,Upper middle-income,W2,Resident,11 - Analysis of biological materials,11,Analysis of biological materials,1989,11
Income,Upper middle-income,W2,Resident,12 - Control,12,Control,1989,60
Income,Upper middle-income,W2,Resident,13 - Medical technology,13,Medical technology,1989,53
Income,Upper middle-income,W2,Resident,14 - Organic fine chemistry,14,Organic fine chemistry,1989,177
Income,Upper middle-income,W2,Resident,15 - Biotechnology,15,Biotechnology,1989,40
Income,Upper middle-income,W2,Resident,16 - Pharmaceuticals,16,Pharmaceuticals,1989,105
Income,Upper middle-income,W2,Resident,"17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers",1989,106
Income,Upper middle-income,W2,Resident,18 - Food chemistry,18,Food chemistry,1989,105
Income,Upper middle-income,W2,Resident,19 - Basic materials chemistry,19,Basic materials chemistry,1989,157
Income,Upper middle-income,W2,Resident,"20 - Materials, metallurgy",20,"Materials, metallurgy",1989,180
Income,Upper middle-income,W2,Resident,"21 - Surface technology, coating",21,"Surface technology, coating",1989,65
Income,Upper middle-income,W2,Resident,23 - Chemical engineering,23,Chemical engineering,1989,136
Income,Upper middle-income,W2,Resident,24 - Environmental technology,24,Environmental technology,1989,55
Income,Upper middle-income,W2,Resident,25 - Handling,25,Handling,1989,106
Income,Upper middle-income,W2,Resident,26 - Machine tools,26,Machine tools,1989,170
Income,Upper middle-income,W2,Resident,"27 - Engines, pumps, turbines",27,"Engines, pumps, turbines",1989,71
Income,Upper middle-income,W2,Resident,28 - Textile and paper machines,28,Textile and paper machines,1989,56
Income,Upper middle-income,W2,Resident,29 - Other special machines,29,Other special machines,1989,195
Income,Upper middle-income,W2,Resident,30 - Thermal processes and apparatus,30,Thermal processes and apparatus,1989,96
Income,Upper middle-income,W2,Resident,31 - Mechanical elements,31,Mechanical elements,1989,157
Income,Upper middle-income,W2,Resident,32 - Transport,32,Transport,1989,64
Income,Upper middle-income,W2,Resident,"33 - Furniture, games",33,"Furniture, games",1989,43
Income,Upper middle-income,W2,Resident,34 - Other consumer goods,34,Other consumer goods,1989,44
Income,Upper middle-income,W2,Resident,35 - Civil engineering,35,Civil engineering,1989,206
Income,Upper middle-income,W2,Non-Resident,0 - Unknown,0,Unknown,1989,1434
Income,Upper middle-income,W2,Non-Resident,"1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy",1989,388
Income,Upper middle-income,W2,Non-Resident,2 - Audio-visual technology,2,Audio-visual technology,1989,98
Income,Upper middle-income,W2,Non-Resident,3 - Telecommunications,3,Telecommunications,1989,88
Income,Upper middle-income,W2,Non-Resident,4 - Digital communication,4,Digital communication,1989,22
Income,Upper middle-income,W2,Non-Resident,5 - Basic communication processes,5,Basic communication processes,1989,46
Income,Upper middle-income,W2,Non-Resident,6 - Computer technology,6,Computer technology,1989,104
Income,Upper middle-income,W2,Non-Resident,7 - IT methods for management,7,IT methods for management,1989,2
Income,Upper middle-income,W2,Non-Resident,8 - Semiconductors,8,Semiconductors,1989,38
Income,Upper middle-income,W2,Non-Resident,9 - Optics,9,Optics,1989,112
Income,Upper middle-income,W2,Non-Resident,10 - Measurement,10,Measurement,1989,296
Income,Upper middle-income,W2,Non-Resident,11 - Analysis of biological materials,11,Analysis of biological materials,1989,70
Income,Upper middle-income,W2,Non-Resident,12 - Control,12,Control,1989,93
Income,Upper middle-income,W2,Non-Resident,13 - Medical technology,13,Medical technology,1989,282
Income,Upper middle-income,W2,Non-Resident,14 - Organic fine chemistry,14,Organic fine chemistry,1989,1490
Income,Upper middle-income,W2,Non-Resident,15 - Biotechnology,15,Biotechnology,1989,318
Income,Upper middle-income,W2,Non-Resident,16 - Pharmaceuticals,16,Pharmaceuticals,1989,1014
Income,Upper middle-income,W2,Non-Resident,"17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers",1989,418
Income,Upper middle-income,W2,Non-Resident,18 - Food chemistry,18,Food chemistry,1989,266
Income,Upper middle-income,W2,Non-Resident,19 - Basic materials chemistry,19,Basic materials chemistry,1989,850
Income,Upper middle-income,W2,Non-Resident,"20 - Materials, metallurgy",20,"Materials, metallurgy",1989,572
Income,Upper middle-income,W2,Non-Resident,"21 - Surface technology, coating",21,"Surface technology, coating",1989,225
