Title,Publication number,Publication date,Inventor(s),Applicant(s),International classification,Cooperative Patent Classification,Application number,Date of application,Priority number(s),Patents cited in the search report,Literature cited in the search report,Patents cited during examination,Literature cited during examination,Other patent citations,Other literature citations,Patents used in opposition,Literature used in opposition,Patents cited by the applicant,Literature cited by the applicant,International search citation,International search NPL citation,Supplementary international search citation,Supplementary international search NPL citation
Pizza and crust having an irregular edge,US2004175477 (A1),09/09/2004,WALTER SHELLYâ€‚[US];  PAFKO WAYNE Mâ€‚[US];  MORAD MOHAMED Mâ€‚[US],"WALTER SHELLY, ; PAFKO WAYNE M, ; MORAD MOHAMED M",A21C9/04; A21D8/02; A21D13/00; A21D10/00,A21D13/007; A21C9/04; A21D8/02,US20040758296,20040115,US20040758296 20040115; US20030354896 20030129; US20030732173 20031209,,,,,,,,,,,,,,
One-dish frozen dinner product having an integral bread ring and apparatus for shipping and preparing same,US2004156956 (A1),12/08/2004,GOSSELIN AMY Lâ€‚[US];  COLE FRANKâ€‚[US];  GREINER STEVENâ€‚[US];  GUZOWSKI CHRISTOPHER Pâ€‚[US];  ZETTLEMOYER AMY LYNNEâ€‚[US];  SCHWAB BARBARA SUEâ€‚[US],"GOSSELIN AMY L, ; COLE FRANK, ; GREINER STEVEN, ; GUZOWSKI CHRISTOPHER P, ; ZETTLEMEYER AMY LYNNE, ; SCHWAB BARBARA SUE",A21B3/13; A47J36/02; A47J37/01; A47J36/36; A23B4/00,A21B3/13; A47J36/022; A47J37/01; A47J36/36,US20030749763,20031231,US20030749763 20031231; US20010822630 20010330; US20000729993 20001204,,,,,,,,,,,,,,
All-mighty portable cooker toaster oven,US2005132897 (A1),23/06/2005,UMALI IGNACIO Râ€‚[US],UMALI IGNACIO R,A47J33/00; A47J37/06; F24C1/16; A47J9/00; A23L1/00,F24C1/16; A47J33/00; A47J47/14,US20030745880,20031223,US20030745880 20031223,,,,,,,,,,,,,,
Pizza box,US6851603 (B1),08/02/2005,CARLSON ROBERT Câ€‚[US];  GLOCK OWENâ€‚[US];  TILLEY DANA Mâ€‚[US];  KNIERIM STANLEY Eâ€‚[US];  BAILEY MELISSA Mâ€‚[US],PAPA JOHN S INTERNATIONAL INCâ€‚[US],B65D5/42; B65D5/52; B65D5/66; B65D5/42,B65D5/6655; B65D5/4295; B65D5/5286; B65D2585/366; Y10S229/906; Y10S229/904,US20030745235,20031222,US20030745235 20031222,US2547716 (A); US2803390 (A); US2924372 (A); US3094264 (A); US3565323 (A); US4497433 (A); US4572423 (A); US4863094 (A); US5788081 (A); US5890648 (A); US6213389 (B1); US6568586 (B1),,,,,,,,,,,,,
Inert-gas based leavened dough system,US6759070 (B1),06/07/2004,NARAYANASWAMY VENKYâ€‚[US];  KREISMAN LINDA Râ€‚[US];  LANGLER JAMES Eâ€‚[US];  TOBELMANN DAVID Wâ€‚[US];  SOOD VIJAYâ€‚[US],GEN MILLS INCâ€‚[US],A21D4/00; A21D8/02; A21D8/06; A21D10/02; A21D4/00,A21D10/025; A21D4/00; A21D8/025; A21D8/06,US20000707184,20001106,US20000707184 20001106,US4511585 (A); US5366744 (A),,,,,,,,US3767422 (A); US4904493 (A); US5178893 (A); US5384139 (A); US5624697 (A); US6039994 (A); EP0443219 (A1); EP0868850 (A1),,,,,
System for automatic check-in and check-out for space occupancy,US2005098627 (A1); US7252227 (B2),12/05/2005,CHASE DOUGLAS Gâ€‚[US],CHASE DOUGLAS G,G06Q10/00; G06F17/60; G06K5/00; G06K7/01,G06Q10/02; G06Q30/0226; G06Q30/0237,US20030706234,20031112,US20030706234 20031112,US2002069093 (A1); US2003036930 (A1); US2003055689 (A1); US2003120523 (A1); US2004167809 (A1); US2004249681 (A1); US2004267623 (A1),,,,,,,,US5183142 (A); US6061668 (A); US6425524 (B2); US6559776 (B2); US6606602 (B1); US6606605 (B1); US6609102 (B2); US2002038287 (A1); US2002062277 (A1); US2002128923 (A1); US2002152179 (A1); US2003061605 (A1); US2003078895 (A1); US2003110133 (A1),,,,,
Pizza delivery box,US6932267 (B2); US2004094436 (A1),20/05/2004,POTENZA LOUIS Fâ€‚[US];  PIERONI LISA Aâ€‚[US],"POTENZA LOUIS F, ; PIERONI LISA A, ; POTENZA, JR. LOUIS F",B65D81/26; B65D85/36; B65D81/26,B65D81/268; B65D2585/366; Y10S229/906,US20030703044,20031106,US20030703044 20031106; US20020424622P 20021107,US2994404 (A); US3721803 (A); US3722188 (A); US4922626 (A); US5002221 (A); US5077050 (A); US5224975 (A); US5404808 (A); US5509601 (A); US5698217 (A); US5887783 (A); US6135273 (A),,,,,,,,,,,,,
Collapsible pizza box,US2005087591 (A1),28/04/2005,MCBRIDE MARK Aâ€‚[US];  EARWOOD KRISTYâ€‚[US],"MCBRIDE MARK A, ; EARWOOD KRISTY",B65D5/18; B65D85/36; B65D5/42,B65D5/18; B65D2585/366,US20030693325,20031024,US20030693325 20031024,,,,,,,,,,,,,,
Low carbohydrate food product and method of making the same,US2005089603 (A1),28/04/2005,KROL JAMES Dâ€‚[US],KROL JAMES D,A21D13/00; A21D15/00; A23L1/307; A23G3/00,A23L1/307; A21D13/0067; A21D15/00,US20030692857,20031027,US20030692857 20031027,,,,,,,,,,,,,,
Quality maintaining pizza/food take-out box,US2004238613 (A1); US7210613 (B2),02/12/2004,LEHRER RICHARD Mâ€‚[US],LEHRER RICHARD M,B65D5/50; B65D85/36; B65D5/00; B65D25/04,B65D5/5021; B65D5/5035; B65D85/36; B65D2585/366,US20030681981,20031009,US20030448165 20030530; US20030681981 20031009,US861899 (A); US1049910 (A); US1083514 (A); US1545487 (A); US1997816 (A); US3079040 (A); US4081125 (A); US4355757 (A); US4927073 (A); US5267645 (A); US6752311 (B2); US2004084348 (A1),,,,,,,,,,,,,
Microwaveable pizza crust,US6627242 (B1),30/09/2003,MCPHERSON ANDREW Eâ€‚[US];  CHEN WEIZHIâ€‚[US];  AKASHE AHMADâ€‚[US];  MILLER MIRANDAâ€‚[US],KRAFT FOODS HOLDINGS INCâ€‚[US],A21D2/16; A21D2/18; A21D10/00; A21D13/00; A21D10/02,A21D13/007; A21D2/16; A21D2/186; A21D10/00,US20000679484,20001004,US20000679484 20001004,US3975552 (A); US4560559 (A); US5035904 (A); US5202138 (A); US5620734 (A); US5939128 (A); US6156356 (A); US6245374 (B1),,,,,,,,US3637774 (A); US5565557 (A); US6025006 (A); US6068876 (A),,,,,
Method for cooking a pizza,US6967036 (B1),22/11/2005,HEDRINGTON JAMES ALANâ€‚[US];  DRESSEL BRENT WILLIAMâ€‚[US],NAT PRESTO INDâ€‚[US],A47J37/04; A47J37/06; A47J37/06,A47J37/0611; A47J37/043,US20000655166,20000905,US20000655166 20000905; US19990267981 19990312,US5676044 (A),,,,,,,,US563032 (A); US950058 (A); US1054321 (A); US1140338 (A); US1406372 (A); US1477343 (A); US2047046 (A); US2168773 (A); US2317225 (A); US2438699 (A); US2542406 (A); US2646495 (A); US2659800 (A); US2740395 (A); US2920177 (A); US3095186 (A); US3204549 (A); US3244859 (A); US3277813 (A); US3456579 (A); US3604338 (A); US3610885 (A); US3693536 (A); US3744403 (A); US3828163 (A); USD244444S (S); US4068569 (A); US4238669 (A); US4305329 (A); US4378729 (A); USD272509S (S); US4487116 (A); US4506652 (A); USD286368S (S); US4664025 (A); US4683813 (A); USD295251S (S); US4805587 (A); US4924763 (A); US4960977 (A); US5000083 (A); US5039535 (A); US5253565 (A); US5378872 (A); US5398666 (A); US5404798 (A); US5441035 (A); US5492055 (A); US5496987 (A); US5503063 (A); USD374790S (S); US5586488 (A); USD379733S (S); US5845563 (A); US6089144 (A); USD429441S (S); US6125740 (A); DE9409321U (U1); FR2390137 (A1); FR2394279 (A1); IT709916 (A); JPS5568537 (A); JPS59112132 (A); JPS64691 (A); JPS6490929 (A); JPH01111143 (A); JPH01142329 (A); JPH0694245 (A); JPH06213464 (A); SU1629014 (A1); WO9428692 (A1); WO9830140 (A1); WO9955210 (A1); WO9956602 (A1),,,,,
Method of deflavoring soy-derived materials for use in dough-based and baked products,US2004161512 (A1),19/08/2004,AKASHE AHMADâ€‚[US];  MEIBACH RONALD LOUISâ€‚[US],KRAFT FOODS HOLDINGS INCâ€‚[US],A21D2/26; A21D13/06; A23C11/10; A23G1/00; A23G1/44; A23G1/48; A23G1/56; A23G3/00; A23G3/34; A23G3/44; A23G3/48; A23J1/14; A23J3/16; A23L1/211; A23L1/277; A23L1/305; A23L1/317; A23L1/48; C12G3/02; C12H1/04,A21D13/064; A21D2/266; A21D13/0048; A21D13/0067; A23C11/103; A23C11/106; A23G1/44; A23G1/48; A23G1/56; A23G3/346; A23G3/44; A23G3/48; A23J1/14; A23J3/16; A23L1/211; A23L1/277; A23L1/3055; A23L1/3056; A23L1/3175; C12G3/02; A23G2200/10; A23G2200/14; A23V2002/00; A23V2300/34; A23G1/56; A23G2200/10; A23G1/56; A23G2200/14; A23G3/346; A23G2200/10; A23G3/346; A23G2200/14; A23V2002/00; A23V2250/70; A23V2250/156; A23V2002/00; A23V2200/21; A23V2250/5118; A23V2250/5488; A23V2200/15; A23V2002/00; A23V2250/54246; A23V2250/54252; A23V2250/5432; A23V2250/5488; A23V2250/6416; A23V2250/5114; A23V2250/5118; A23V2250/1842,US20030654769,20030904,US20030654769 20030904; US20010939500 20010823; US20000250228P 20001130,,,,,,,,,,,,,,
Point of purchase display accessory,US7603287 (B2); US2004133475 (A1),08/07/2004,KARGMAN JAMES Bâ€‚[US],"KARGMAN JAMES B, ; IPDEV CO",G06Q30/00; G06F17/60,G06Q30/06; G06Q20/20; G06Q50/12,US20030641248,20030814,US20030641248 20030814; US20020403869P 20020814,US5398905 (A); US5454721 (A); US5638096 (A),,,,,,,,,,,,,
Graphical display system for use with a computerized point-of-sale system,US2004111321 (A1),10/06/2004,KARGMAN JAMES Bâ€‚[US],KARGMAN JAMES B,G06Q30/00; G06F17/60,G06Q30/02; G06Q20/20,US20030637603,20030808,US20030637603 20030808; US20020402433P 20020809,,,,,,,,,,,,,,
Pizza cutter,US2005028388 (A1),10/02/2005,LIU MING-CHIENâ€‚[TW],LIU MING-CHIEN,B26B25/00; B26B3/00,B26B25/005,US20030635457,20030807,US20030635457 20030807,,,,,,,,,,,,,,
Enhanced food embossing roller device,US2004040445 (A1),04/03/2004,ERRERA RICHARD BENâ€‚[US],GOURMET IMPRESSION LLCâ€‚[US],A21C11/02; A21C11/04; H05B1/00,A21C11/04; A21C11/02,US20030634438,20030805,US20030634438 20030805; US20020406443P 20020828,,,,,,,,,,,,,,
"Portable light with removable, interchangeable signal covers",US2005024862 (A1),03/02/2005,LAUX WILLIAM Râ€‚[US],LAUX WILLIAM R,G09F13/04; F21L4/00; F21V1/12; G09F13/04,G09F13/04,US20030631090,20030730,US20030631090 20030730,,,,,,,,,,,,,,
Apparatus for making pizza,US6526874 (B1),04/03/2003,KHATCHADOURIAN PUZANTâ€‚[US];  KOUYOUMDJIAN KRIKORâ€‚[CA];  BRINI BERNARDOâ€‚[CA],KHATCHADOURIAN PUZANTâ€‚[US],A21C3/02; A21C9/00; A21C9/04; A21C9/08; A21C11/00; A21C11/06; A21C11/10; A21D6/00; A21D13/00; A47J37/04,A21C9/083; A21C9/04; A21C11/00; A21D6/003; A21D13/007,US20000605333,20000627,US19970900031 19970724; US19960022603P 19960725; US20000605333 20000627; US19990248078 19990210,US3631818 (A); US5921170 (A); US6086934 (A),,,,,,,,,,,,,
"Convenient, disposable article for food packaging",US6581764 (B1),24/06/2003,HILLEBRAND CORYâ€‚[US],HILLEBRAND CORY,B65D75/42; B65D75/58; B65D85/36; B65D69/00,B65D75/42; B65D75/5833; B65D2585/366; Y10S206/82,US20000603228,20000626,US20000603228 20000626; US20000181921P 20000211,USRE20564E (E); US3224574 (A); US3283422 (A); US3286831 (A); US4015085 (A); US4267420 (A); US4488642 (A); US4715500 (A); US4775771 (A); US4784864 (A); US4911938 (A); US4938608 (A); US4940867 (A); US5180894 (A); US5217768 (A); US5225287 (A); US5357086 (A); US5497913 (A); US5571627 (A); US5585027 (A); US5857564 (A); US5884763 (A); US5988882 (A),,,,,,,,US2759830 (A); US2830910 (A); US2902371 (A); US3012894 (A); US3185372 (A); US3291377 (A); US3411433 (A); US3836064 (A); US3984592 (A); US4579278 (A); US4697732 (A); US4886179 (A); US5399366 (A); US5560945 (A); US5654075 (A),,,,,
Food package whose lid has descending ribs to help hold food product and toppings in position,US6595366 (B1),22/07/2003,BROWN DEAN Râ€‚[US],PWP INDâ€‚[US],B65D43/02; B65D85/36; B65D25/04; B65D85/72,B65D43/0222; B65D2543/00092; B65D2543/00194; B65D2543/00296; B65D2543/00398; B65D2543/00416; B65D2543/00527; B65D2543/00537; B65D2585/366,US20000562824,20000501,US20000562824 20000501,US1448938 (A); US1797070 (A); US3099567 (A); US3508930 (A); USRE29415E (E); US4545487 (A); US4757899 (A); US4872608 (A); US4874083 (A); US5076434 (A); US5082677 (A); US5405627 (A); US5472139 (A); US5509601 (A); US5600889 (A); US5662237 (A); US5887749 (A); US5979687 (A); US6042856 (A),,,,,,,,US1743980 (A); US3556338 (A); US3592349 (A); US3682365 (A); US3718274 (A); US4202464 (A); US4256240 (A); US4290248 (A); US4334631 (A); US4373636 (A); US4408698 (A); US4444332 (A); US4570818 (A); US4574974 (A); US4706839 (A); US4719087 (A); US4834237 (A); US4886184 (A); US4933216 (A); US5273174 (A); US5368178 (A); US5405009 (A); US5507429 (A); US5540342 (A); US5762221 (A); US5829595 (A); US5866181 (A); US5866183 (A); US5897015 (A); EP0420429 (B1),,,,,
Storage pouch for use with an induction heater,US6512211 (B1),28/01/2003,LOCKHART EDWARD Aâ€‚[CA];  MOYER JOSEPH Sâ€‚[US],COVERTEX CORPâ€‚[CA];  THERMAL SOLUTIONS INCâ€‚[US],H05B6/12; H05B6/12,H05B6/12; Y10S99/14,US20000540893,20000331,US20000540893 20000331,US4110587 (A); US4816646 (A); US4916290 (A); US5155319 (A); US5603858 (A); US5611328 (A); US5892202 (A); US6018143 (A); US6232585 (B1),,,,,,,,,,,,,
System and method for producing par-baked pizza crusts,US6843167 (B1),18/01/2005,KANAFANI HANNYâ€‚[US];  ELNAKIB OSSAMA Râ€‚[US];  HAYDEN STACI Lâ€‚[US];  ALAGNA MICHAEL Aâ€‚[US];  BAUER JAY Eâ€‚[US];  HILTON JAMES Lâ€‚[US],PIZZA HUT INCâ€‚[US],A21B3/13; A21B7/00; A21C11/00; A21D8/00; A21D13/00; A21C13/02; A21B1/48; A21C11/00,A21D13/007; A21B3/132; A21B7/00; A21C11/004; A21D8/00,US20000539454,20000330,US20000539454 20000330; US19990172237P 19990413,US4046920 (A); US4208441 (A); US4303677 (A); US4367243 (A); US4464405 (A); US4842882 (A); US5149594 (A); US5620731 (A); US5622742 (A); US6327968 (B1); GB2228661 (A),,,,,,,,US1831147 (A); US2774316 (A); US3347181 (A); US3385205 (A); US3814005 (A); US3949660 (A); US4065583 (A); US4100308 (A); US4170659 (A); US4173942 (A); US4251549 (A); US4265919 (A); US4283424 (A); US4285979 (A); US4379055 (A); US4400404 (A); US4464406 (A); US4500276 (A); US4539213 (A); US4606923 (A); US4649053 (A); US4656935 (A); US4661361 (A); US4668524 (A); US4696823 (A); US4749581 (A); US4769252 (A); US4904492 (A); US4905581 (A); US4910038 (A); US4973240 (A); US5009867 (A); US5063073 (A); US5074777 (A); US5074778 (A); US5149556 (A); US5154115 (A); US5176922 (A); US5200216 (A); US5200225 (A); US5206045 (A); US5207151 (A); US5215775 (A); US5234700 (A); US5243899 (A); US5253565 (A); US5254823 (A); US5256432 (A); US5259750 (A); US5260070 (A); USD343627S (S); US5308640 (A); US5354566 (A); US5361687 (A); US5380543 (A); US5400698 (A); US5405626 (A); US5405627 (A); US5409367 (A); US5417149 (A); US5417150 (A); US5434390 (A); US5441751 (A); US5465654 (A); US5484618 (A); US5508049 (A); US5510135 (A); US5514402 (A); US5526735 (A); US5536162 (A); US5558793 (A); US5591470 (A); US5595778 (A); US5716658 (A); US5750170 (A); US5756137 (A); US5775208 (A); US5780082 (A); US5789009 (A); US5800844 (A); US6069345 (A); DE19820055 (C1); FR2672468 (A1); GB2228661 (A); GB2289431 (A); JPS45104Y (Y1),,,,,
Laminated pizza crust,US2003134016 (A1),17/07/2003,BUBAR RONALD Oâ€‚[US],BUBAR RONALD O,A21C3/02; A21C11/00; A21D8/00; A21D8/02; A21D13/00; A21D13/08; A23G1/00,A21D13/0061; A21C3/02; A21C11/004; A21D8/02; A21D13/007,US20000535067,20000323,US19950496894 19950630; US19970968900 19971106; US20000535067 20000323,,,,,,,,,,,,,,
Pizza sauce dispensing devices and methods,US6626996 (B1),30/09/2003,AMIGH STEVENâ€‚[US];  ORTEGON HOMEROâ€‚[US],PIZZA HUT INCâ€‚[US],A21C9/04; B05C11/10,A21C9/04,US20000525190,20000314,US20000525190 20000314,US3602154 (A); US3751198 (A); US4882475 (A); US5117749 (A); US5121677 (A); US5445674 (A); US5695817 (A); US5921170 (A); US5960225 (A); US5962070 (A); US5997924 (A); US6113697 (A),,,,,,,,US2073731 (A); US3358618 (A); US3631818 (A); US4173942 (A); US5540943 (A); DE3810298 (A1); WO9013229 (A1); WO9804137 (A1); WO9948373 (A1),,,,,
"Dough-based support, in particular for a pizza",US2005139507 (A1),30/06/2005,TRANI GIORGIOâ€‚[IT];  STERNER MARIONâ€‚[IT],"TRANI GIORGIO, ; STERNER MARION",A21C11/00; A21D13/00; A45C11/20,A21D13/009; A21C11/004,US20040513787,20041117,WO2003EP05359 20030522; IT2002VE00018 20020523,,,,,,,,,,,,,,
Multiple level carton box assembly for pizza or the like,US2005199687 (A1),15/09/2005,ANGELOPOULOS EVANGELOSâ€‚[GR];  DOLORES ANTONIA Mâ€‚[FR],"ANGELOPOULOS EVANGELOS, ; DOLORES ANTONIA M",B65D5/00; B65D5/20; B65D5/42; B65D5/64; B65D85/36; B65D43/00,B65D5/64; B65D5/0015; B65D5/2033; B65D5/427; B65D2585/366,US20040512901,20041030,WO2002GR00063 20021204; GR20020100218 20020502,,,,,,,,,,,,,,
Pizza box with removable portions used as reward tokens,US8042728 (B2); US2005218202 (A1),06/10/2005,BRAOUDAKIS GEORGEâ€‚[AU],INITIATIVES AND INNOVATIONS PTY LTD,B65D5/22; B65D5/42; B65D5/46; B65D5/54; B65D5/66; B65D25/20; B65D85/36; B65D5/00,B65D5/6661; B65D5/6664; B65D5/6667; B65D25/205; B65D5/22; B65D5/4229; B65D2205/00; B65D2313/04; B65D2585/366; Y10S206/831; Y10S229/915; Y10S229/902,US20040511177,20041014,AU2002PS01798 20020417; WO2003AU00462 20030417,US2914235 (A); US2965279 (A); US4345393 (A); US4648548 (A); US5236084 (A); US5385292 (A); US5725146 (A); US5967407 (A); US6041997 (A); US6068181 (A); US6153280 (A),,,,,,,,US3804323 (A); US4108350 (A); US5035515 (A); US5072877 (A); US5074462 (A); US5465837 (A); US5934549 (A); US5961035 (A); US6027018 (A); US2001010132 (A1); AU3685497 (A); DE20006811U (U1); DE20011513U (U1); GB2262508 (A); JPH10338224 (A),,,,,
Bag for carrying box-shaped objects,US2004130170 (A1); US7055876 (B2),08/07/2004,WOLDEKIDAN TEZZIâ€‚[US],WOLDEKIDAN TEZZI,A47J47/14; B65D30/10; B65D30/12; B65D33/10; B65D85/36; A45F5/00,A47J47/145; B65D31/16; B65D33/105; B65D2585/366,US20030473858,20031003,SE20010001211 20010405; WO2002SE00649 20020403,US1861431 (A); US2784890 (A); US2998181 (A); US3094258 (A); US3963121 (A); US4226192 (A); US4552271 (A); US4553780 (A); US5056843 (A); US5582296 (A); US5741077 (A); US5794999 (A),,,,,,,,US5524949 (A); EP0687633 (A1); EP1084645 (A2); WO9209493 (A1),,,,,
Provision of location dependent services without revealing the user identity via a mobile telecommunications network,US2005261001 (A1); US7139556 (B2),24/11/2005,MARLEY NEILâ€‚[GB];  DEBNEY CHARLIE Wâ€‚[GB],VODAFONE GROUP PLC,H04L29/06; H04W4/02; H04W12/02; H04Q7/20,H04L63/0421; H04W4/02; H04W12/02,US20030468044,20030925,GB20010003502 20010213; WO2002GB00195 20020117,US5448760 (A); US6243739 (B1); US6282424 (B1); US6289212 (B1); US6647260 (B2); US6754482 (B1); US2001014911 (A1),,,,,,,,US5488569 (A); USH1894H (H); EP0301740 (A2); EP1081916 (A2); EP1126732 (A2); FR2711033 (A1); GB2287855 (A); WO9930514 (A2); WO9952316 (A1); WO0072207 (A1); WO0077642 (A1); WO0128273 (A1),,,,,
Storage bag for pizza slice,US2004247208 (A1),09/12/2004,KROHNE ROBERT Câ€‚[US],KROHNE ROBERT C,B65D30/28; B65D33/01; B65D33/25; B65D85/36; B65D33/16,B65D33/01; B65D31/18; B65D33/2508; B65D2585/366,US20030456922,20030609,US20030456922 20030609,,,,,,,,,,,,,,
"Edible, hand-held personal food container",US2004241300 (A1),02/12/2004,COLE LAWRENCE Aâ€‚[US],COLE LAWRENCE A,A21D13/00; A21D15/02; A21D6/00,A21D13/0029; A21D13/009; A21D15/02,US20030449623,20030602,US20030449623 20030602,,,,,,,,,,,,,,
Quality maintaining pizza/food take-out box,US2004238612 (A1),02/12/2004,LEHRER RICHARD Mâ€‚[US],LEHRER RICHARD M,B65D5/50; B65D85/36; B65D25/04; B65D5/42,B65D85/36; B65D5/5021; B65D5/5035; B65D2585/366,US20030448165,20030530,US20030448165 20030530,,,,,,,,,,,,,,
CARRYING DEVICE,US2004232181 (A1); US7066362 (B2),25/11/2004,MARNELL MICHAEL Jâ€‚[US],MARNELL MICHAEL J,B60R7/04; B60R7/00,B60R7/043,US20030442214,20030520,US20030442214 20030520,US3326446 (A); US3499595 (A); US4765583 (A); US4967992 (A); US5102080 (A); US5470002 (A); US5868367 (A); US5887406 (A); US5899529 (A); US6135546 (A); US6305652 (B1); US6422440 (B1); US2002092246 (A1),,,,,,,,,,,,,
Ambidextrous sectional pizza box,US2003209592 (A1); US6905065 (B2),13/11/2003,LAWRENCE HOLDEN CHRISTOPHER GUâ€‚[CA],"LAWRENCE HOLDEN CHRISTOPHER GUY, ; PIZZA BOX 2000, INC",A47G21/00; B65D85/36; B65D5/00,A47G21/001; B65D85/36; B65D2585/366; Y10S229/906; Y10S229/942,US20030435460,20030512,US20030435460 20030512; US20020378987P 20020510,US798264 (A); US3335846 (A); US3771713 (A); US5110038 (A); US5476214 (A); USD390110S (S); US6386440 (B1),,,,,,,,US5014853 (A); US6299918 (B1); US6440050 (B1),,,,,
Material-saving blank and box,US2004222276 (A1),11/11/2004,CORRELL JOHN Dâ€‚[US],CORRELL JOHN D,B65D5/20; B65D5/66; B65D85/36; B65D5/00,B65D5/2047; B65D5/2033; B65D5/2057; B65D5/6664; B65D2301/10; B65D2585/366,US20030431984,20030508,US20030431984 20030508,,,,,,,,,,,,,,
Dough with impression area to promote folding,US2004018291 (A1),29/01/2004,NELSON KATHY Aâ€‚[US];  NGUYEN JENNIFER Tâ€‚[US],"NELSON KATHY A, ; NGUYEN JENNIFER T",A21D8/00; A21D10/02; A21D13/00; A21D13/08; A21D10/00,A21D13/007,US20030429483,20030505,US20020378268P 20020506; US20030429483 20030505,,,,,,,,,,,,,,
Multi-layered pizza pie box,US6915949 (B1),12/07/2005,ECONOMOPOULOS DEMOSTHENES Oâ€‚[US],ECONOMOPOULOS DEMOSTHENES O,B65D5/42; B65D5/468; B65D5/66; B65D25/04,B65D5/6664; B65D5/4295; B65D5/4608; B65D2205/02; B65D2585/366; Y10S229/903; Y10S229/906,US20030428364,20030502,US20030428364 20030502,US2758774 (A); US2926831 (A); US3656611 (A); US4944452 (A); US4957237 (A); US5002221 (A); US5049710 (A); US5273206 (A); US5445314 (A); US5950912 (A); US6386440 (B1),,,,,,,,US2732121 (A); US3013710 (A); US4356953 (A); US4739921 (A); US5351880 (A); USD362803S (S); US5544806 (A),,,,,
Food embossing roller device,US7252491 (B2); US2004040444 (A1),04/03/2004,ERRERA RICHARD BENâ€‚[US],GOURMET IMPRESSION LLCâ€‚[US],A21C11/04; A47J37/08,A21C11/04,US20030423562,20030425,US20030423562 20030425; US20020406443P 20020828,US126833 (A); US177319 (A); US522465 (A); US1162425 (A); US2075157 (A); US2099286 (A); US4426200 (A),,,,,,,,US3536014 (A); US3936255 (A); US5642659 (A); US5834047 (A); US5996476 (A); US6406733 (B1); US6431849 (B1),,,,,
Pizza box apparatus,US6966483 (B2); US2003201316 (A1),30/10/2003,MANNINEN MICHAEL Wâ€‚[US],MANNINEN MICHAEL W,B65D5/20; B65D5/42; B65D5/66; B65D85/36; B65D5/00,B65D5/6655; B65D5/2028; B65D5/42; B65D5/4229; B65D85/36; B65D2585/366; Y10S229/906; Y10S229/904,US20030420459,20030422,US20030420459 20030422; US20020374687P 20020424,US4535928 (A); US5014853 (A); USD319259S (S); US5071062 (A); US5601230 (A); US6375066 (B1); US6440050 (B1); US6585551 (B2),,,,,,,,US3310220 (A); US4452367 (A); US5110038 (A); US5476214 (A),,,,,
Pizza advertizing and delivery beacon,US2003196358 (A1),23/10/2003,FRATZKE FRANK Vâ€‚[US],FRATZKE FRANK V,G09F7/00; G09F7/00; G09F13/02,G09F7/00,US20030418091,20030418,US20020373581P 20020419; US20030418091 20030418,,,,,,,,,,,,,,
Method of packaging and transporting pizza for improved efficiency and crush-resistance,US2003163978 (A1); US6922976 (B2),04/09/2003,CORRELL JOHN Dâ€‚[US],CORRELL JOHN D,B65D5/20; B65D5/22; B65D5/42; B65D5/66; B65D85/36; B65B43/10,B65D5/665; B65D5/2047; B65D5/22; B65D5/42; B65D2585/366,US20030385374,20030310,US20010817643 20010326; US19980200684 19981127; US20000551245 20000417; US20030385374 20030310,,,,,,,,,US1530644 (A); US1824927 (A); US4009821 (A); US4265393 (A); US4765534 (A); US4804136 (A); US4809908 (A); US4919326 (A); US5000374 (A); US5110039 (A); US5381949 (A); US5702054 (A); US5752651 (A); US5799864 (A); US5806755 (A); DE2804211 (A1); JPH0385244 (A),,,,,
"Protein-rich, low-calorie food preparation for pizza-type products and the preparation method thereof",US2004047961 (A1),11/03/2004,ALLOUCHE REGINALDâ€‚[FR],ALLOUCHE REGINALD,A21D2/26; A21D2/36; A21D13/00; A21D13/06; A23L1/29; A21D10/00,A21D13/007; A21D2/263; A21D2/266; A21D2/36; A21D13/06; A23L1/29,US20030381081,20030805,WO2002FR02180 20020624; FR20010008268 20010622,,,,,,,,,,,,,,
Process of rapidly preparing a fermented dry or semi-dry sausage product and products therefrom,US7037542 (B2); US2004170723 (A1),02/09/2004,HOEL VICKYâ€‚[US];  NEWKIRK KYLE Aâ€‚[US],"HOEL VICKY, ; NEWKIRK KYLE A, ; GENERAL MILLS, INC",A23B4/12; A23L1/314; A23L1/317; A23L1/31,A23L1/31445; A23B4/12; A23L1/31472; A23L1/3175,US20030376178,20030227,US20030376178 20030227,US5639495 (A),,,,,,,,US4514424 (A); US4803092 (A); US4847097 (A); US5736186 (A); EP0572305 (B1),,,,,
Extruded dry and semi-dry sausage product processing and to products thereform,US2004170745 (A1),02/09/2004,NEWKIRK KYLE Aâ€‚[US],NEWKIRK KYLE A,A23B4/033; A23L1/00; A23L1/315; A23L1/317; A23L1/31,A23B4/033; A23L1/0076; A23L1/3152; A23L1/317; A23L1/3175,US20030375281,20030227,US20030375281 20030227,,,,,,,,,,,,,,
