Title,Publication number,Publication date,Inventor(s),Applicant(s),International classification,Cooperative Patent Classification,Application number,Date of application,Priority number(s),Patents cited in the search report,Literature cited in the search report,Patents cited during examination,Literature cited during examination,Other patent citations,Other literature citations,Patents used in opposition,Literature used in opposition,Patents cited by the applicant,Literature cited by the applicant,International search citation,International search NPL citation,Supplementary international search citation,Supplementary international search NPL citation
Multifunctional pizza dish,CN202355020 (U),01/08/2012,MENTIONED THE INVENTOR HAS WAIVED THE RIGHT TO BE,SU YIJUN,A47G19/02,,CN20112405043U,20111023,CN20112405043U 20111023,,,,,,,,,,,,,,
Grapefruit flesh and peel mixed stuffing,CN102613509 (B); CN102613509 (A),01/08/2012,JUAN WANG;  JIHONG HUANG,JUAN WANG,A23L1/212; A23L1/09,,CN20121121604,20120424,CN20121121604 20120424,CN101057688 (A); CN101438777 (A); CN101703180 (A); CN102138617 (A),,,,,,,,,,,,,
Pizza box,CN202346173 (U),25/07/2012,HUAN XING;  WEI HUANG,UNIV ZHEJIANG TECHNOLOGY,B65D85/36; B65D5/64; B65D81/36,,CN20112318211U,20110829,CN20112318211U 20110829,,,,,,,,,,,,,,
"Carrier structure for food carrier for e.g. pizza, has receiving device aligned parallel to base-food carrier in mounted state and in pre-defined position in horizontal and vertical directions relative to base-food carrier",DE102010064198 (A1),28/06/2012,ANDREAS MARGITâ€‚[DE];  HERBOLSHEIMER JOCHENâ€‚[DE];  LEBACHER ANNAâ€‚[DE];  LEBACHER RAINERâ€‚[DE];  VAROL NECATI EFEâ€‚[DE],BSH BOSCH SIEMENS HAUSGERAETEâ€‚[DE],F24C15/16; A21B3/15,F24C15/16,DE20101064198,20101227,DE20101064198 20101227,,,,,,,,,DE202006010579U (U1),,,,,
BAKING OVEN,JP2012115220 (A),21/06/2012,,HOMES COFFEE KK,A21B1/04; A21B3/00,,JP20100269322,20101202,JP20100269322 20101202,,,JP2002247946 (A); JP2003061558 (A),,,,,,,,,,,
Reusable Pizza Pan Set,US2012175367 (A1),12/07/2012,LOPES SUSANâ€‚[US];  SAAKE JEFFREYâ€‚[US],LOPES SUSANâ€‚[US];  SAAKE JEFFREYâ€‚[US],B65D51/00,B65D25/14; B65D43/0222; B65D51/1611; B65D2543/00092; B65D2543/00277; B65D2543/00407; B65D2543/00527; B65D2543/00537; B65D2585/366,US201213344902,20120106,US201213344902 20120106; US201161430582P 20110107,US6257434 (B1); US5585027 (A); US3938726 (A); US2010155358 (A1); US6188055 (B1); US5565125 (A); US5472139 (A); US6100514 (A); US3335846 (A); US7980412 (B2); US7942268 (B2); US5605231 (A); US5543606 (A); US5076434 (A); US4848543 (A); US4373636 (A); US2009057381 (A1); US4883195 (A); US1945397 (A); US5352465 (A); US4260060 (A); US6095324 (A); US4304106 (A); US6019511 (A); US4360118 (A); US3484015 (A); US6627862 (B1); US2006147588 (A1); US2012024859 (A1); US2008296303 (A1); US8070116 (B1); US6056146 (A); US8192537 (B2); US8096437 (B1); US3958504 (A); US2011127282 (A1); US2008178747 (A1); US4933193 (A),,,,,,,,,,,,,
Multifunctional pizza pot,CN202287881 (U),04/07/2012,HUIFENG ZHANG,HUIFENG ZHANG,A47J37/06,,CN20112392705U,20111014,CN20112392705U 20111014,,,,,,,,,,,,,,
"MODULAR FOOD PREPARATION, COOKING, DINING, SERVING AND ENTERTAINMENT SYSTEM",WO2012164281 (A1),06/12/2012,SMITH WAYNE ANTHONYâ€‚[GB],SMITH WAYNE ANTHONYâ€‚[GB],A47J37/07,A47J37/0704; A47J37/0763,WO2012GB51211,20120530,GB20110009265 20110602,,,,,,,,,,,WO2010116217 (A1); DE102006006454 (A1); EP1588654 (A2); DE202005004673U (U1); US6513515 (B1); GB2465880 (A),,,
Circulating Air Oven,US2012164591 (A1),28/06/2012,CHADWICK DANIEL SEBASTIANâ€‚[GB];  ADAMS GUY DE WARRENNE BRUCEâ€‚[GB],CHADWICK DANIEL SEBASTIANâ€‚[GB];  ADAMS GUY DE WARRENNE BRUCEâ€‚[GB],F24C3/00,F24B1/003; F24C15/10,US201013393734,20100826,GB20090015075 20090901; WO2010GB01610 20100826,,,,,,,,,,,,,,
METHOD FOR MANUFACTURING NUREUNGJI DOUGH,KR101146239 (B1),15/05/2012,O JAE HYEONâ€‚[KR];  KIM NAN YOUNGâ€‚[KR],KIM NAN YOUNGâ€‚[KR];  O JAE HYEONâ€‚[KR],A23L1/10; A23L1/182,,KR20110125309,20111128,KR20110125309 20111128,KR100202266B (B1); KR100529823B (B1); KR20110131659 (A); KR100199517B (B1),,,,,,,,,,,,,
COMPOSITION FOR PREVENTION OR TREATMENT OF RHEUMATOID ARTHRITIS COMPRISING THE PHOSPHOLIPASE D1 INHIBITOR,KR20120049508 (A),17/05/2012,MIN DO SIKâ€‚[KR];  YOO HYUN JUNGâ€‚[KR];  KANG DONG WOOâ€‚[KR],PUSAN NAT UNIV IND COOP FOUNDâ€‚[KR],A61K31/4184; A61K31/445; A61P19/00; A61P19/02,A61K31/4184; A61K31/445,KR20100110791,20101109,KR20100110791 20101109,,,,,,,,,,,,,,
COMPOSITION FOR PREVENTION OR TREATMENT OF OSTEOPOROSIS COMPRISING EXTRACT OF CIRSII HERBA,KR20120044450 (A),08/05/2012,MA JIN YEULâ€‚[KR];  SHIM KI SHUKâ€‚[KR];  LEE YOON HEEâ€‚[KR];  CHOI SUNG UPâ€‚[KR];  UM YOUNG RANâ€‚[KR];  LEE JAE HOONâ€‚[KR],KOREA INST ORIENTAL MEDICINEâ€‚[KR],A61K36/28; A61P19/00; A61P19/10,,KR20100105726,20101028,KR20100105726 20101028,,,,,,,,,,,,,,
VEGETABLE PROTEIN MEAT ANALOGUES AND METHODS OF MAKING THE SAME,US2012156355 (A1),21/06/2012,MILNE JEFFREY Jâ€‚[US];  PARAMITA WIDYA Râ€‚[US];  MAEGLI JACK WILLIAMâ€‚[US],MILNE JEFFREY Jâ€‚[US];  PARAMITA WIDYA Râ€‚[US];  MAEGLI JACK WILLIAMâ€‚[US];  KERRY GROUP SERVICES INTERNATIONAL LTDâ€‚[IE],A23L1/31,A23L1/3055; A23L1/31436; A23L1/31445; A23L1/0076,US201213408835,20120229,US201213408835 20120229; US20080154329 20080522,US2005003071 (A1); US2005220979 (A1); US2005042332 (A1); US5556662 (A); US6214400 (B1),,,,,,,,,,,,,
METHOD FOR EXTENDING MOLD-FREE SHELF LIFE AND IMPROVING FLAVOR CHARACTERISTICS OF BAKED GOODS,US2012156326 (A1); US8673377 (B2),21/06/2012,EIJK JOHANNES VANâ€‚[CA];  CARON CLIFFORDâ€‚[CA];  KRAUS J KEVINâ€‚[US],EIJK JOHANNES VANâ€‚[CA];  CARON CLIFFORDâ€‚[CA];  KRAUS J KEVINâ€‚[US],A21D15/00; A21D8/04; A23L3/3463; B65B25/00,A23L3/3463; A21D8/04; A21D15/02; B65B25/18,US20090864956,20090128,US20090864956 20090128; US20080023968P 20080128; US20080023959P 20080128; WO2009US32240 20090128,US2007207981 (A1); US3996386 (A); US3996386 (A); US2007207981 (A1),,,,,,,,US2987403 (A); US3900570 (A); US4416904 (A); US4996062 (A); US6123973 (A); US6835397 (B2); US7198810 (B2); US2005136166 (A1); US2006165857 (A1); US2007269553 (A1); CN1113413 (A); JPS4737549 (A); JPH02261380 (A); JPH0646809 (A); JPS62143673 (A); JPH07255443 (A); JP2725667B (B2); JP2002142739 (A); JP2006197809 (A); WO9400019 (A1),,,,,
Triangular carton,CN202272245 (U),13/06/2012,ZHICHENG YI,ZHICHENG YI,B65D5/10; B65D85/36,,CN20112335690U,20110908,CN20112335690U 20110908,,,,,,,,,,,,,,
GROOVED DISK FOR TRAVEL GRILL,RO127372 (A0),30/05/2012,MURTAZA BILENTâ€‚[RO],BILGA PREST S R Lâ€‚[RO],A47J37/07,,RO20120000069,20120130,RO20120000069 20120130,,,,,,,,,,,,,,
Pizza box,CN202265094 (U),06/06/2012,ZHOU YU;  WEI HUANG,UNIV ZHEJIANG TECHNOLOGY,B65D85/36; B65D5/491,,CN20112317876U,20110829,CN20112317876U 20110829,,,,,,,,,,,,,,
MANUFACTURING METHOD OF PIZZA DOUGH,KR101130924 (B1),28/03/2012,KIM SENG MINâ€‚[KR];  KIM SUNG HWANâ€‚[KR],KIM SENG MINâ€‚[KR],A21D8/02; A21D6/00; A21D8/04,,KR20110092908,20110915,KR20110092908 20110915,KR20030059767 (A); KR20020045632 (A); KR20040095860 (A); JP2002262759 (A),,,,,,,,,,,,,
METHOD FOR MAKING RICE DOUGH,KR20120040464 (A),27/04/2012,KIM BYUNG LEEâ€‚[KR];  HAM CHI SUNâ€‚[KR];  KIM DEOK BEOMâ€‚[KR],KIM BYUNG LEEâ€‚[KR],A21D13/04; A21D8/04; A21D13/00,,KR20100101904,20101019,KR20100101904 20101019,,,,,,,,,,,,,,
A AUTOMATIC PRODUCTING SYSTEM OF PIZZA CHEESE AND ITS PROCEDURE,KR101199467 (B1); KR20120027064 (A),21/03/2012,KIM YOUNG SINâ€‚[KR],DELRICH FOOD CO LTDâ€‚[KR],A23C19/08; A23C19/09,,KR20100089060,20100910,KR20100089060 20100910,,,,,,,,,,,,,,
METHOD FOR PREPARING PARBAKED PIZZA DOUGH CONTAINING LACTOBACILLUS,KR20120020926 (A),08/03/2012,PARK EUI HOONâ€‚[KR];  PARK JUNG SUâ€‚[KR];  HEO KWANG RYOOLâ€‚[KR],ENGREEN CO LTDâ€‚[KR],A21D13/00; A21D2/08; A21D8/04,,KR20100084863,20100831,KR20100084863 20100831,,,,,,,,,,,,,,
A PIZZA DOUGH COMPRISING SURIMI AND MANUFACTURING METHOD THEREOF,KR101326239 (B1); KR20120018514 (A),05/03/2012,YOON MYOUNG KEUNâ€‚[KR];  YOON SHIN DUKâ€‚[KR],CHAMSAL CO LTDâ€‚[KR];  CHAMSAL DREAM CO LTDâ€‚[KR],A21D13/00; A21D2/34; A23L1/325,,KR20100081399,20100823,KR20100081399 20100823,KR20090002715 (A),,,,,,,,,,,,,
PIZZA DOUGH MOLDING MACHINE,KR20120018482 (A),05/03/2012,JANG SEOK PILâ€‚[KR],JANG SEOK PILâ€‚[KR],A21C11/02; A23P1/10,,KR20100081333,20100823,KR20100081333 20100823,,,,,,,,,,,,,,
CUTTING MACHINE FOR PIZZA,KR20120018481 (A),05/03/2012,JANG SEOK PILâ€‚[KR],JANG SEOK PILâ€‚[KR],A21C15/04; B26D3/24,,KR20100081330,20100823,KR20100081330 20100823,,,,,,,,,,,,,,
ALLERGEN-FREE COMPOSITIONS,CA2757787 (A1),12/05/2012,BECKER LAURA Lâ€‚[US],MRS LAURALICIOUS LLCâ€‚[US],A21D10/00; A23L1/00,A23L1/39; A23G3/343; A21D2/183; A21D2/186; A21D2/188; A21D2/36; A21D13/04; A21D13/066; A23L1/1041; A23L1/221; A23L1/223; A23L1/237; A23L1/296,CA20112757787,20111114,US20100412997P 20101112,,,,,,,,,,,,,,
DOUBLE PIZZA PACK,US2012111931 (A1),10/05/2012,KIMHI YANIVâ€‚[IL],KIMHI YANIVâ€‚[IL],B65D5/42,B65D85/36; B65D2585/366,US201113338284,20111228,IL20090202628 20091209; WO2010IL00805 20101003,US4836383 (A); US6752311 (B2); US7380702 (B2),,,,,,,,,,,,,
"MACHINE FOR ROLLING OUT DOUGH, IN PARTICULAR FOR PREPARING PIZZA",WO2012146999 (A1),01/11/2012,GNOCCHI LUCIANOâ€‚[IT],SIGMA S R Lâ€‚[IT];  GNOCCHI LUCIANOâ€‚[IT],A21C11/00,A21C11/008,WO2012IB51787,20120412,IT2011BS00063 20110429,,,,,,,,,,,EP0463221 (A1); EP1129621 (A1); US2009162512 (A1),,,
Rotary Cutter,US2012096719 (A1); US8667696 (B2),26/04/2012,ZDROIK RONALD Jâ€‚[US];  GALSTER GARET Kâ€‚[US],ZDROIK RONALD Jâ€‚[US];  GALSTER GARET Kâ€‚[US],B26B11/00; B26D1/157; B26D3/24,B26B25/005; B26D3/24,US201113280332,20111024,US201113280332 20111024; US20100406115P 20101023,US417167 (A); US769081 (A); US895969 (A); US976496 (A); US1098671 (A); US1416106 (A); US1511892 (A); US1560355 (A); US1720305 (A); US1856435 (A); US2947084 (A); US3281938 (A); US4155142 (A); US2012096719 (A1); JPS5228782 (A); US417167 (A); US769081 (A); US895969 (A); US976496 (A); US1098671 (A); US1416106 (A); US1511892 (A); US1560355 (A); US1720305 (A); US1856435 (A); US2947084 (A); US3281938 (A); US4155142 (A); US2012096719 (A1); JPS5228782 (A),,,,,,,,US3174223 (A); US3711945 (A); US3924328 (A); US4423551 (A); USD286608S (S); US4993157 (A); USD358306S (S); US5469622 (A); US6460254 (B1); US6484407 (B2); US7043843 (B2); US7591072 (B2); USD614925S (S1); US7823292 (B1); US8011103 (B2); US2002129499 (A1); US2007045390 (A1); US2007251098 (A1); US2009223068 (A1); US2010269359 (A1); US2010313432 (A1); JPH1156214 (A),,,,,
THE TRULY TRI-PAD BIKE INVENTION/WAYS,CA2719206 (A1),20/04/2012,MANJAPRA JEANILEâ€‚[CA],MANJAPRA JEANILEâ€‚[CA],A63B22/06,A63B22/0694; A63B22/0007; A63B2210/50,CA20102719206,20101020,CA20102719206 20101020,,,,,,,,,,,,,,
PIZZA PLATE COOKING APPARATUS,US2012091125 (A1),19/04/2012,MCGUINNESS EUGENE Tâ€‚[US];  MCGUINNESS MORGANâ€‚[US],MCGUINNESS EUGENE Tâ€‚[US];  MCGUINNESS MORGANâ€‚[US],A47J37/00,A47J37/067; A47J37/0658,US201113236197,20110919,US201113236197 20110919; US20100403764P 20100921,US1301197 (A),,,,,,,,,,,,,
Consumer pizza cutting board,USD657209 (S1),10/04/2012,GETZINGER GREGâ€‚[US];  SPRIEGEL ANDREW Râ€‚[US],GETZINGER GREGâ€‚[US];  SPRIEGEL ANDREW Râ€‚[US];  NUVOGRAND LLCâ€‚[US],,,US201129403318F,20111004,US201129403318F 20111004,,,,,,,,,,,,,,
Trailer for transporting a pizza oven,PL392356 (A1),12/03/2012,GOLEBIOWSKI MIROSLAWâ€‚[PL];  SZUREK EDWARDâ€‚[PL],GOLEBIOWSKI MIROSLAWâ€‚[PL];  SZUREK EDWARDâ€‚[PL],B62D63/06; A47J37/07,,PL20100392356,20100910,PL20100392356 20100910,,,,,,,,,,,,,,
PIZZA PACKAGING,US2012076444 (A1),29/03/2012,OSTERGAARD OLEâ€‚[DK],OSTERGAARD OLEâ€‚[DK],B65D30/00,B65D75/5838; B65D33/01; B65D81/3888; B65D85/36; B65D2585/366,US201013319721,20100511,DK20090000612 20090514; WO2010DK50100 20100511,US2004066982 (A1); US7022359 (B2); US2009071850 (A1); US2010195939 (A1); US6231903 (B1); US5405663 (A); US5445838 (A); US5964534 (A); US8106339 (B2); US5900264 (A); US5098013 (A); US7152754 (B2); US5605231 (A); US2009302032 (A1),,,,,,,,,,,,,
INHIBITOR FOR MIGRATION OF WATER BETWEEN FOODS AND METHOD OF AVOIDING MIGRATION OF WATER,JP2012029682 (A),16/02/2012,,SANEI GEN FFI INC,A23L1/03; A21D2/18; A21D13/00; A23G9/32; A23G9/44; A23G9/52; A23L1/10; A23L1/176; A23L1/48,,JP20110129928,20110610,JP20100156828 20100709; JP20110129928 20110610,,,,,,,,,,,,,,
Bibimbop Pizza,KR20120013541 (A),15/02/2012,SEO JI HYUNâ€‚[KR],SEO JI HYUNâ€‚[KR],A21D13/00; A23L1/212,,KR20100075566,20100805,KR20100075566 20100805,,,,,,,,,,,,,,
"Product i.e. pizza, is made of dough that comprises gluten free flour containing millet, maize, buckwheat, amaranth, rice, locust bean gum, baking powder, lactose-free milk, coriander, cardamom, tomato, oil mushroom, bonito, salt and water",DE102010048082 (A1),05/04/2012,,BASTER ANJAâ€‚[DE],A21D13/00; A21D13/04,A21D13/007; A21D13/04; A21D13/066,DE20101048082,20101005,DE20101048082 20101005,DE19845981 (A1); DE3404381 (A1); DE29704037U (U1); EP2269464 (A1),,,,,,,,,,,,,
Pizza display disc,CN202168653 (U),21/03/2012,BIBO MA,NINGBO YINZHOU WINBANG ELECTRONIC CO LTD,A47F7/00,,CN20112312005U,20110825,CN20112312005U 20110825,,,,,,,,,,,,,,
SHORTENING PARTICLE COMPOSITIONS AND DOUGH PRODUCTS MADE THEREFROM,US8435592 (B2); US2012064195 (A1),15/03/2012,ERICKSON BRADEN Jâ€‚[US];  SEIBOLD JON Dâ€‚[US];  OPPENHEIMER ALAN Aâ€‚[US],ERICKSON BRADEN Jâ€‚[US];  SEIBOLD JON Dâ€‚[US];  OPPENHEIMER ALAN Aâ€‚[US],A23D9/00; A21D10/00,A23D9/04; A23D9/05; A21D2/16; A21D10/005; A23D9/00,US20100880685,20100913,US20100880685 20100913,US6022577 (A); US6277433 (B1); USRE30086E (E); US5667837 (A); US6863915 (B2); US2009029024 (A1); US2008206413 (A1); USRE30086E (E); US5667837 (A); US6022577 (A); US6277433 (B1); US6863915 (B2); US2008206413 (A1); US2009029024 (A1),,,,,,,,US3714210 (A); US3800056 (A); US3859447 (A); US4018755 (A); US4211800 (A); US4268534 (A); US4810513 (A); US4839187 (A); US4891233 (A); US5190868 (A); US5578334 (A); US5686131 (A); US5710365 (A); US5843497 (A); US5874117 (A); US6312751 (B1); US6312752 (B1); US6406737 (B1); US6630172 (B2); US7229653 (B2); US2002142072 (A1); US2003082289 (A1); US2003175403 (A1); US2004028622 (A1); US2004047969 (A1); US2004197463 (A1); US2006013934 (A1); US2006286272 (A1); US2006292276 (A1); US2007128340 (A1); US2007160739 (A1); US2007178218 (A1); US2009311387 (A1); GB855349 (A); GB1005804 (A); GB2081293 (A); GB2210544 (A); GB2176143 (A); JPS60145055 (A); JPS611343 (A); JPS6195098 (A); JPS62273293 (A); JPH07313086 (A); JP2000102345 (A); JP2007174988 (A); JP2007252203 (A); JP2007282606 (A); JP2008220290 (A); JP2008263790 (A); JP2008278833 (A); JP2009072096 (A); WO2007000020 (A1); WO2009000020 (A1); WO2010000020 (A1),,,,,
FOLDING PIZZA WHEEL,US2012060378 (A1); US8661693 (B2),15/03/2012,BAGLEY JUSTINâ€‚[US],BAGLEY JUSTINâ€‚[US];  PROGRESSIVE INT CORPâ€‚[US],B26B25/00,B26B25/005,US201113232916,20110914,US201113232916 20110914; US20100382613P 20100914,US1181281 (A); US1266617 (A); US2600646 (A); US4738028 (A); USD307094S (S); US6381851 (B1); US6516519 (B2); US6643936 (B2); US2004231475 (A1); US7188424 (B2); USD542609S (S1); USD589307S (S1); US2011099818 (A1); BE1013992 (A6); US900300 (A); USD222380S (S); US4809437 (A); USD350462S (S); US6154967 (A); USD461380S (S1); USD501122S (S1); USD509710S (S1); US2009223068 (A1); USD678009S (S1); US8555513 (B2); US900300 (A); US1181281 (A); US1266617 (A); US2600646 (A); USD222380S (S); US4738028 (A); US4809437 (A); USD307094S (S); USD350462S (S); US6154967 (A); US6381851 (B1); USD461380S (S1); US6516519 (B2); US6643936 (B2); USD501122S (S1); USD509710S (S1); US7188424 (B2); USD542609S (S1); USD589307S (S1); USD678009S (S1); US8555513 (B2); US2004231475 (A1); US2009223068 (A1); US2011099818 (A1); BE1013992 (A6),,,,,,,,,,,,,
Pizza slice cutting stamp,US2012060373 (A1),15/03/2012,SPREEN RYAN Pâ€‚[US],SPREEN RYAN Pâ€‚[US],A21C15/04,A21C15/04; B26D3/24; B26D3/245; B26D5/10,US20100807587,20100909,US20100807587 20100909,,,,,,,,,,,,,,
A COMPOSITE FOR HEALTHFUL PIZZA DOUGH AND MANUFACTURING METHOD OF HEALTHFUL PIZZA DOUGH,KR101103226 (B1),05/01/2012,YOO HAN MINâ€‚[KR],YOO HAN MINâ€‚[KR],A21D8/02; A21D8/04,,KR20110094902,20110920,KR20110094902 20110920,KR20010018237 (A); KR20040007354 (A); JPH09313091 (A); KR20090029986 (A),,,,,,,,,,,,,
MANUFACTURE OF FOOD-PACKAGING CONTAINERS DESIGNED ESPECIALLY FOR PIZZA TRANSPORT - USE OF MANUFACTURE MATERIALS SUITED FOR THE DIRECT PLACEMENT OF FOOD INSIDE THE PACKAGING CONTAINER WITH NO USE OF INTERMEDIATE BOTTOM PIECE,GR20100100366 (A),31/01/2012,KOSKINIDIS STYLIANOSâ€‚[GR],STYL S KOSKINIDIS AVEEâ€‚[GR],B65D85/36; B31B1/25,B31B1/25; B65D85/36,GR20100100366,20100628,GR20100100366 20100628,,,,,,,,,,,,,,
Pizza platter,USD653909 (S1),14/02/2012,HENRY JACQUESâ€‚[FR],HENRY JACQUESâ€‚[FR];  EMILE HENRYâ€‚[FR],,,US201129393929F,20110610,EM2004180919500F 20110121,,,,,,,,,,,,,,
Integrated pizza cutting shears,CN202137778 (U),08/02/2012,RENREN ZHANG,RENREN ZHANG,B26B13/22,,CN20112248993U,20110713,CN20112248993U 20110713,,,,,,,,,,,,,,
"Set, useful e.g. for covering and/or punching flat dough and providing clear zoned regions without allergenic foods on pizza, comprises two molds or optionally pre-cut strips from which molds can be formed",DE102010037774 (A1),16/02/2012,KACZMAREK STEFANâ€‚[DE],123 NAEHRMITTEL GMBHâ€‚[DE],A21C9/04; A21C11/12; A21D13/00; A23P1/00,A21C11/106; A21D10/025; A21D13/007; A23V2002/00; A23V2002/00; A23V2200/08,DE20101037774,20100924,DE20091059247 20091221; DE20101037774 20100924,,,,,,,,,,,,,,
"Payment system for use in e.g. restaurant for payment of pizza, has identification device containing safety data of public personal document, where safety characteristics of device are matched with safety characteristics of document",DE102010034403 (A1),16/02/2012,MEIRINGER STEPHANâ€‚[DE];  SCHULTE THORBENâ€‚[DE],MEIRINGER STEPHANâ€‚[DE];  SCHULTE THORBENâ€‚[DE],G06Q20/00,G06Q20/4014,DE20101034403,20100814,DE20101034403 20100814,US5365046 (A),,,,,,,,,,,,,
Automated Pizza Assembly System,US2012024170 (A1),02/02/2012,FRITZ-JUNG CATHRYNâ€‚[US];  SCRIVANO DAVIDâ€‚[US];  STROTHER DAVIDâ€‚[US];  THOMAS AMANDA Bâ€‚[US];  HESLIP SEAN Mâ€‚[US];  DEEMTER KENT Aâ€‚[US];  MCCOY TYLER Wâ€‚[US];  HOEKSEMA BRET Aâ€‚[US],FRITZ-JUNG CATHRYNâ€‚[US];  SCRIVANO DAVIDâ€‚[US];  STROTHER DAVIDâ€‚[US];  THOMAS AMANDA Bâ€‚[US];  HESLIP SEAN Mâ€‚[US];  DEEMTER KENT Aâ€‚[US];  MCCOY TYLER Wâ€‚[US];  HOEKSEMA BRET Aâ€‚[US],A23P1/00,A21C9/04; B25J11/00; B25J11/0045,US201113222319,20110831,US201113222319 20110831; US201113033650 20110224; US20100308487P 20100226; US20100320337P 20100402,US4112834 (A); US5458055 (A); US3965535 (A); US2007181011 (A1); US2010209570 (A1); US2002176921 (A1); US2003209194 (A1); US2007209526 (A1); US2009129856 (A1); US3643718 (A),,,,,,,,,,,,,
Moon cake produced by using fresh fruit granular foods as fillings and producing method of moon cake,CN102334527 (A),01/02/2012,FUSHUN YANG,FUSHUN YANG,A21D13/08,,CN20101229039,20100716,CN20101229039 20100716,CN101361581 (A); CN1593162 (A),,,,,,,,,,,,,
Step-shaped baking tray,CN202122500 (U),25/01/2012,RUIRONG ZHANG,SAN NENG BAKE WARE WUXI CO LTD,A47J37/01,,CN20112209064U,20110620,CN20112209064U 20110620,,,,,,,,,,,,,,
Production method of pizza roll,CN102326600 (A); CN102326600 (B),25/01/2012,XIN GUO,XIN GUO,A21D13/00,,CN20111137651,20110525,CN20111137651 20110525,US2007202217 (A1); CN1243419 (A); EP2258211 (A1); CN101731302 (A); US2004009272 (A1),,,,,,,,,,,,,
Pizza cutter,USD652271 (S1),17/01/2012,MOORE JAMES Râ€‚[US];  MARKFELDER RONALD Eâ€‚[US],MOORE JAMES Râ€‚[US];  MARKFELDER RONALD Eâ€‚[US];  MOLENAAR LLCâ€‚[US],,,US20100378228F,20101101,US20100378228F 20101101,,,,,,,,,,,,,,
"Pizza cutter for cutting pizza or cake resting upon base, has cutting wheel fixed on rod part, and protection device attached in region of rod part, where protection device surrounds outer periphery of cutting wheel",DE102010032239 (A1),26/01/2012,GNAN KARL-HEINZâ€‚[DE],GNAN KARL-HEINZâ€‚[DE],B26B25/00; B26B29/00,B26B25/005; B26B29/00,DE20101032239,20100726,DE20101032239 20100726,,,,,,,,,US6327783 (B1); EP2098340 (A1),,,,,
METHOD AND SYSTEM FOR SELECTION OF FOODSTUFFS,WO2012006572 (A1),12/01/2012,FISCHER WILLIAMâ€‚[US],FISHER PRINTING INCâ€‚[US];  FISCHER WILLIAMâ€‚[US],G06Q30/00,G06Q30/0601; G06Q30/0603; G06Q30/0621; G06Q30/0641; G06Q30/0643; G06Q50/12,WO2011US43429,20110708,US20100362420P 20100708,,,,,,,,,,,US2007150375 (A1); US2002007321 (A1); US2009106124 (A1),,,
HYBRID PIZZA-LASAGNA FOOD PRODUCT,US2012009302 (A1),12/01/2012,FARRELL BRIANâ€‚[US];  MCNULTY JOHNâ€‚[US];  VISHOOT LISAâ€‚[US],FARRELL BRIANâ€‚[US];  MCNULTY JOHNâ€‚[US];  VISHOOT LISAâ€‚[US],A21D13/00; A23C19/09; A23L1/16; A23L1/31,A23L1/48; A21D13/0006; A21D13/007; A23L1/16; A23L1/1606,US20100834090,20100712,US20100834090 20100712,US5939113 (A),,,,,,,,,,,,,
Pizza crust and production method thereof,CN102308861 (A),11/01/2012,XING LIU,XING LIU,A21D13/08,,CN20111210861,20110726,CN20111210861 20110726,,,,,,,,,,,,,,
Flexible hinge clam shell food service container with continuous sidewall construction,US2012000972 (A1); US8672215 (B2),05/01/2012,LEARN ANGELA Eâ€‚[US],LEARN ANGELA Eâ€‚[US];  DOPACO INC,B65D5/42,B65D5/667,US20110929768,20110215,US20110929768 20110215; US20100344351P 20100702,US2007012754 (A1); US7661580 (B1); US7631800 (B2); US7128257 (B2); US6223979 (B1); US5788145 (A); US5098013 (A); US4765534 (A); US4331238 (A); US3623650 (A); US3019957 (A); US2623684 (A); US2316701 (A); US2316701 (A); US2623684 (A); US3019957 (A); US3623650 (A); US4331238 (A); US4765534 (A); US5098013 (A); US5788145 (A); US6223979 (B1); US7128257 (B2); US7631800 (B2); US7661580 (B1); US2007012754 (A1),,,,,,,,US4760950 (A); US5205476 (A); US5577989 (A); US6364203 (B2); US7021526 (B2); USD519830S (S1),,,,,
Convertible food tray,US2012000971 (A1); US8381968 (B2),05/01/2012,MANDREUCCI MARCELLOâ€‚[US];  DEPASCALE ANDREWâ€‚[US],MANDREUCCI MARCELLOâ€‚[US];  DEPASCALE ANDREWâ€‚[US],B65D5/36,B65D5/5206,US20100803641,20100701,US20100803641 20100701,US2914235 (A); US5429296 (A); US2005218202 (A1); US6036269 (A); US2005103831 (A1); US2914235 (A); US5429296 (A); US6036269 (A); US2005103831 (A1); US2005218202 (A1),,,,,,,,,,,,,
SOY SAUCE PRESERVED CRAB CREAM RISSOTTO,KR20110121442 (A),07/11/2011,SEO JI HYUNâ€‚[KR],SEO JI HYUNâ€‚[KR],A23L1/182; A23L1/33,,KR20100041042,20100430,KR20100041042 20100430,,,,,,,,,,,,,,
PROCESS OF MANUFACTURING RICE CAKE,KR20110121192 (A),07/11/2011,PARK BONG SUNâ€‚[KR],PARK BONG SUNâ€‚[KR],A23L1/105,,KR20100040671,20100430,KR20100040671 20100430,,,,,,,,,,,,,,
PIZZA DOUGH INCLUDING THE FRUIT OF LYCIUM CHINENSE MILLER,KR20110119462 (A),02/11/2011,KIM JI HYUNâ€‚[KR],KIM JI HYUNâ€‚[KR],A21D2/36; A21D13/00,,KR20100039188,20100426,KR20100039188 20100426,,,,,,,,,,,,,,
