Title,Publication number,Publication date,Inventor(s),Applicant(s),International classification,Cooperative Patent Classification,Application number,Date of application,Priority number(s),Patents cited in the search report,Literature cited in the search report,Patents cited during examination,Literature cited during examination,Other patent citations,Other literature citations,Patents used in opposition,Literature used in opposition,Patents cited by the applicant,Literature cited by the applicant,International search citation,International search NPL citation,Supplementary international search citation,Supplementary international search NPL citation
Multistack pizza bag,US6471065 (B1),29/10/2002,PEEPLES KATHLEEN GAYâ€‚[US];  FIORE JOSEPH Fâ€‚[US],IGLOO PRODUCTS CORPâ€‚[US],A45C7/00; A47J47/14; B65D81/38; A45C13/36; B65D85/36; A45C11/20,A47J47/145; A45C7/0077; B65D81/3888; A45C13/36; B65D2585/366,US20000708320,20001108,US20000708320 20001108,US4376558 (A); US4537313 (A); US4578814 (A); USD296289S (S); US4802233 (A); US4806736 (A); US4903859 (A); US5158369 (A); US5454471 (A); US5501338 (A); US5762260 (A); US5906290 (A),,,,,,,,,,,,,
Manufacture of lower-fat and fat-free pizza cheese,US6113953 (A),05/09/2000,MCMAHON DONALD Jâ€‚[US];  OBERG CRAIG Jâ€‚[US],UNIV UTAH STATEâ€‚[US],A23C19/05; A23C19/068; A23C19/082; A23C9/12; A23C9/13; A23C19/05; A23C19/08,A23C19/082; A23C19/052; A23C19/0684; A23C2250/25,US19960697091,19960819,US19960697091 19960819,US4277503 (A); US4343817 (A); US4476143 (A); US4684533 (A); US4719118 (A); US4766003 (A); US5037659 (A); US5064660 (A); US5080913 (A); US5098728 (A); US5200216 (A); US5225220 (A); US5234700 (A); US5244687 (A); US5277926 (A); US5395630 (A),,,,,,,,,,,,,
High efficiency carousel infrared oven,US6250210 (B1),26/06/2001,MORETH R EDWARDâ€‚[US],REMCO TECHNOLOGIES INTERNAT INâ€‚[US],A21B1/44; A21B2/00; A47J37/04; A23L1/00; A21B1/10; A21B1/42; A21B1/44; A47J37/00,A21B1/44; A21B2/00; A47J37/046,US20000679526,20001006,US20000679526 20001006; US19990225227 19990104; US19980071638 19980501,US3524403 (A); US3552299 (A); US4305329 (A); US4727799 (A); US4924763 (A); US4934260 (A); US4951648 (A); US5454295 (A); US5492055 (A); US5560285 (A); US5605092 (A); US5653905 (A); US5872351 (A),,,,,,,,,,,,,
Wrap heater and method for heating food product,US6300599 (B1),09/10/2001,OWENS BYRON Câ€‚[US];  BOSTIC WILLIAM Mâ€‚[US];  MERICLE ROBERTâ€‚[US],VESTURE CORPâ€‚[US],A47J47/14; H05B3/00; H05B3/34; F27D11/00,A47J47/145; H05B3/00; H05B3/342; H05B2203/003; H05B2203/028; H05B2203/033,US20000664018,20000919,US20000664018 20000919; US19990267182 19990312; US19980078303P 19980317,US3721803 (A); US4134400 (A); US4806736 (A); US4816646 (A); US4933534 (A); US5128522 (A); US5470002 (A); US5750962 (A); US5880435 (A); US5892202 (A); US6121578 (A),,,,,,,,USD287921S (S); US1439094 (A); US1558278 (A); US2114396 (A); US2298299 (A); US2479268 (A); US2584302 (A); US2980881 (A); US3017493 (A); US3079486 (A); US3084241 (A); US3202801 (A); US3273634 (A); US3292628 (A); US3549861 (A); US3596059 (A); US3665939 (A); US3739148 (A); US3780262 (A); US3805018 (A); US4035606 (A); US4134004 (A); US4147921 (A); US4198559 (A); US4199021 (A); US4201218 (A); US4335725 (A); US4528439 (A); US4561441 (A); US4578814 (A); US4672178 (A); US4702235 (A); US4743726 (A); US4777346 (A); US4802233 (A); US4817704 (A); US4868898 (A); US4894931 (A); US4904846 (A); US4916290 (A); US4920964 (A); US4929094 (A); US4979923 (A); US4983798 (A); US5009228 (A); US5050595 (A); US5052369 (A); US5062414 (A); US5078050 (A); US5150707 (A); US5151578 (A); US5159177 (A); US5184725 (A); US5211949 (A); US5300105 (A); US5314005 (A); US5329096 (A); US5336255 (A); US5339541 (A); US5357693 (A); US5404808 (A); US5405671 (A); US5424519 (A); US5454471 (A); US5551615 (A); US5884006 (A); US5932129 (A); US5999699 (A); US6018143 (A); EP0001151 (A2); EP0130478 (A1); GB2054348 (A); GB2160965 (A); GB2195015 (A); GB2255170 (A); GB2272969 (A); JPS5796978 (A); JPS62241287 (A); WO8706803 (A1),,,,,
Method of forming a variable sized and shaped pizza box and apparatus thereof,US6440050 (B1),27/08/2002,CAPPARELLI PATSY Râ€‚[US];  DAVIS TIMOTHY Dâ€‚[US],"CAPPARELLI PATSY R, ; DAVIS TIMOTHY D",B31B3/00; B65D5/20; B65D5/355; B65D5/42; B65D5/54; B65D5/66; B65D85/36; B65D5/54; B31B1/25,B31B3/00; B65D5/0005; B65D5/2028; B65D5/4295; B65D5/54; B65D5/667; B65D2585/366,US20000663984,20000919,US20000663984 20000919,US1845456 (A); US2022305 (A); US2947637 (A); US3116868 (A); US3310220 (A); US3371842 (A); US4008849 (A); US4113100 (A); US4235364 (A); US4535928 (A); US4905837 (A); US6155477 (A),,,,,,,,US4452367 (A); US5071062 (A),,,,,
Cheese depositing method,US6479087 (B1),12/11/2002,COLE FRANKâ€‚[US];  HAIRSINE ALANâ€‚[US],KRAFT FOODS HOLDINGS INCâ€‚[US],A01J25/00; A01J25/12; A01J27/04; A21C9/04; A21D8/00; A21D13/00; A21D13/08; A23C19/09; A21D8/02; A01J25/12; A21D8/06; A23P1/12,A01J25/008; A01J25/12; A01J27/04; A21C9/04; A21D13/007,US20000661961,20000914,US20000661961 20000914; US19990153798P 19990914,US3727308 (A); US4661361 (A); US5200216 (A); US5789009 (A); US6286708 (B1); US6403138 (B1),,,,,,,,US3685744 (A); US3908584 (A); US3982033 (A); US4669254 (A); US5069921 (A); US5417996 (A); EP0146765 (A2); EP0501158 (A1); EP0741972 (A1); WO8900008 (A1); WO9908537 (A1),,,,,
Modular processing devices and methods of use,US6396031 (B1),28/05/2002,FORRESTER ROBERTâ€‚[US],PIZZA HUT INCâ€‚[US],A47J37/04; A47J27/14; H05B1/02; A23L1/18,A47J37/044; A47J27/14,US20000654506,20000901,US19990152306P 19990903; US20000654506 20000901,US4245613 (A); US4610886 (A); US4664923 (A); US4701340 (A); US5179265 (A); US5522309 (A); US5897807 (A); US6157002 (A); US6157014 (A),,,,,,,,US5688423 (A); EP0680697 (A1); GB2251960 (A),,,,,
Pizza die with seal,US6398539 (B1),04/06/2002,LAWRENCE ERIC Câ€‚[US],LAWRENCE EQUIP INCâ€‚[US],A21C11/00; B29C43/36; A21C11/00; B29C43/02,A21C11/006; B29C43/3607; Y10S425/047,US20000639022,20000815,US20000639022 20000815,US4303677 (A); US4511324 (A); US5074778 (A); US5417989 (A); US5928676 (A),,,,,,,,,,,,,
Mobile pizza kitchen,US6431628 (B1),13/08/2002,BELL JR RICHARD Aâ€‚[US],KBELL PIZZA ENTPR L L C Aâ€‚[US],B60P3/025; B60P3/14; B60P3/05,B60P3/14; B60P3/0257,US20000638595,20000815,US20000638595 20000815,US4632836 (A); US4912338 (A); US4919477 (A); US4924763 (A); US5255664 (A); US5285604 (A); US6026738 (A),,,,,,,,US4556046 (A); US4643167 (A); US5958271 (A); US5990454 (A); US6011242 (A); US6069345 (A),,,,,
Pizza delivery system and method,US6398028 (B1),04/06/2002,STOVALL JAMES Gâ€‚[US],STOVALL JAMES G,B65H37/00; A45C11/20; B65D85/00; B65H5/28,B65H37/002; B65H2402/442; B65H2405/40; B65H2601/322; B65H2701/194; Y10S206/807; Y10S206/82,US20000635047,20000804,US20000635047 20000804,US2343064 (A); US2845728 (A); US3252234 (A); US3854581 (A); US4574979 (A); US4954210 (A); US5551729 (A); US5803345 (A); US5971262 (A),,,,,,,,US2013299 (A); US4009793 (A); US4184701 (A); US4546881 (A); US4972953 (A); USD359450S (S),,,,,
Dispensing apparatus,US6422421 (B1),23/07/2002,FREUDINGER MARK Jâ€‚[US];  WHITE DAVID Jâ€‚[US],QUANTUM TECHNICAL SERVICES INCâ€‚[US],B67D1/00; B67D5/16,B67D1/0005; B67D2210/00031; B67D2210/00047,US20000628083,20000728,US20000628083 20000728,US3797703 (A); US5020725 (A); US5472124 (A); US6041973 (A); US6227409 (B1),,,,,,,,,,,,,
Toy conveyor oven,US6033286 (A),07/03/2000,LANGLINAIS GLENN Dâ€‚[US],"LANGLINAIS, GLENN D",A63H33/30; A63H33/30,A63H33/3055,US19960608533,19960228,US19960608533 19960228,US505175 (A); US717858 (A); US798004 (A); US1535564 (A); US1603664 (A); US3808730 (A); US4467553 (A); US4515359 (A); US4571205 (A); US4739154 (A); US4772243 (A); US4964392 (A); US5033366 (A); US5112630 (A); US5180898 (A); US5454471 (A),,,,,,,,,,,,,
Apparatus for manually portioning pizza dough disks and method of operating the apparatus,US6242027 (B1),05/06/2001,GRIECO LEONARDOâ€‚[IT],GRIECO LEONARDO,A21C5/00; A21C11/00; A21C11/10; A21C3/00; A21D6/00,A21C5/00; A21C11/006; A21C11/10,US20000593679,20000614,CH19990001116 19990615,US5074778 (A); US6067897 (A),,,,,,,,US5269674 (A); CH490805 (A); CH583520 (A5); CH604531 (A5); CH609212 (A5); DE2704432 (A1); DE3444085 (A1); DE3826934 (A1); DE3809730 (A1),,,,,
Pizza oven deck,US6425388 (B1),30/07/2002,KORINCHOCK RICHARD JOHNâ€‚[US],GARLAND GROUPâ€‚[US],A21B1/28; A47J39/00; F24C15/10; F24C15/32; A21B1/00,F24C15/101; A21B1/28,US20000576143,20000522,US20000576143 20000522,US3948244 (A); US4739154 (A); US4951645 (A); US5413033 (A); US5605092 (A); US6041769 (A); US6101930 (A); US6125837 (A); DE29711246U (U1),,,,,,,,,,,,,
Pizza delivery bags and methods,US6281477 (B1),28/08/2001,FORRESTER ROBERTâ€‚[US];  ORTEGON HOMEROâ€‚[US],PIZZA HUT INCâ€‚[US],A47J47/14; B65D81/38; B65D85/36; A47J41/00; F24H7/00,A47J47/145; B65D81/3897; B65D85/36; A47J41/005; B65D2585/366,US20000569781,20000512,US20000569781 20000512; US19990134277P 19990514,US3721803 (A); US4134004 (A); US4816646 (A); US4922626 (A); US5128522 (A); US5274215 (A); US5884006 (A); US5981911 (A); US6060696 (A); US6121578 (A),,,,,,,,US4751911 (A); US4806736 (A); US5078050 (A); US5404808 (A); US5454471 (A); US5676051 (A); US5880435 (A); US5892202 (A); US5999699 (A); US6018143 (A); GB2255170 (A),,,,,
Versatile pizza carton,US6290122 (B1),18/09/2001,CORRELL JOHN Dâ€‚[US],CORRELL JOHN D,B65D5/20; B65D5/22; B65D5/42; B65D5/66; B65D81/38; B65D85/36; B65D21/032,B65D5/665; B65D5/6652; B65D5/6658; B65D5/2047; B65D5/22; B65D81/3853; B65D5/42; B65D2585/366; Y10S229/906; Y10S229/915,US20000551245,20000417,US20000551245 20000417; US19990394784 19990913; US19990378656 19990820; US19980200684 19981127,US1471478 (A); US2056969 (A); US2733112 (A); US3107039 (A); US3163344 (A); US3447672 (A); US4613045 (A); US4984734 (A); US5209392 (A); US5704483 (A); US5833130 (A); US5961035 (A); US6065699 (A); US6196448 (B1); US6206277 (B1),,,,,,,,US5253800 (A); US5381949 (A); US5549241 (A); US5752651 (A); US5806755 (A); US5881948 (A),,,,,
Edible dough support,US6500475 (B1),31/12/2002,KRAKLOW HARRY Kâ€‚[US];  ALESCH EDWARD Aâ€‚[US],SCHWAN S SALES ENTPR INCâ€‚[US],A21D10/02; A21D13/00; A21D10/00,A21D13/0006; A21D10/025; A21D13/009,US20000544922,20000407,US20000544922 20000407; US20000176241P 20000114,US4066796 (A); US5089307 (A); US5202138 (A); US5736178 (A); US5965708 (A); WO9611577 (A1),,,,,,,,US3886112 (A); US4603051 (A); US4836383 (A); US5035907 (A); US5480798 (A); US5716658 (A); US5775208 (A); US5919508 (A); US5928692 (A); EP0628256 (A1); GB2220346 (A),,,,,
Pizza warmer and oven system,US6414278 (B1),02/07/2002,FROHLICH SIGURDâ€‚[US];  SCHNEIDER RICHARD Mâ€‚[US];  OLIVERA ABELâ€‚[US],"FROHLICH SIGURD, ; SCHNEIDER RICHARD M, ; OLIVERA ABEL",A47J39/02; F24C7/06; F24C15/16; A47J59/02; A47J56/24,A47J47/145; A47J39/02; F24C7/06; F24C15/16,US20000531721,20000321,US20000531721 20000321,US2552143 (A); US2831098 (A); US2994760 (A); US3126882 (A); US4019022 (A); US4316078 (A); US4580035 (A); US4816646 (A); US4839502 (A); US4982722 (A); US5276310 (A); US5404808 (A); US5454471 (A); US5880434 (A); US5884006 (A); US5948301 (A); US5986239 (A); US6091053 (A); US6118101 (A),,,,,,,,US3721803 (A); US3805018 (A); US3852570 (A); US4134004 (A); US4149066 (A); US4198559 (A); US4248291 (A); US4528439 (A); US4672178 (A); US4777930 (A); US4806736 (A); US4868898 (A); US4916290 (A); US4933534 (A); US4979923 (A); US5052369 (A); US5128522 (A); US5150707 (A); US5892202 (A),,,,,
System and method for producing par-baked pizza crusts,US6327968 (B1),11/12/2001,SCANNELL STEPHEN Câ€‚[US],PIZZA HUT INCâ€‚[US],A21B3/13; A21C11/00; A21D8/06; A21D13/00; A47J43/18; A22C7/00; A23P1/10,A21B3/132; A21C11/004; A21D8/06; A21D13/007; Y10S99/15,US20000527802,20000317,US20000527802 20000317,US1831147 (A); US3385205 (A); US4842882 (A); US5361687 (A); US5400698 (A); US6069345 (A); JPS45104Y (Y1),,,,,,,,USD343627S (S); US2774316 (A); US3347181 (A); US3814005 (A); US3949660 (A); US4046920 (A); US4065583 (A); US4100308 (A); US4170659 (A); US4208441 (A); US4251549 (A); US4265919 (A); US4283424 (A); US4285979 (A); US4303677 (A); US4367243 (A); US4379055 (A); US4400404 (A); US4464405 (A); US4464406 (A); US4500276 (A); US4539213 (A); US4606923 (A); US4649053 (A); US4656935 (A); US4661361 (A); US4668524 (A); US4696823 (A); US4713942 (A); US4749581 (A); US4769252 (A); US4904492 (A); US4905581 (A); US4910038 (A); US4973240 (A); US5009867 (A); US5063073 (A); US5074777 (A); US5074778 (A); US5149556 (A); US5149594 (A); US5154115 (A); US5176922 (A); US5200216 (A); US5200225 (A); US5206045 (A); US5207151 (A); US5215775 (A); US5234700 (A); US5243899 (A); US5253565 (A); US5254823 (A); US5256432 (A); US5259750 (A); US5260070 (A); US5308640 (A); US5354566 (A); US5380543 (A); US5405626 (A); US5405627 (A); US5409367 (A); US5417149 (A); US5417150 (A); US5434390 (A); US5441751 (A); US5465654 (A); US5484618 (A); US5508049 (A); US5510135 (A); US5514402 (A); US5526735 (A); US5536162 (A); US5558793 (A); US5591470 (A); US5595778 (A); US5620731 (A); US5622742 (A); US5716658 (A); US5750170 (A); US5756137 (A); US5775208 (A); US5780082 (A); US5789009 (A); US5800844 (A); DE19820055 (C1); FR2672468 (A1); GB2228661 (A); GB2289431 (A),,,,,
Molded pizza crust,US6156364 (A),05/12/2000,MEIBACH RONALD LOUISâ€‚[US],KRAFT FOODS INCâ€‚[US],A21C11/00; A21D8/02; A21D8/06; A21D13/00; A21C11/00; A21D8/00,A21D13/007; A21C11/004; A21D8/025; A21D8/06,US20000521347,20000309,US20000521347 20000309,US4303008 (A); US5016528 (A); US5074778 (A); US5154115 (A); US5417149 (A); US5775208 (A); US5786013 (A); US5919508 (A),,,,,,,,,,,,,
Pizza packaging system and method,US6386440 (B1),14/05/2002,TULKOFF MARTINâ€‚[US],TULKOFF MARTIN,B65D5/49; B65D85/36; B65D5/48,B65D5/48024; B65D85/36; B65D2585/366; Y10S229/906; Y10S229/939; Y10S229/942; Y10S229/94,US20000517065,20000301,US20000517065 20000301,US519005 (A); US1499369 (A); US2565146 (A); US3180739 (A); US3692228 (A); US4089458 (A); US4396115 (A); US5509601 (A); US5516036 (A); FR2577889 (A1),,,,,,,,US1607024 (A); US1763416 (A); US2108300 (A); US2604983 (A); US3092300 (A); US3197111 (A); US3275220 (A); US4301960 (A); US4494689 (A); US4844330 (A); US4913340 (A); US4944452 (A); US4957237 (A); US4984734 (A); US5002221 (A); US5014853 (A); US5110038 (A); US5180075 (A); US5209392 (A); US5351880 (A); US5375761 (A); US5402930 (A); US5445314 (A); USD362803S (S); US5476214 (A); USD390110S (S); US5950912 (A); AU3835097 (A),,,,,
Food packaging system,US6308833 (B1),30/10/2001,ORAVEZ THOMAS Pâ€‚[US],KRAFT FOODS INCâ€‚[US],B65D77/04; B65D81/34; B65D85/36; A45C11/20,B65D77/0486; B65D81/343; B65D2581/3406; B65D2585/366; Y10S229/903,US20000512109,20000224,US20000512109 20000224,US4201795 (A); US4697703 (A); US4750619 (A); US4813543 (A); US5165947 (A); US5565228 (A); US5772031 (A); US5868253 (A),,,,,,,,USD354655S (S); US5375701 (A),,,,,
Pizza sauce flow diverter,US6325016 (B1),04/12/2001,FITCH JR CLIFFORD Eâ€‚[US];  FITCH III CLIFFORD Eâ€‚[US];  EGAN JAMES Nâ€‚[US];  ANDERSON MICHAELâ€‚[US],ROTA SKIPPER CORPâ€‚[US],A21C9/04; A23L1/00; A21C9/04; B05C5/00; B65D88/54,A21C9/04,US20000490381,20000124,US20000490381 20000124,US3283955 (A); US3358618 (A); US3631818 (A); US3662677 (A); US3735692 (A); US4145990 (A); US4389562 (A); US4909412 (A),,,,,,,,USRE36178E (E); US1994797 (A); US2715878 (A); US3193029 (A); US3241625 (A); US3368501 (A); US3522854 (A); US3525374 (A); US3633450 (A); US3633489 (A); US3682106 (A); US3725974 (A); US3760715 (A); US3779205 (A); US3780643 (A); US3858545 (A); US3908584 (A); US3943601 (A); US3945448 (A); US3980235 (A); US4060027 (A); US4068570 (A); US4112834 (A); US4128074 (A); US4152976 (A); US4197794 (A); US4202260 (A); US4225001 (A); US4230007 (A); US4248173 (A); US4264634 (A); US4395427 (A); US4438686 (A); US4771726 (A); US4778365 (A); US4801097 (A); US4832961 (A); US4839185 (A); US4850845 (A); US4907720 (A); US4960025 (A); US5012726 (A); US5073391 (A); US5121677 (A); US5171367 (A); US5458055 (A); US5523101 (A); US5678476 (A),,,,,
Pizza server,US6299918 (B1),09/10/2001,MORGESE JOSEPHâ€‚[US],MORGESE JOSEPH,A47G21/00; A47G21/04; B65D5/20; B65D85/36; B65D85/00,B65D85/36; A47G21/001; A47G21/045; B65D5/2028; B65D2585/366,US19990472723,19991227,US19980113999P 19981228; US19990472723 19991227; US19990114805P 19990105,US3335846 (A); US5098013 (A); US5118033 (A); US5129521 (A); US5165171 (A); US5176930 (A); US5249738 (A); US5381905 (A); US5476214 (A); US5526569 (A); US5605231 (A); US5788145 (A),,,,,,,,,,,,,
Pizza docking device,US6227093 (B1),08/05/2001,RENSKY JR BERNARD Jâ€‚[US],"RENSKY, JR. BERNARD J",A21C11/12; B26D5/08,A21C11/12,US19990468766,19991221,US19990468766 19991221,US1026436 (A); US5533269 (A),,,,,,,,,,,,,
Method and apparatus for baking foods in a barbeque grill,US6187359 (B1),13/02/2001,ZUCCARINI ANTHONY MARKâ€‚[CA],ZUCCARINI ANTHONY MARK,A47J37/01; A47J37/07; A21B1/00; A23L1/00; A47J37/00,A47J37/01; A47J37/0786,US19990465385,19991217,US19990465385 19991217; US19990133879P 19990512,US5365833 (A); US5523104 (A),,,,,,,,US1862420 (A); US2722883 (A); US3040651 (A); US3548736 (A); US3786741 (A); US3793936 (A); US4332828 (A); US4446776 (A); US5211105 (A); US5242704 (A); US5437222 (A); US5458054 (A); US5562023 (A); US5605143 (A),,,,,
Pasta composites and process therefor,US6221408 (B1),24/04/2001,GARBO PAUL Wâ€‚[US],GARBO PAUL W,A23L1/0534; A23L1/16; A23L1/16; A23P1/08,A23L1/0534; A23L1/1606; A23L1/1613,US19990455388,19991206,US19990455388 19991206,US4426400 (A); US5283071 (A); US5518756 (A); US5939113 (A); US5960705 (A); US6004602 (A); US6026737 (A),,,,,,,,,,,,,
Crush-resisting paperboard clamshell carton,US6223979 (B1),01/05/2001,CORRELL JOHN Dâ€‚[US],CORRELL JOHN D,B65D5/66; B65D85/36; B65D5/22,B65D5/6655; B65D85/36; B65D2585/366; Y10S229/906,US19990452583,19991201,US19990452583 19991201,US1681940 (A); US1716975 (A); US4232816 (A); US4877178 (A); US5431333 (A); US6065669 (A); US6126065 (A),,,,,,,,US4930681 (A); US4960238 (A); US5603450 (A); US5669552 (A); US5707004 (A); US5921466 (A),,,,,
Elevated platter for preparing food in a microwave oven,US6386498 (B1),14/05/2002,DECO KELLYâ€‚[US],DECO KELLY,A47J36/02; H05B6/64; B65D81/34; A47B91/00; H05B6/80,A47J36/027; H05B6/6408; B65D2581/3462,US19990443058,19991118,US19990443058 19991118,US903377 (A); USD152558S (S); US3115253 (A); US3858529 (A); USD251107S (S); US4249464 (A); USD278306S (S); US4539455 (A); USD286129S (S); US4713513 (A); US4847461 (A); US5247149 (A); US5726428 (A),,,,,,,,,,,,,
"Container for transporting heated food, particularly pizza and the like",US6257434 (B1),10/07/2001,LIZZIO FILIPPOâ€‚[IT],AGAPE TRADE AGâ€‚[US],B65D77/20; A47J47/14; B65D43/16; B65D77/04; B65D81/26; B65D85/36; B65D85/62,B65D77/048; B65D43/162; B65D85/36; B65D2205/00; B65D2585/366; Y10S99/15,US19990419882,19991018,EP19990113914 19990716,US4373636 (A); US4848543 (A); US5076434 (A); US5423477 (A); US5543606 (A); US5605231 (A),,,,,,,,US5662237 (A); FR2116203 (A1); WO9412397 (A1); WO9529619 (A1),,,,,
Quality-enhancing pizza carton,US6206277 (B1),27/03/2001,CORRELL JOHN Dâ€‚[US],CORRELL JOHN D,B65D5/20; B65D5/22; B65D5/42; B65D5/66; B65D85/36; B65D5/22,B65D5/6658; B65D5/2033; B65D5/2047; B65D5/22; B65D5/42; B65D2585/366; Y10S229/906,US19990394784,19990913,US19990394784 19990913; US19980061302 19980416; US19960731586 19961016,US5452845 (A); US5535940 (A); US5806755 (A); US5833130 (A); US5881948 (A); US6016951 (A); US6065669 (A); US6092715 (A),,,,,,,,US3923234 (A); US4765534 (A); US5000374 (A); US5110039 (A); US5368225 (A); US5522537 (A); US5586716 (A); US5702054 (A); US5713509 (A),,,,,
Apparatus for bonding food particles,US6148718 (A),21/11/2000,D ALTERIO JOSEPH Câ€‚[US],SBJR RESTAURANTS INCâ€‚[US],A23L1/00; A23L1/16; A23L1/164; A23P1/10; A47J37/00; A22C7/00; A23L1/00,A23L1/16; A23L1/0073; A23L1/1643; A23P1/105,US19990394516,19990913,US19990394516 19990913; US19980161638 19980928,US1214486 (A); US2070706 (A); US3223025 (A); US5253565 (A),,,,,,,,,,,,,
Pizza crust and process and apparatus for making same,US6365210 (B1),02/04/2002,SCHAIBLE II JOHN Eâ€‚[US];  PAKULSKI JEFFREY Râ€‚[US],M & M HOLDINGS INCâ€‚[US],A21C11/00; A21D13/00; A21D13/00,A21D13/007; A21C11/006,US19990391948,19990908,US19990391948 19990908; US19980099796P 19980910,US6001400 (A); US6113956 (A),,,,,,,,US87390 (A); US666216 (A); US1076464 (A); US1169023 (A); US1224492 (A); US2154449 (A); US2204045 (A); US2357679 (A); US2549595 (A); US2668117 (A); US2767667 (A); US2774316 (A); US2855893 (A); US2953107 (A); US2969289 (A); US3007800 (A); US3161523 (A); US3170795 (A); US3275450 (A); US3275451 (A); US3347181 (A); US3368503 (A); US3379141 (A); US3565015 (A); US3574634 (A); US3615678 (A); US3615679 (A); US3777703 (A); US3803326 (A); US3814005 (A); US3845219 (A); US3879564 (A); US3897568 (A); US3934040 (A); US3958032 (A); US3968268 (A); US3979525 (A); US3982481 (A); US4020184 (A); US4054679 (A); US4109018 (A); US4251549 (A); US4271200 (A); US4283424 (A); US4303677 (A); US4395426 (A); US4404227 (A); US4405648 (A); US4481222 (A); US4556572 (A); US4645673 (A); US4741916 (A); US4788067 (A); US4842882 (A); US4847104 (A); US4861601 (A); US4862794 (A); US4966778 (A); US4992285 (A); US5072663 (A); US5075120 (A); US5094859 (A); US5171590 (A); US5184538 (A); US5188855 (A); US5192567 (A); US5260078 (A); US5262182 (A); US5281433 (A); US5354566 (A); US5417989 (A); US5441751 (A); US5447738 (A); US5451417 (A); US5527549 (A); US5620731 (A); US5960703 (A); DE2446581 (A1); FR2285834 (A1); GB1468997 (A),,,,,
Illustration applicator for food products,US6242026 (B1),05/06/2001,FEELEY EDWARD JOSEPHâ€‚[US],FEELEY EDWARD JOSEPH,A21C9/04; A21D13/00; A23L1/00; A23P1/08; A23P1/00,A21D13/0009; A21C9/04; A21D13/0087; A23L1/0067; A23P1/086,US19990391888,19990907,US19990391888 19990907,US2952225 (A); US4112834 (A); US4125658 (A); US4285978 (A); US4531292 (A); US4605579 (A); US4946696 (A); US4997670 (A); US5017394 (A); US5315922 (A); US5678476 (A); US5789009 (A),,,,,,,,,,,,,
Self-contained crust factory,US6026738 (A),22/02/2000,CHARLES JAMES Pâ€‚[US];  DOLSKI DENNIS Aâ€‚[US];  LASEE JOSEPH Aâ€‚[US],DOC MACHINES WORKS INCâ€‚[US],A21C11/00; A21C9/00; A21C11/00; A47J37/00,A21C11/006,US19990390149,19990903,US19990390149 19990903,US740346 (A); US1725834 (A); US3565015 (A); US3716319 (A); US3735692 (A); US3814005 (A); US4214650 (A); US4683813 (A); US4724755 (A); US4973240 (A); US5074778 (A); US5176922 (A); US5253565 (A); US5396833 (A); US5417149 (A); US5469779 (A); US5591470 (A); US5630358 (A); US5649473 (A); US5921170 (A),,,,,,,,,,,,,
Heat-retaining food carton,US6196448 (B1),06/03/2001,CORRELL JOHN Dâ€‚[US],CORRELL JOHN D,B65D5/42; B65D5/66; B65D81/38; B65D85/36; B65D5/56,B65D5/6652; B65D81/3853; B65D5/42; B65D85/36; B65D2585/366; Y10S229/902,US19990378656,19990820,US19990378656 19990820,US564592 (A); US579105 (A); US618468 (A); US690575 (A); US1566505 (A); US1908841 (A); US2620116 (A); US4530459 (A); US4809908 (A); US4957237 (A); US5223121 (A); US5269457 (A); US5615796 (A),,,,,,,,US1649088 (A); US5921466 (A),,,,,
Pizza paddle device,US6068313 (A),30/05/2000,CASPER GARY Dâ€‚[US];  CASPER JENNIFER Pâ€‚[US],"CASPER, GARY D, ; CASPER, JENNIFER P",A21B3/00; A47J43/28,A21B3/003,US19990351012,19990712,US19990351012 19990712,US1135906 (A); US2006579 (A); US2950547 (A); US3002298 (A); US4753472 (A); US5213384 (A); US5417463 (A); US5716086 (A),,,,,,,,,,,,,
Portable brick oven,US6041769 (A),28/03/2000,LLODRA JR JOSEPH Aâ€‚[US];  TINARI HENRY Aâ€‚[US],"LLODRA, JR., JOSEPH A, ; TINARI, HENRY A",A47J37/07; F24C3/14; A47J37/00; F24C3/00,F24C3/14; A47J37/0759,US19990349169,19990709,US19990349169 19990709,US2859744 (A); US4082077 (A); US4095586 (A); US4108138 (A); US4474165 (A); US4850332 (A); US5605092 (A),,,,,,,,,,,,,
