Title,Publication number,Publication date,Inventor(s),Applicant(s),International classification,Cooperative Patent Classification,Application number,Date of application,Priority number(s),Patents cited in the search report,Literature cited in the search report,Patents cited during examination,Literature cited during examination,Other patent citations,Other literature citations,Patents used in opposition,Literature used in opposition,Patents cited by the applicant,Literature cited by the applicant,International search citation,International search NPL citation,Supplementary international search citation,Supplementary international search NPL citation
Rotating frying pan,CN203564125 (U),30/04/2014,JIAN WEIWEN;  LI HUIQUAN,GUANGDONG ELECPRO ELECTRIC APPLIANCE CO LTD,A47J37/06; A47J37/12,,CN20132625804U,20131011,CN20132625804U 20131011,,,,,,,,,,,,,,
Pizza stone,USD703478 (S1),29/04/2014,SIEGEL JEFFREYâ€‚[US],LIFETIME BRANDS INCâ€‚[US],,,US201329462461F,20130805,US201329462461F 20130805,,,,,,,,,,,,,,
LED MODULE FOR EMITTING WHITE LIGHT ('PIZZA ARRANGEMENT'),WO2014174083 (A1),30/10/2014,LEITGEB THOMASâ€‚[AT];  PACHLER PETERâ€‚[AT];  GUMHOLD JÃœRGENâ€‚[AT];  WIMMER FLORIANâ€‚[AT],TRIDONIC JENNERSDORF GMBHâ€‚[AT],F21K99/00; H01L25/075; F21V9/16; F21Y101/02; F21Y105/00; H01L33/50,F21K9/00; F21K9/56; F21V9/16; F21Y2101/02; F21Y2105/003,WO2014EP58471,20140425,DE201310207706 20130426,,,,,,,,,,,WO2013015058 (A1),,,
Sauce spraying device for making pizza,CN203538244 (U),16/04/2014,SONG TIANGUO;  CHEN WAN,SONG TIANGUO;  CHEN WAN,A21C15/00,,CN20132650110U,20131022,CN20132650110U 20131022,,,,,,,,,,,,,,
CUTTING AND DISPLAY TRAY FOR CUTTING PROPORTIONAL SIZED PIECES OF PIZZA,US2014099418 (A1),10/04/2014,GETZINGER GREG Tâ€‚[US],NUVO GRAND LLCâ€‚[US],B26B29/06,A47J47/005; B26D3/24; B26D7/2614; B26B29/063,US201314100733,20131209,US201314100733 20131209; US20110932296 20110222; US201213555942 20120723; US20100339139P 20100222; US201161511723P 20110726,,,,,,,,,,,,,,
"Customized fire pit, barbecue and rotisserie",AU2014100149 (A4),03/04/2014,GJUROVSKI PHILLIP,GJUROVSKI PHILLIP,A47J37/07,,AU20140100149,20140219,AU20140100149 20140219,,,,,,,,,,,,,,
ORBITING MECHANISM FOR PIZZA OVENS,WO2014047700 (A1),03/04/2014,PINTO ALEX FABIANOâ€‚[BR],PINTO ALEX FABIANOâ€‚[BR],F16H3/44; A21B1/42; A21B1/46,A21B1/44,WO2013BR00146,20130506,BR20121024598 20120927,,,,,,,,,,,US5471915 (A); US3125015 (A); ES2013463 (A6); CN2041888U (U),,,
Pizza Sales Promotion,US2014095311 (A1),03/04/2014,BULLOCH JR PAUL MILNER CHIPâ€‚[US],BULLOCH JR PAUL MILNER CHIPâ€‚[US],G06Q30/02,G06Q30/02; G06Q30/0207; G06Q30/06; G06Q50/12,US201213630648,20120928,US201213630648 20120928,US2010076853 (A1); US6431628 (B1); US6858243 (B2),,,,,,,,,,,,,
VENTILATED TRAY WITH RISER,US2014091096 (A1),03/04/2014,COZADD AARONâ€‚[US],UNION JOINTSâ€‚[US],A47G23/06,A47G23/0625; A47G23/0683,US201314041542,20130930,US201314041542 20130930; US201261708142P 20121001,,,,,,,,,,,,,,
"Supporting device for horizontally transporting e.g. pizza packaging, has base connected with flaps to be arranged opposite to each other, where device is manufactured from paper, plastic or other flexible materials in varying sizes",DE102012020069 (A1),17/04/2014,BEKAR VEYSELâ€‚[DE];  BEKAR ERKANâ€‚[DE];  BEKAR YUECELâ€‚[DE],BEKAR YUECELâ€‚[DE],A45F5/10,A45F5/10; A45F2005/1006,DE20121020069,20121013,DE20121020069 20121013,DE29812168U (U1),,,,,,,,DE202007016652U (U1); DE202008011975U (U1),,,,,
Three-dimensional conveying device for manufacturing pizzas,CN203512755 (U),02/04/2014,SONG TIANGUO;  CHEN WAN,SONG TIANGUO;  CHEN WAN,B65G47/90,,CN20132650173U,20131022,CN20132650173U 20131022,,,,,,,,,,,,,,
Ingredient refrigerating and laying device for making pizza,CN203505431 (U),02/04/2014,SONG TIANGUO;  CHEN WAN,SONG TIANGUO;  CHEN WAN,A21C9/08; A21D13/00,,CN20132649856U,20131022,CN20132649856U 20131022,,,,,,,,,,,,,,
Pizza rice cake,TWM469758 (U),11/01/2014,HONG RONG-HUIâ€‚[TW],HONG RONG-HUIâ€‚[TW],A23P1/08,,TW20130217075U,20130911,TW20130217075U 20130911,,,,,,,,,,,,,,
METHOD AND SYSTEM FOR MORE ACCURATELY DETERMINING NUTRITIONAL VALUES AND REDUCING WASTE OF FOOD ITEMS.,MX2012009751 (A),16/12/2013,GETZINGER GREGORY Tâ€‚[US];  SPRIEGEL ANDREW R,SPRIEGEL ANDREW Râ€‚[US],A47J43/00,A47J43/18; A47J47/005,MX20120009751,20120822,US20100339139P 20100222; WO2011US00341 20110222,,,,,,,,,,,,,,
PIZZA PIE PREPARATION DEVICE AND RELATED METHODS,US2014087048 (A1),27/03/2014,WEBSTER ROSSâ€‚[US];  KESTIN GARYâ€‚[US],EZ TOPPING SYSTEMS LLCâ€‚[US],A23P1/08; B26D3/00; B26D7/06; B26D7/32,A21C9/04,US201213627525,20120926,US201213627525 20120926,,,,,,,,,,,,,,
Pizza Kit and Method for Making Pizza,US2014087032 (A1),27/03/2014,GALLO THOMAS Aâ€‚[US];  DEVITT SUSANâ€‚[US],GALLO THOMAS Aâ€‚[US];  DEVITT SUSANâ€‚[US];  GALLO LEA ORGANICS LLCâ€‚[US],A21D13/00,A21D2/22; A21D10/005; A21D13/007; A21D13/066; B65D81/3272; A23V2002/00; A23V2002/00; A23V2200/08,US201314094562,20131202,US201314094562 20131202; US201113086438 20110414; US20100343409P 20100427,,,,,,,,,,,,,,
REUSABLEPIZZA CONTAINER AND METHOD FOR MAKING THE SAME,US2014084046 (A1),27/03/2014,COLON EPIFANICâ€‚[US],COLON EPIFANICâ€‚[US],B65D5/355; B31B1/25; B65D5/54,B65D5/6664; B65D5/0005; B65D5/5475; B65D5/5495; B65D2301/10; B65D2585/366; B31B1/25,US201314084883,20131120,US201314084883 20131120; US20100927713 20101123,US2008197177 (A1); US2011138750 (A1); US2011253772 (A1); US3677458 (A),,,,,,,,,,,,,
Downward-pressing roller type pizza knife,CN103659846 (A),26/03/2014,DU HAOMING,ANHUI HUIZHI ELECTRIC TECHNOLOGY CO LTD,B26B3/02,,CN20131552195,20131107,CN20131552195 20131107,,,,,,,,,,,,,,
"METHOD OF MANUFACTURING PIZZA DOUGH, A METHOD OF MANUFACTURING PIZZA USING THE DOUGH, AND THE PIZZA",KR101414152 (B1); KR20140018688 (A),13/02/2014,JUNG RAE YEONGâ€‚[KR],GV FOODSYSTEM CO LTDâ€‚[KR],A21D8/02; A21D2/36; A21D8/06; A21D13/00,,KR20120085186,20120803,KR20120085186 20120803,,,KR100889880B (B1); KR20120072920 (A); KR20110005274U (U),,,,,,,,,,,
WAFFLE MAKER,WO2014036588 (A1),13/03/2014,FOXLEE BRENDAN JOHNâ€‚[AU];  CRAIG EMMAâ€‚[AU];  ROSE VYVYANâ€‚[AU];  MARSH-CROFT ASHLEYâ€‚[AU],BREVILLE R & D PTY LTDâ€‚[AU],A47J37/00; A47J37/06; A47J37/08,A47J37/0611,WO2013AU00386,20130416,AU20120903873 20120906,,,,,,,,,,,US2003127451 (A1); US6198078 (B1); US4884626 (A),,,
Novel pizza shovel,CN203468425 (U),12/03/2014,ZHU ZHENXIN,ZHU ZHENXIN,A47J43/28,,CN20132525176U,20130827,CN20132525176U 20130827,,,,,,,,,,,,,,
"PIZZA BED SHAPING TOOL, AND PIZZA BED SHAPING METHOD",JP2014028110 (A); JP5428084 (B2),13/02/2014,,YOSHIWAKA SHUGO,A47J43/20; A21D13/08,A21C11/004; A21D13/007; A21D17/002,JP20120219861,20121001,JP20120158075 20120628; JP20120219861 20121001,,,JPS615230Y (Y2); JPH0220399B (B2); JP2006000154 (A),,,,,,,,,,,
METHOD FOR MANUFACTURING PIZZA CRUST EXCELLENT IN FLAVOR AND TEXTURE,JP2014023454 (A),06/02/2014,,MEIJI CO LTD,A21D8/04,,JP20120165012,20120725,JP20120165012 20120725,,,,,,,,,,,,,,
"Production and transport system useful for industrially produced pasta, in which the dough is continuously produced as an ingredient for remote distributed foods, e.g. pizza or cake, and the dough is portioned onto a moving belt",DE102012018369 (A1),20/03/2014,FENICHIU ALEXANDERâ€‚[DE];  LUNGU CORNELIUSâ€‚[DE],FENICHIU ALEXANDERâ€‚[DE],B65B25/16; A21C3/02,A21C9/08; B65B25/00; B65B25/06,DE20121018369,20120918,DE20121018369 20120918,,,,,,,,,EP1884161 (A2),,,,,
Pizza scissors,CN203460200 (U),05/03/2014,YUN TAOXU,YUN TAOXU,B26B13/22; B26B13/12,,CN20132558027U,20130910,CN20132558027U 20130910,,,,,,,,,,,,,,
Oven,CN203458242 (U),05/03/2014,SONG TIANGUO;  CHEN WAN,SONG TIANGUO;  CHEN WAN,A47J37/04; A47J37/06,,CN20132397240U,20130705,CN20132397240U 20130705,,,,,,,,,,,,,,
STOVE FOR SMOKED FOOD USING SOLID FUEL,KR20140000826 (A),06/01/2014,JUNG HEE CHULâ€‚[KR];  YANG SI EUNâ€‚[KR];  YOO HYE JINâ€‚[KR],JUNG HEE CHULâ€‚[KR];  YANG SI EUNâ€‚[KR],A47J37/07; F24B3/00; F24F7/04,,KR20120068204,20120625,KR20120068204 20120625,,,,,,,,,,,,,,
ALLERGEN-FREE COMPOSITIONS,CA2786392 (A1),15/02/2014,BECKER LAURA LANEâ€‚[US],BECKER LAURA LANEâ€‚[US],A23L1/29; A21D10/00,,CA20122786392,20120816,US201213586601 20120815,,,,,,,,,,,,,,
"ANTIBACTERIAL THERMOBOX THAT ENABLES COOKED HOT TRANSPORTABLE FOODS SUCH AS PIZZA, PITA, LAHMACUN AND HAMBURGER TO BE DELIVERED TO THE CONSUMER VIA DELIVERY SERVICE",WO2014178804 (A1),06/11/2014,ViDiNLiSAN NEDIMâ€‚[TR],ViDiNLiSAN NEDIMâ€‚[TR],B65D81/26; B65D81/24; B65D81/38,B65D81/24; B65D81/264; B65D81/38; B65D2585/366,WO2013TR00355,20131129,TR20130005180 20130502,,,,,,,,,,,US4237171 (A); WO9910164 (A1); DE202012100002U (U1),,,
"Method for baking pizza from pourable liquid dough, involves preparing low viscous pourable batter from mix of pizza dough and liquid that is specially developed for preparing pizza, and baking pizza crust in pizza maker",DE102012016536 (A1),20/02/2014,KERN KLAUSâ€‚[DE],MAGIC BAKERY UNTERNEHMENSGESELLSCHAFT HAFTUNGSBESCHRAENKTâ€‚[DE],A21B3/13,A21B3/13; A21B5/03; A21D8/06; A21D13/007,DE20121016536,20120815,DE20121016536 20120815,,,,,,,,,,,,,,
SYSTEM FOR APPLYING PATTERNED CRUST SEGMENTS TO DOUGH,WO2014022606 (A1),06/02/2014,FINDLAY MICHAEL Câ€‚[US],FINDLAY MICHAEL Câ€‚[US],A21D13/00,A21D13/007,WO2013US53113,20130801,US201261741998P 20120801; US201313949431 20130724,,,,,,,,,,,US5789009 (A); US2009238924 (A1); US2012114812 (A1); US2007243292 (A1); US5508049 (A); US5417150 (A); US2009285939 (A1); US2007160715 (A1); US5962050 (A); US2005181098 (A1); US4661361 (A); US2010239719 (A1); US5405627 (A),,,
SHORTENING PARTICLE COMPOSITIONS AND DOUGH PRODUCTS MADE THEREFROM,US2014037793 (A1),06/02/2014,ERICKSON BRADEN Jâ€‚[US];  SEIBOLD JON Dâ€‚[US];  OPPENHEIMER ALAN Aâ€‚[US],GEN MILLS INCâ€‚[US],A23D9/00,A23D9/00; A23D9/04; A23D9/05; A21D2/16; A21D10/005,US201313957133,20130801,US201313957133 20130801; US201113017942 20110131; US20100880685 20100913,US2013337145 (A1); US8518470 (B2); US8435592 (B2); US2014037793 (A1); US4891233 (A); US6863915 (B2); US2002142072 (A1),,,,,,,,,,,,,
Pizza for pet and manufacturing method thereof,EP2764779 (A3); EP2764779 (A2),13/08/2014,LI XUEâ€‚[CN];  ZHU FUJUANâ€‚[CN];  ZHAO CUIPINGâ€‚[CN],YANTAI CHINA PET FOODS CO LTDâ€‚[CN],A23K1/00; A23K1/18,A23K1/001; A23K1/10; A23K1/103; A23K1/1846; A23K1/186,EP20140153429,20140131,CN2013147668 20130206,WO2008003140 (A1); EP0258037 (A2); WO03092404 (A1); CN202019679U (U); US3873736 (A),XP002723238,,,,,,,,,,,,
Pizza slice container,USD698613 (S1),04/02/2014,DIMEO MICHELE Nâ€‚[US],PIZZA ON DA GO LLCâ€‚[US],,,US201329467748F,20130923,US201329467748F 20130923; US201229440506F 20121221,,,,,,,,,,,,,,
Outdoor Pizza Oven,US2014026881 (A1),30/01/2014,ABRAMS JOHN LUTHERâ€‚[US];  GOEDEN MATTHEW CHARLESâ€‚[US];  KEAN ABRAN JAMESâ€‚[US];  HILL CHRISTOPHER DAVIDâ€‚[US],ABRAMS JOHN LUTHERâ€‚[US];  GOEDEN MATTHEW CHARLESâ€‚[US];  KEAN ABRAN JAMESâ€‚[US];  HILL CHRISTOPHER DAVIDâ€‚[US],A47J37/07,A47J37/0658; A47J37/0713,US201313946913,20130719,US201313946913 20130719; US201261675313P 20120724,,,,,,,,,,,,,,
FOOD AUTOMATIC VENDING MACHINE,KR101341528 (B1),13/12/2013,JUNG BEOM SOOâ€‚[KR],KUKJE KIYEON CO LTDâ€‚[KR],G07F11/70; G07F9/10,,KR20130054988,20130515,KR20130054988 20130515,KR980009359U (U),,KR20090100712 (A); KR100966792B (B1),,,,,,,,,,,
PIZZA AND CHICKEN BOX,KR101366928 (B1); KR20130135579 (A),11/12/2013,JEONG BYUNG TAEâ€‚[KR],JEONG BYUNG TAEâ€‚[KR],B65D5/50; B65D5/48; B65D85/36,,KR20120059275,20120601,KR20120059275 20120601,US2004178253 (A1); KR20000050183 (A); KR20110027861 (A),,,,,,,,,,,,,
Pizza Pan,US2014020570 (A1),23/01/2014,VENTIMEGLIA JAMIE JOSEPHâ€‚[US];  VENTIMEGLIA THOMAS JOSEPHâ€‚[US];  VENTIMEGLIA JOEL MICHAELâ€‚[US],VENTIMEGLIA JAMIE JOSEPHâ€‚[US];  VENTIMEGLIA THOMAS JOSEPHâ€‚[US];  VENTIMEGLIA JOEL MICHAELâ€‚[US],A21B3/13,A21B3/13; A21B3/132,US201313949141,20130723,US201313949141 20130723; US201261674787P 20120723,,,,,,,,,,,,,,
CLASSIFICATION ENGINE FOR DYNAMIC E-ADVERTISEMENT CONTENT INSERTION,US2014019235 (A1),16/01/2014,SHAW VENSON Mâ€‚[US];  HENRY JR COULTER Câ€‚[US];  STANLEY GILES LINDAâ€‚[US];  EVORA ROBERT Zâ€‚[US],AT & T MOBILITY II LLCâ€‚[US],G06Q30/02,G06Q30/00; G06Q30/0251,US201314030165,20130918,US201314030165 20130918; US20070860611 20070925; US20070763652 20070615,US2004025176 (A1); US2005172312 (A1); US7853969 (B2); US2005149968 (A1); US2008212937 (A1),,,,,,,,,,,,,
A PACKAGED PRODUCT COMPRISING A LIQUID DOUGH FOR MAKING A BAKERY PRODUCT,WO2014080369 (A1),30/05/2014,LUDOVICO SANTEâ€‚[IT],PIZZA & 1 S R Lâ€‚[IT],A21D2/38; A21D10/02; A21D10/04; A21D13/00,A21D2/38; A21D10/025; A21D10/045; A21D13/007,WO2013IB60333,20131122,IT2012BO00641 20121126,,,,,,,,,,,WO0211544 (A1); US3021220 (A); WO9639041 (A1); US4022917 (A); US2007286933 (A1),,,
Conical pizza molding machine,CN203388156 (U),15/01/2014,HAO HUI,MAIGU BEIJING RESTAURANT MAN CO LTD,A21C11/00,,CN20132235890U,20130503,CN20132235890U 20130503,,,,,,,,,,,,,,
Pizza baking rack,CN103505066 (A),15/01/2014,LI HONGBO,SUZHOU WEIRUIDA MACHINERY TECHNOLOGY CO LTD,A47J37/06,,CN20121203621,20120620,CN20121203621 20120620,,,,,,,,,,,,,,
Pizza baking rack adjustable between single layer and double layer,CN103505065 (A),15/01/2014,LI HONGBO,SUZHOU WEIRUIDA MACHINERY TECHNOLOGY CO LTD,A47J37/06,,CN20121203602,20120620,CN20121203602 20120620,,,,,,,,,,,,,,
Musical Pizza Box,US8720690 (B2); US2014008265 (A1),09/01/2014,RUGGIERO GAETANO FRANCESCOâ€‚[US],RUGGIERO GAETANO FRANCESCOâ€‚[US],B65D85/00; B31B1/00; B65B5/02; B65B5/04,G06Q30/0241; B65D2203/12; B65D2585/366; B65D85/00; B31B1/00; B65B5/024; B65B5/04,US201313772823,20130221,US201313772823 20130221; US201261669067P 20120707,US4614266 (A); US5275285 (A); US5294040 (A); US6045038 (A); US6273332 (B1); US7752783 (B2); US2007267471 (A1); US2009134209 (A1); US2010089985 (A1),,,,,,,,US5270686 (A); US5903869 (A); US5992629 (A); US6305547 (B1); US6347706 (B1); US2004089582 (A1); US2010025267 (A1); US2011210160 (A1),,,,,
Double-layered pizza oven,CN203378994 (U),08/01/2014,XU HANG,XU HANG,A47J37/06; A21B5/00,,CN20132429048U,20130718,CN20132429048U 20130718,,,,,,,,,,,,,,
PIZZA AUTOMATIC VENDING MACHINE,KR101326617 (B1),07/11/2013,KIM KI JOONâ€‚[KR],KIM KI JOONâ€‚[KR],G07F9/10; G07F11/70,,KR20130049483,20130502,KR20130049483 20130502,,,KR100989544B (B1); KR101090647B (B1); KR20060098153 (A),,,,,,,,,,,
ROTATING CUTTER FOR CUTTING PIZZA,KR101324901 (B1),04/11/2013,MIN BYONG MOONâ€‚[KR],MIN BYONG MOONâ€‚[KR],B26B25/00; A21C15/04; A47G21/02,,KR20120077538,20120717,KR20120077538 20120717,KR20100026269 (A),,,,,,,,,,,,,
Pizza oven combustor,CN203375451 (U),01/01/2014,LI YANSHENG,CHINABEST HOME APPLIANCES CO LTD,F23D14/20; F23D14/84,,CN20132308880U,20130531,CN20132308880U 20130531,,,,,,,,,,,,,,
Novel fryer,CN103462522 (A),25/12/2013,JIAN WEIWEN;  ZHANG HUA;  HU HAIJUN,GUANGDONG ELECPRO ELECTRIC APPLIANCE CO LTD,A47J37/06; A47J37/00,,CN20131434447,20130923,CN20131434447 20130923,,,,,,,,,,,,,,
SEARCH APPLICATION FOR SEARCH ENGINE RESULTS PAGE,US2014006370 (A1),02/01/2014,KESHRI JITU KUMARâ€‚[IN];  JIANG ZHAOWEI CHARLIEâ€‚[US];  MACBETH STEVEN WILLIAMâ€‚[US],KESHRI JITU KUMARâ€‚[IN];  JIANG ZHAOWEI CHARLIEâ€‚[US];  MACBETH STEVEN WILLIAMâ€‚[US];  MICROSOFT CORPâ€‚[US],G06F17/30,G06F17/30864; G06F17/3089,US201213539346,20120630,US201213539346 20120630,US2011191316 (A1); US2011214078 (A1); US2012284247 (A1),,,,,,,,,,,,,
Pizza and Method of Preparation,US2014004229 (A1),02/01/2014,DELISLE STEVENâ€‚[US],DELISLE STEVENâ€‚[US],A21D13/00; A21D2/00; A23P1/08; B65D85/00,A21D13/0067; A21D13/007; A21D15/02,US201213537888,20120629,US201213537888 20120629,US4206845 (A); USD304658S (S); US5077050 (A); US5508049 (A); US5887783 (A); US5962050 (A); US6116455 (A); USD469016S (S1); US6514548 (B2); US2004206806 (A1); US2006121161 (A1); US2005181098 (A1),,,,,,,,,,,,,
Pizza box,USD696109 (S1),24/12/2013,WILKER ALISON Mâ€‚[US],WILKER ALISON Mâ€‚[US];  NESTLE SAâ€‚[CH],,,US201229423252F,20120530,US201229423252F 20120530,,,,,,,,,,,,,,
SHORTENING PARTICLE COMPOSITIONS AND DOUGH PRODUCTS MADE THEREFROM,US8920865 (B2); US2013337145 (A1),19/12/2013,ERICKSON BRADEN Jâ€‚[US];  SEIBOLD JON Dâ€‚[US];  OPPENHEIMER ALAN Aâ€‚[US],GEN MILLS INCâ€‚[US];  GEN MILLS INCâ€‚[US],A23D9/00,A23D9/04; A23D9/05; A21D2/16; A21D10/005; A23D9/00,US201313873967,20130430,US201313873967 20130430; US20100880685 20100913,US8435592 (B2); US8518470 (B2); US2012308708 (A1); US5587195 (A); US2011097471 (A1); US6238723 (B1); US5587195 (A); US6238723 (B1); US8435592 (B2); US8518470 (B2); US2011097471 (A1); US2012308708 (A1),,,,,,,,US3714210 (A); US3800056 (A); US3859447 (A); US4018755 (A); USRE30086E (E); US4211800 (A); US4268534 (A); US4810513 (A); US4839187 (A); US4891233 (A); US5190868 (A); US5578334 (A); US5667837 (A); US5686131 (A); US5710365 (A); US5843497 (A); US5874117 (A); US6022577 (A); US6106885 (A); US6277433 (B1); US6312751 (B1); US6312752 (B1); US6406737 (B1); US6630172 (B2); US6863915 (B2); US7229653 (B2); US2002142072 (A1); US2003082289 (A1); US2003175403 (A1); US2004028622 (A1); US2004047969 (A1); US2004197463 (A1); US2006013934 (A1); US2006286272 (A1); US2006292276 (A1); US2007128340 (A1); US2007160739 (A1); US2007178218 (A1); US2007190186 (A1); US2008206413 (A1); US2009029024 (A1); US2009311387 (A1); GB855349 (A); GB1005804 (A); GB2081293 (A); GB2176143 (A); GB2210544 (A); JPS611343 (A); JPH06145055 (A); JPS6195098 (A); JPS62273293 (A); JPH07313086 (A); JP2000102345 (A); JP2007174988 (A); JP2007252203 (A); JP2007282606 (A); JP2008220290 (A); JP2008263790 (A); JP2008278833 (A); JP2009072096 (A); WO2007061372 (A1); WO2009130928 (A1); WO2010007802 (A1),,,,,
Pizza oven,CN203328543 (U),11/12/2013,BIAN SHUIXIANG,ZHONGSHAN HAOTONG ELECTRICAL APPLIANCE CO LTD,A47J37/06,,CN20132351094U,20130618,CN20132351094U 20130618,,,,,,,,,,,,,,
Outdoor stove,CN203314791 (U),04/12/2013,YIN XUEJUN,MERKUR HOLDINGS LTD,A47J37/07,,CN20132254676U,20130510,CN20132254676U 20130510,,,,,,,,,,,,,,
Multifunctional charcoal grill,CN203314785 (U),04/12/2013,XU HANCHUN,NINGBO SPRING COMM TECHNOLOGIES CO LTD,A47J37/06,,CN20132315483U,20130603,CN20132315483U 20130603,,,,,,,,,,,,,,
THE MANUFACTURING METHOD OF PIZZA CHEESE SWEET AND SOUR PORK,KR101315240 (B1),07/10/2013,I SEONG YEONGâ€‚[KR],I SEONG YEONGâ€‚[KR],A23L1/315; A23C19/00; A23L1/31; A23L1/48,,KR20130077883,20130703,KR20130077883 20130703,KR20000024323 (A); KR20030060363 (A); KR20060102569 (A); KR20060118064 (A),,,,,,,,,,,,,
LOVE PIZZA,KR20130117993 (A),29/10/2013,CHOI JUNG REAâ€‚[KR],CHOI JUNG REAâ€‚[KR],A21D13/00,,KR20120040799,20120419,KR20120040799 20120419,,,,,,,,,,,,,,
ANYONE CAN EASILY CREATE AT HOME USING A DIY SET OF PIZZA INGREDIENTS,KR20130111726 (A),11/10/2013,LEE KYUNG DOâ€‚[KR],LEE KYUNG DOâ€‚[KR],A21D10/00; A21D13/00,,KR20120033816,20120402,KR20120033816 20120402,,,,,,,,,,,,,,
Oven suitable for baking pizza,CN203302895 (U),27/11/2013,WANG ZILU,WANG ZILU,A47J37/06,,CN20132233282U,20130420,CN20132233282U 20130420,,,,,,,,,,,,,,
Steam frying pan,CN203302892 (U),27/11/2013,JIAN WEIWEN;  ZHENG SHUANGSHENG;  HU HAIJUN,GUANGDONG ELECPRO ELECTRIC APPLIANCE CO LTD,A47J37/00,,CN20132262485U,20130515,CN20132262485U 20130515,,,,,,,,,,,,,,
"Pizza cutting machine comprises a knife stripper with attached blades, which is fastened via a linear actuator on a piston rod and which descends through the slots of the interchangeable blade stripper with integrated contact protection",DE102012010826 (B4); DE102012010826 (A1),05/12/2013,POPP THOMASâ€‚[DE],POPP THOMASâ€‚[DE],B26D3/24; A21C15/04; B26D5/08; B26D5/12,A21C15/04; B26D3/24; B26D5/086; B26D2007/0043,DE20121010826,20120601,DE20121010826 20120601,DE19826114 (A1); NL9201770 (A); DE19826114 (A1); NL9201770 (A),,,,,,,,DE19826114 (A1),,,,,
Torch ice-cream cone pizza display case,CN203290571 (U),20/11/2013,HAO HUI,MAIGU BEIJING RESTAURANT MAN CO LTD,A47F3/08; A47F7/00,,CN20132236680U,20130503,CN20132236680U 20130503,,,,,,,,,,,,,,
COMPOSITION OF INGREDIENTS FOR PREPARING DIABETIC PIZZA,GEP20135837 (B),27/05/2013,PKHAKADZE NIKOLOZâ€‚[GE];  SILAGADZE MARIAâ€‚[GE];  KARCHAVA MANANAâ€‚[GE];  JINJOLIA SHOTAâ€‚[GE],,A21D13/00,,GE2009AP11463,20090910,GE2009AP11463 20090910,,,,,,,,,,,,,,
Pizza oven,USD693174 (S1),12/11/2013,MEASOM TYâ€‚[US];  BENNETT BRETTâ€‚[US],MEASOM TYâ€‚[US];  BENNETT BRETTâ€‚[US];  LOGAN OUTDOORS PRODUCTS L L Câ€‚[US],,,US201229424501F,20120613,US201229424501F 20120613,,,,,,,,,,,,,,
Pizza oven,USD693166 (S1),12/11/2013,MEASOM TYâ€‚[US];  BENNETT BRETTâ€‚[US],MEASOM TYâ€‚[US];  BENNETT BRETTâ€‚[US];  LOGAN OUTDOOR PRODUCTS L L Câ€‚[US],,,US201329444566F,20130131,US201329444566F 20130131,,,,,,,,,,,,,,
METHOD AND APPARATUS FOR COOKING PIZZA,US2013295262 (A1),07/11/2013,GIORDANO GIUSEPPEâ€‚[IT],GIORDANO GIUSEPPEâ€‚[IT],A21B3/13; A21D13/00,A21D8/06; A21D13/007; A21B3/13,US201113881012,20111025,IT2010AL00029U 20101029; WO2011EP05359 20111025,US6054697 (A); US5680956 (A); US2033574 (A); US2411857 (A); US2259854 (A); US7913970 (B2); US2430566 (A),,,,,,,,,,,,,
Cupola-shaped pizza stove,CN203252471 (U),30/10/2013,YU WEIJUN,YU WEIJUN,A47J37/06,,CN20132214056U,20130424,CN20132214056U 20130424,,,,,,,,,,,,,,
"COLORS AND IMPROVED FUNCTIONAL PIZZA DOUGH AND PIZZA, AND ITS MANUFACTURING METHOD AND MANUFACTURING METHOD USING THE SAME",KR20130106041 (A),27/09/2013,LEE BEOM UNâ€‚[KR],SHIN SEONG VILLAGEâ€‚[KR],A21D8/02; A21D2/36; A21D13/00,,KR20120027640,20120319,KR20120027640 20120319,,,,,,,,,,,,,,
SPOON-EATING POTATO PIZZA AND MANUFACTURING METHOD THEREOF,KR20130099481 (A),06/09/2013,JEONG YOUNG HOONâ€‚[KR],JEONG YOUNG HOONâ€‚[KR],A21D13/04; A21D8/06; A21D13/00; A23L1/216,,KR20120021035,20120229,KR20120021035 20120229,,,,,,,,,,,,,,
QRCODE MARKETTING FOR SMALL MERCHANT,KR20130099350 (A),06/09/2013,KIM JUN HYEOPâ€‚[KR],KIM JUN HYEOPâ€‚[KR],G06Q30/02; G06K9/18,,KR20120020791,20120229,KR20120020791 20120229,,,,,,,,,,,,,,
OMITTED,KR20130099272 (A),06/09/2013,LEE SANG HAâ€‚[KR],LEE SANG HAâ€‚[KR],A21D13/00,,KR20120011264,20120202,KR20120011264 20120202,,,,,,,,,,,,,,
POTATO PIZZA BREAD AND MANUFACTURING METHOD THEREOF,KR20130097906 (A),04/09/2013,JEONG YOUNG HOONâ€‚[KR],JEONG YOUNG HOONâ€‚[KR],A21D13/04; A21D13/00; A23L1/216,,KR20120019551,20120227,KR20120019551 20120227,,,,,,,,,,,,,,
