applicants_orgs_all,publication_number,applicants_orgs_all_1
Unilever Plc,ZA200505999,Unilever Plc
Cryovac Inc,ZA199103368,Cryovac Inc
"Mcneil-Ppc, Inc",CA2591350,"Mcneil-Ppc, Inc"
Burner & Flame Technology Limited,CA2161899,Burner & Flame Technology Limited
Maytag Corporation,CA2510538,Maytag Corporation
"Lincoln Foodservice Products, Inc",CA2528539,"Lincoln Foodservice Products, Inc"
"Belshaw Bros., Inc",CA2520266,"Belshaw Bros., Inc"
First Data Corporation,CA2590460,First Data Corporation
"Graphic Packaging International, Inc",CA2648628,"Graphic Packaging International, Inc"
Fgf Brands Inc,CA2650928,Fgf Brands Inc
Societe Des Produits Nestle S.A,ZA199501478,Societe Des Produits Nestle S.A
Societe Des Produits Nestle S.A,ZA199208956,Societe Des Produits Nestle S.A
Cpc International Inc,ZA199504789,Cpc International Inc
Beckett Technologies Corp,CA2196154,Beckett Technologies Corp
California Polytechnic State University Foundation,CA2207881,California Polytechnic State University Foundation
Yodolo. Ltd,IL77313,Yodolo. Ltd
"Cargill, Incorporated",CA2222723,"Cargill, Incorporated"
"Kraft Foods Holdings, Inc",CA2200546,"Kraft Foods Holdings, Inc"
Fort James Corporation,CA2250434,Fort James Corporation
"Pina, Inc",ZA199508754,"Pina, Inc"
Givaudan Sa,CA2216742,Givaudan Sa
Unilever Plc,CA2231459,Unilever Plc
The Procter & Gamble Company,CA2258787,The Procter & Gamble Company
Fort James Corporation,CA2218580,Fort James Corporation
Bestfoods,IL131137,Bestfoods
Lycored Natural Products Industries Ltd,IL149298,Lycored Natural Products Industries Ltd
"Lincoln Foodservice Products, Inc",ZA200201147,"Lincoln Foodservice Products, Inc"
Bestfoods,ZA199904820,Bestfoods
Societe Des Produits Nestle S.A,ZA200104563,Societe Des Produits Nestle S.A
Societe Des Produits Nestle S.A,ZA200105015,Societe Des Produits Nestle S.A
"The Boc Group, Inc",ZA200106368,"The Boc Group, Inc"
Societe Des Produits Nestle S.A,ZA200403687,Societe Des Produits Nestle S.A
"Belshaw Bros., Inc",ZA200502570,"Belshaw Bros., Inc"
Societe Des Produits Nestle S.A,ZA199805426,Societe Des Produits Nestle S.A
Kimberly-Clark Corp,ZA199707000,Kimberly-Clark Corp
General Electric Company,CA2706079,General Electric Company
Csm Nederland B.V,CA2753120,Csm Nederland B.V
Moffat Pty Limited,CA2720718,Moffat Pty Limited
Kraft Foods Global Brands Llc,CA2712650,Kraft Foods Global Brands Llc
G & W Electric Company,CA2712392,G & W Electric Company
"Adison, Co., Ltd",CA2694371,"Adison, Co., Ltd"
Kraft Foods Global Brands Llc,CA2676518,Kraft Foods Global Brands Llc
Kraft Foods Global Brands Llc,CA2683419,Kraft Foods Global Brands Llc
"Exopack, Llc",CA2597421,"Exopack, Llc"
Kraft Foods Global Brands Llc,CA2639130,Kraft Foods Global Brands Llc
"Silberline Manufacturing Co., Inc",CA2641101,"Silberline Manufacturing Co., Inc"
"Lincoln Foodservice Products, Inc",CA2665822,"Lincoln Foodservice Products, Inc"
"Thomas & Betts International, Inc",CA2269303,"Thomas & Betts International, Inc"
Societe Des Produits Nestle S.A,CA2315004,Societe Des Produits Nestle S.A
Breakaway Foods L L C,CA2307885,Breakaway Foods L L C
"Vlasic Foods International, Inc",CA2314388,"Vlasic Foods International, Inc"
"Kraft Foods Holdings, Inc",CA2326479,"Kraft Foods Holdings, Inc"
Novo Nordisk A/S,CA2326412,Novo Nordisk A/S
"Kraft Foods Holdings, Inc",CA2326474,"Kraft Foods Holdings, Inc"
Hughes Electronics Corp,CA2330990,Hughes Electronics Corp
Ralston Purina Company,CA2359362,Ralston Purina Company
Korea Institute Of Science And Technology,CA2346325,Korea Institute Of Science And Technology
Maytag Corporation,CA2341474,Maytag Corporation
Korea Institute Of Science And Technology,CA2342608,Korea Institute Of Science And Technology
Hunza Di Maria Carmela Marazzita S.A.S,CA2360065,Hunza Di Maria Carmela Marazzita S.A.S
Bestfoods,CA2279163,Bestfoods
Maytag Corporation,CA2458896,Maytag Corporation
Societe Des Produits Nestle S.A,CA2461758,Societe Des Produits Nestle S.A
"Kraft Foods Holdings, Inc",CA2464382,"Kraft Foods Holdings, Inc"
The Pillsbury Company,CA2434925,The Pillsbury Company
"Dreyer Grand Ice Cream, Inc",CA2495178,"Dreyer Grand Ice Cream, Inc"
"Kraft Foods Holdings, Inc",CA2144009,"Kraft Foods Holdings, Inc"
Johnson & Johnson Pacific Pty,CA2499714,Johnson & Johnson Pacific Pty
Aroma Company Europ Ltd,CA2397014,Aroma Company Europ Ltd
Zesto Food Equipment Manufacturing Inc,CA2137995,Zesto Food Equipment Manufacturing Inc
Chiron Corporation,CA2389080,Chiron Corporation
"Lighted Logos, L.C",CA2417457,"Lighted Logos, L.C"
Nisshin Seifun Group Inc,CA2404058,Nisshin Seifun Group Inc
"Hanlim Mechatronics Co., Ltd",CA2380361,"Hanlim Mechatronics Co., Ltd"
"Graphic Packaging International, Inc",EP2230192,"Graphic Packaging International, Inc"
Nestle Sa,EP0672349,Nestle Sa
"Graphic Packaging International, Inc",CA2814252,"Graphic Packaging International, Inc"
"Vomela Specialty Co., Inc",CA2778739,"Vomela Specialty Co., Inc"
"Samsung Electronics Co., Ltd",EP2759969,"Samsung Electronics Co., Ltd"
Meiji Dairies Corporation,CA2562473,Meiji Dairies Corporation
Mitel Networks Corp,CA2544008,Mitel Networks Corp
Tek Ref Srl,EP2764777,Tek Ref Srl
Del Monte Corporation,CA2553060,Del Monte Corporation
"Hunt-Wesson, Inc",EP0578791,"Hunt-Wesson, Inc"
Lohmann Gmbh & Co Kg,EP0708851,Lohmann Gmbh & Co Kg
James River Corporation,EP0357008,James River Corporation
Ishida Seisakusho,EP2135819,Ishida Seisakusho
Nisshin Foods Inc,EP2201847,Nisshin Foods Inc
Consejo Superior Investigacion,EP1679004,Consejo Superior Investigacion
Meiji Dairies Corporation,EP1738761,Meiji Dairies Corporation
Kuraray Co,EP0443402,Kuraray Co
Grace W R & Co,EP0457598,Grace W R & Co
Georgia Pacific Corp,EP0841150,Georgia Pacific Corp
Telia Ab,EP1346554,Telia Ab
Gerber Technology Inc,EP1403014,Gerber Technology Inc
Givaudan Sa,EP2445359,Givaudan Sa
Telefonica Sa,EP2546791,Telefonica Sa
Nagase & Co Ltd,EP2764778,Nagase & Co Ltd
"Lectrofood, Inc",US4100302,"Lectrofood, Inc"
Raytheon Company,US5204503,Raytheon Company
Kimberly-Clark Corp,US6022447,Kimberly-Clark Corp
"Thermal Solutions, Inc",US20030006633,"Thermal Solutions, Inc"
International Business Machines Corporation,US20030112936,International Business Machines Corporation
"Thermal Solutions, Inc",US20030029862,"Thermal Solutions, Inc"
Canon Kabushiki Kaisha,US20020126130,Canon Kabushiki Kaisha
"Kraft Foods Holdings, Inc",US20020136806,"Kraft Foods Holdings, Inc"
"Thermal Solutions, Inc",US20040004073,"Thermal Solutions, Inc"
"Thermal Solutions, Inc",US20040004072,"Thermal Solutions, Inc"
International Business Machines Corporation,US20050238151,International Business Machines Corporation
AT&T Corp,US20070214470,AT&T Corp
The Procter & Gamble Company,US20050079254,The Procter & Gamble Company
Canon Kabushiki Kaisha,US20070014353,Canon Kabushiki Kaisha
"First Products, Inc",US20080220122,"First Products, Inc"
"Graphic Packaging International, Inc",US20070087090,"Graphic Packaging International, Inc"
"First Products, Inc",US20080226780,"First Products, Inc"
International Business Machines Corporation,US20080130846,International Business Machines Corporation
"Tele Atlas North America, Inc",US20090292464,"Tele Atlas North America, Inc"
"First Products, Inc",US20080260926,"First Products, Inc"
"Hulu, Llc",US20100077095,"Hulu, Llc"
"Ning, Inc",US7756945,"Ning, Inc"
Adaffix Gmbh,US20100166168,Adaffix Gmbh
"Ispeedbuy, Llc",US20110136516,"Ispeedbuy, Llc"
Yahoo! Inc,US20110173217,Yahoo! Inc
Deka Products Limited Partnership,US20110319813,Deka Products Limited Partnership
Google Inc,US20120015639,Google Inc
"Hulu, Llc",US20120297408,"Hulu, Llc"
Adaffix Gmbh,US20130178197,Adaffix Gmbh
Nokia Corporation,US20120254202,Nokia Corporation
"Nant Holdings Ip, Llc",US20140129354,"Nant Holdings Ip, Llc"
"Nant Holdings Ip, Llc",US20140129393,"Nant Holdings Ip, Llc"
Dsm Ip Assets B.V,WO2007090675,Dsm Ip Assets B.V
"Syniverse Technologies, Llc",WO2012109064,"Syniverse Technologies, Llc"
International Business Machines Corporation,WO1998040826,International Business Machines Corporation
Lifescan Scotland Ltd,WO2011041007,Lifescan Scotland Ltd
"World Theatre, Inc",WO2001044888,"World Theatre, Inc"
"Murex Securities, Ltd",WO2001097072,"Murex Securities, Ltd"
Verizon Patent And Licensing Inc,WO2010138479,Verizon Patent And Licensing Inc
Google Inc,WO2008089359,Google Inc
"Graphic Packaging International, Inc",WO2007133659,"Graphic Packaging International, Inc"
Getabl Inc,WO2013149137,Getabl Inc
Fans Entertainment Inc,WO2014063234,Fans Entertainment Inc
Maxymiser Ltd,WO2015004452,Maxymiser Ltd
Fans Entertainment Inc,WO2014063236,Fans Entertainment Inc
Yogogo Ltd,EP1329056,Yogogo Ltd
"Incentech, Inc",US6609104,"Incentech, Inc"
"Incentech, Inc",US6516302,"Incentech, Inc"
"Incentech, Inc",US6611811,"Incentech, Inc"
Midnight Blue Remote Access Llc,USRE044541,Midnight Blue Remote Access Llc
Credit Verification Corporation,WO1995003570,Credit Verification Corporation
668158 B.C. Ltd,WO2006037218,668158 B.C. Ltd
Dsm Ip Assets B.V,WO2013164481,Dsm Ip Assets B.V
"Dodat Process Technology, Llc",US20130198358,"Dodat Process Technology, Llc"
"Dodat Process Technology, Llc",US20150025922,"Dodat Process Technology, Llc"
"Dodat Process Technology, Llc",US20150026246,"Dodat Process Technology, Llc"
"Hotpockets, Llc",WO2013082198,"Hotpockets, Llc"
Wm. Wrigley Jr. Company,WO1994022323,Wm. Wrigley Jr. Company
Cadbury Holdings Limited,WO2011004144,Cadbury Holdings Limited
"Naturegen, Inc",WO2007019526,"Naturegen, Inc"
Telefonaktiebolaget Lm Ericsson (Publ,WO1999011078,Telefonaktiebolaget Lm Ericsson (Publ
"OBrien Technologies, Inc",WO2008131365,"OBrien Technologies, Inc"
"Electrolux Home Products, Inc",WO2009123887,"Electrolux Home Products, Inc"
"Palm, Inc",WO2008097389,"Palm, Inc"
Google Inc,WO2006130463,Google Inc
"General Mills, Inc",WO2007021665,"General Mills, Inc"
"Graphic Packaging International, Inc",WO2007103428,"Graphic Packaging International, Inc"
Danfoss A/S,WO2006063591,Danfoss A/S
The Watso Limited Partnership,WO2006076236,The Watso Limited Partnership
E-Lysium Transaction Systems Inc,WO1999044165,E-Lysium Transaction Systems Inc
"Cybermark, L.L.C",WO1997010562,"Cybermark, L.L.C"
Danisco A/S,WO1999021444,Danisco A/S
Accenture Global Services,WO2003015406,Accenture Global Services
"Frito-Lay North America, Inc",WO2005070135,"Frito-Lay North America, Inc"
"Scoring Systems, Inc",WO2005022303,"Scoring Systems, Inc"
"Systemation Engineered Products, Inc",WO1999003128,"Systemation Engineered Products, Inc"
"Sun Microsystems, Inc",WO2000029969,"Sun Microsystems, Inc"
"Cyberscan Technology, Inc",WO2007067217,"Cyberscan Technology, Inc"
The Procter & Gamble Company,WO2007077545,The Procter & Gamble Company
The Procter & Gamble Company,WO2008035313,The Procter & Gamble Company
Nokia Siemens Networks Oy,WO2011141386,Nokia Siemens Networks Oy
Arvossa Inc,WO2014179889,Arvossa Inc
Alcatel Lucent,WO2011086405,Alcatel Lucent
Microsoft Corporation,WO2010144732,Microsoft Corporation
"Blacknight Holdings, Llc",WO2014172585,"Blacknight Holdings, Llc"
"General Mills, Inc",WO2008019278,"General Mills, Inc"
Telefonaktiebolaget Lm Ericsson (Publ,WO2013185797,Telefonaktiebolaget Lm Ericsson (Publ
Google Inc,WO2014032047,Google Inc
Matsutani Kagaku Kogyo Kk,EP0540421,Matsutani Kagaku Kogyo Kk
Matsutani Kagaku Kogyo Kk,EP0530111,Matsutani Kagaku Kogyo Kk
Matsutani Kagaku Kogyo Kk,EP0538146,Matsutani Kagaku Kogyo Kk
Tivo Inc,CA2773323,Tivo Inc
Tivo Inc,CA2773558,Tivo Inc
Chiron Corporation,CA2452836,Chiron Corporation
Canon Kabushiki Kaisha,WO2002023321,Canon Kabushiki Kaisha
"Broadsoft Casabi, Llc",US20100159967,"Broadsoft Casabi, Llc"
Giftya Llc,US20140330713,Giftya Llc
The University Of Connecticut,US6045686,The University Of Connecticut
"Graphic Packaging International, Inc",US20080164178,"Graphic Packaging International, Inc"
Noregin Assets N.V. L.L.C,US20100026718,Noregin Assets N.V. L.L.C
Bioquanta,US20110207125,Bioquanta
Yahoo! Inc,US20130325601,Yahoo! Inc
Expose Retail Strategies Inc,US20140222623,Expose Retail Strategies Inc
Major Led,WO2013086600,Major Led
Givaudan Sa,WO2013004743,Givaudan Sa
"Appliance Innovation, Inc",WO2013119680,"Appliance Innovation, Inc"
"Hunt-Wesson, Inc",WO1993009945,"Hunt-Wesson, Inc"
Schur International A/S,WO1991000827,Schur International A/S
Amerplast Oy,WO1988007472,Amerplast Oy
Leigh-Mardon Pty. Limited,WO1988009754,Leigh-Mardon Pty. Limited
The Pillsbury Company,WO1989002709,The Pillsbury Company
Tastemaker,WO1994023589,Tastemaker
Thermocar Holland B.V. I.O,WO1992016137,Thermocar Holland B.V. I.O
The Pillsbury Company,WO1990005440,The Pillsbury Company
Lancer Corporation,WO1993002011,Lancer Corporation
Hirzel Canning Company,WO2011008676,Hirzel Canning Company
"Lincoln Foodservice Products, Inc",WO2005048720,"Lincoln Foodservice Products, Inc"
Nizo Food Research B.V,WO2006052135,Nizo Food Research B.V
Hl Distribution Company,WO2006105634,Hl Distribution Company
Nokia Corporation,WO2006082281,Nokia Corporation
Cognos Incorporated,WO2006020051,Cognos Incorporated
"The Licensing Group, Inc",WO2006028625,"The Licensing Group, Inc"
Cmt Costruzioni Meccaniche E Tecnologia S.P.A,WO2011047762,Cmt Costruzioni Meccaniche E Tecnologia S.P.A
Unilever Plc,WO1998041107,Unilever Plc
"Quadlux, Inc",WO1999015019,"Quadlux, Inc"
Lilyvale Mushrooms Pty. Ltd,WO1998047394,Lilyvale Mushrooms Pty. Ltd
Unilever Plc,WO1997004069,Unilever Plc
Paper Touch Ltd,WO2008001351,Paper Touch Ltd
Dsm Ip Assets B.V,WO2008138748,Dsm Ip Assets B.V
"Graphic Packaging International, Inc",WO2008022017,"Graphic Packaging International, Inc"
"Graphic Packaging International, Inc",WO2008098156,"Graphic Packaging International, Inc"
"Cingular Wireless Ii, Llc",WO2008045110,"Cingular Wireless Ii, Llc"
Goallover Limited,WO2008093062,Goallover Limited
Bioera S.P.A,WO2007013109,Bioera S.P.A
Nederlandse Organisatie Voor Toegepast- Natuurwetenschappelijk Onderzoek Tno,WO2002005657,Nederlandse Organisatie Voor Toegepast- Natuurwetenschappelijk Onderzoek Tno
Donuts & Company Limited,WO2001065945,Donuts & Company Limited
Hk Ruokatalo Oyj,WO2001074179,Hk Ruokatalo Oyj
Soft Tracks Enterprises Ltd,WO2002025865,Soft Tracks Enterprises Ltd
"Merck & Co., Inc",WO1994000024,"Merck & Co., Inc"
Tom Chandley Limited,WO1995008740,Tom Chandley Limited
C-Tan Limited,WO1997021376,C-Tan Limited
Pak Pacific Corporation Pty Ltd,WO1996015958,Pak Pacific Corporation Pty Ltd
"Kraft Jacobs Suchard R & D, Inc",WO2000010400,"Kraft Jacobs Suchard R & D, Inc"
"Quadlux, Inc",WO1999053252,"Quadlux, Inc"
Societe Des Produits Nestle S.A,WO1999002044,Societe Des Produits Nestle S.A
Almondy Aktiebolag,WO1999052780,Almondy Aktiebolag
Oy Vegaoils Ltd,WO2004006693,Oy Vegaoils Ltd
Lycored Natural Products Industries Ltd,WO2003090554,Lycored Natural Products Industries Ltd
Novozymes A/S,WO2004004467,Novozymes A/S
Dsm Ip Assets B.V,WO2003101213,Dsm Ip Assets B.V
"Leading Edge Co., Ltd",WO2002057992,"Leading Edge Co., Ltd"
Societe Des Produits Nestle S.A,WO2003075684,Societe Des Produits Nestle S.A
The Secretary Of State For Defence,WO2003073351,The Secretary Of State For Defence
Microgen Energy Limited,WO2003052328,Microgen Energy Limited
Dsm Ip Assets B.V,WO2003053172,Dsm Ip Assets B.V
Ordatronics Pty Ltd,WO2004086261,Ordatronics Pty Ltd
Matsushita Electric Ind Co Ltd,WO2003088671,Matsushita Electric Ind Co Ltd
Hindustan Lever Limited,WO2005063584,Hindustan Lever Limited
Research In Motion Limited,WO2005083935,Research In Motion Limited
Scanv-Gt International A/S,WO2005097438,Scanv-Gt International A/S
Novozymes A/S,WO2005018336,Novozymes A/S
"Multisorb Technologies, Inc",WO2006016916,"Multisorb Technologies, Inc"
"Electrolux Home Products, Inc",WO2008067895,"Electrolux Home Products, Inc"
Microsoft Corporation,WO2009070368,Microsoft Corporation
Campbell Soup Company,WO2009099466,Campbell Soup Company
Glanbia Nutritionals Ireland Limited,WO2010033755,Glanbia Nutritionals Ireland Limited
Nestec,WO2009092622,Nestec
"Ansul, Incorporated",WO2009099956,"Ansul, Incorporated"
Net-Express Ltd,WO1999039280,Net-Express Ltd
Korea Research Institute Of Bioscience And Biotechnology,WO2001014396,Korea Research Institute Of Bioscience And Biotechnology
Prolion B.V,WO2000030054,Prolion B.V
Chr. Hansen A/S,WO2000039281,Chr. Hansen A/S
The Procter & Gamble Company,WO2000049893,The Procter & Gamble Company
Fgf Brands Inc,WO2010006404,Fgf Brands Inc
Nokia Corporation,WO2010136970,Nokia Corporation
"Electrolux Home Products, Inc",WO2011066976,"Electrolux Home Products, Inc"
Monell Chemical Senses Center,WO2011097344,Monell Chemical Senses Center
"Anchorfree, Inc",WO2007064973,"Anchorfree, Inc"
Markport Limited,WO2008126067,Markport Limited
Anax Sweden Ab,WO2007046766,Anax Sweden Ab
"Graphic Packaging International, Inc",WO2008005748,"Graphic Packaging International, Inc"
Parcels In Sport As,WO2014158029,Parcels In Sport As
Microsoft Corporation,WO2013106351,Microsoft Corporation
Mediatek Singapore Pte. Ltd,WO2013133764,Mediatek Singapore Pte. Ltd
Securekey Technologies Inc,WO2013040684,Securekey Technologies Inc
Google Inc,WO2013067444,Google Inc
Givaudan Sa,WO2010094679,Givaudan Sa
Fgf Brands Inc,WO2010006403,Fgf Brands Inc
Acetificio Marcello De Nigris S.R.L,WO2014033761,Acetificio Marcello De Nigris S.R.L
"Vmobo, Inc",WO2014193491,"Vmobo, Inc"
"Rutgers, The State University Of New Jersey",WO2003083086,"Rutgers, The State University Of New Jersey"
Binja Inc,WO2011047299,Binja Inc
Microsoft Corporation,WO2012075273,Microsoft Corporation
"LAir Liquide, Societe Anonyme Pour LEtude Et LExploitation Des Procedes Georges Claude",WO1993019628,"LAir Liquide, Societe Anonyme Pour LEtude Et LExploitation Des Procedes Georges Claude"
The Procter & Gamble Company,WO1992004833,The Procter & Gamble Company
"De Staat Der Nederlanden Vertegenwoordigd Door De Minister Van Welzijn, Volksgezondheid En Cultuur",WO1992005194,"De Staat Der Nederlanden Vertegenwoordigd Door De Minister Van Welzijn, Volksgezondheid En Cultuur"
Rykaart Holding Company,WO1994012036,Rykaart Holding Company
Arla Foods Amba,WO2011144214,Arla Foods Amba
"Senomyx, Inc",WO2011002871,"Senomyx, Inc"
Spraying Systems Co,WO2006124500,Spraying Systems Co
Naturex,WO2007014379,Naturex
"4Info, Inc",WO2006083974,"4Info, Inc"
"Graphic Packaging International, Inc",WO2011060410,"Graphic Packaging International, Inc"
"Daria Designs, Inc",WO2011056720,"Daria Designs, Inc"
Givaudan Sa,WO2011051398,Givaudan Sa
"G2Link, Llc",WO2013075026,"G2Link, Llc"
"Mars, Incorporated",WO2012066277,"Mars, Incorporated"
Givaudan Sa,WO2011012671,Givaudan Sa
Yahoo! Inc,WO2009085583,Yahoo! Inc
Firmenich Sa,WO2008007234,Firmenich Sa
Yahoo! Inc,WO2009117216,Yahoo! Inc
"Adcalls, Inc",WO2007024606,"Adcalls, Inc"
"Graphic Packaging International, Inc",WO2007021439,"Graphic Packaging International, Inc"
Pregel S.P.A,WO2006077459,Pregel S.P.A
Nokia Corporation,WO2002089342,Nokia Corporation
Middleby Marshall Inc,WO2002102164,Middleby Marshall Inc
"The Government Of The United States Of America, As Represented By The Secretary, Department Of Health And Human Services",WO2002000895,"The Government Of The United States Of America, As Represented By The Secretary, Department Of Health And Human Services"
Mapco Ltd,WO2002013495,Mapco Ltd
"Sun Microsystems, Inc",WO2001040939,"Sun Microsystems, Inc"
Elisa Communications Oyj,WO2000036810,Elisa Communications Oyj
Sprint Communications Company L.P,WO2004062289,Sprint Communications Company L.P
Dsm Ip Assets B.V,WO2005120260,Dsm Ip Assets B.V
"Sinus Rhythm Technologies, Inc",WO2005039689,"Sinus Rhythm Technologies, Inc"
Hatco Corporation,WO2003020041,Hatco Corporation
"Cargill, Incorporated",WO2003026440,"Cargill, Incorporated"
Matsushita Electric Company Of America,WO2003025822,Matsushita Electric Company Of America
"Graphic Packaging International, Inc",WO2002058436,"Graphic Packaging International, Inc"
Google Inc,WO2005104039,Google Inc
Lipid Nutrition B V,WO2009056255,Lipid Nutrition B V
"Zeer, Inc",WO2009079153,"Zeer, Inc"
"Graphic Packaging International, Inc",WO2001022778,"Graphic Packaging International, Inc"
The Pillsbury Company,WO1998004139,The Pillsbury Company
The Pillsbury Company,WO1998009532,The Pillsbury Company
Signalsoft Corp,WO2000004730,Signalsoft Corp
Ericsson Inc,WO1999017241,Ericsson Inc
Eritocap Oy,WO2001037680,Eritocap Oy
Koninklijke Philips Electronics N.V,WO2001026320,Koninklijke Philips Electronics N.V
The Dow Chemical Company,WO2001023471,The Dow Chemical Company
"Medtronic Minimed, Inc",WO2010075350,"Medtronic Minimed, Inc"
"Green Folks & Macleod, Llc",WO2012039862,"Green Folks & Macleod, Llc"
"Cargill, Incorporated",WO2008110515,"Cargill, Incorporated"
Beverage-Air Corporation,WO2008111934,Beverage-Air Corporation
"Electrolux Home Products, Inc",WO2008112480,"Electrolux Home Products, Inc"
Nokia Corporation,WO2008122854,Nokia Corporation
Mccain Foods (Gb) Limited,WO2013071406,Mccain Foods (Gb) Limited
"Mars, Incorporated",WO2014159452,"Mars, Incorporated"
Akzo Nobel Coatings International B.V,WO2010139586,Akzo Nobel Coatings International B.V
"Media Online Services, Inc",WO2001079876,"Media Online Services, Inc"
Thomson Licensing,WO2003061259,Thomson Licensing
Alcatel Lucent,WO2014191081,Alcatel Lucent
Givaudan Sa,WO2014060480,Givaudan Sa
"Lallemand, Inc",WO2015024097,"Lallemand, Inc"
"Graphic Packaging International, Inc",WO2007033183,"Graphic Packaging International, Inc"
Advantage Sales & Marketing Llc,WO2008042954,Advantage Sales & Marketing Llc
Accoona Corp,WO2006009635,Accoona Corp
"Global Appliance Technologies, Inc",WO2005087009,"Global Appliance Technologies, Inc"
The Procter & Gamble Company,WO2005034649,The Procter & Gamble Company
"Regeneration Technologies, Inc",WO2002062405,"Regeneration Technologies, Inc"
"Mobilaps, Llc",WO2005114449,"Mobilaps, Llc"
"Networks In Motion, Inc",WO2007067754,"Networks In Motion, Inc"
Adaffix Gmbh,WO2008149161,Adaffix Gmbh
"Nant Holdings Ip, Llc",WO2014071248,"Nant Holdings Ip, Llc"
Adeka Corp,EP1361264,Adeka Corp
Novartis Ag,US20090169636,Novartis Ag
"Payclip, Llc",US20130103578,"Payclip, Llc"
"Television Computer, Inc",US5565909,"Television Computer, Inc"
The Pillsbury Company,US5223289,The Pillsbury Company
The Pillsbury Company,US5108770,The Pillsbury Company
The Pillsbury Company,US5073392,The Pillsbury Company
"Quadlux, Inc",US5990454,"Quadlux, Inc"
Canon Kabushiki Kaisha,US20040024735,Canon Kabushiki Kaisha
"Frito-Lay North America, Inc",US20040058046,"Frito-Lay North America, Inc"
Canon Kabushiki Kaisha,US20040122753,Canon Kabushiki Kaisha
The Procter & Gamble Company,US20040101607,The Procter & Gamble Company
The Procter & Gamble Company,US20040265429,The Procter & Gamble Company
Magiccom,US20030056410,Magiccom
"Luxine, Inc",US20020117497,"Luxine, Inc"
Magiccom,US20030217489,Magiccom
"Lancer Partnership, Ltd",US20040216427,"Lancer Partnership, Ltd"
Canon Kabushiki Kaisha,US20030191713,Canon Kabushiki Kaisha
The Procter & Gamble Company,US20050202153,The Procter & Gamble Company
Microsoft Corporation,US20060026498,Microsoft Corporation
Google Inc,US20070176796,Google Inc
Google Inc,US20070118520,Google Inc
"Lancer Partnership, Ltd",US20060196574,"Lancer Partnership, Ltd"
"Lancer Partnership, Ltd",US20060254673,"Lancer Partnership, Ltd"
"Lancer Partnership, Ltd",US20060261086,"Lancer Partnership, Ltd"
Yahoo! Inc,US20070011161,Yahoo! Inc
"Lancer Partnership, Ltd",US20080149664,"Lancer Partnership, Ltd"
"Lancer Partnership, Ltd",US20080290117,"Lancer Partnership, Ltd"
The Procter & Gamble Company,US20090191310,The Procter & Gamble Company
Yahoo! Inc,US20100318513,Yahoo! Inc
Nokia Corporation,US20110047509,Nokia Corporation
Yahoo! Inc,US20110040756,Yahoo! Inc
Rovi Technologies Corporation,US20100179867,Rovi Technologies Corporation
Rovi Technologies Corporation,US20100210331,Rovi Technologies Corporation
Rovi Technologies Corporation,US20100211465,Rovi Technologies Corporation
Qualcomm Incorporated,US20100153488,Qualcomm Incorporated
"Alpine Electronics, Inc",US20100026526,"Alpine Electronics, Inc"
"The Vollrath Company, L.L.C",US20110290787,"The Vollrath Company, L.L.C"
Yahoo! Inc,US20120041961,Yahoo! Inc
"Conagra Foods Food Ingredients Company, Inc",US20120288612,"Conagra Foods Food Ingredients Company, Inc"
Google Inc,US20130102364,Google Inc
AT&T Corp,US20130244628,AT&T Corp
Nokia Corporation,US20130257900,Nokia Corporation
Whitford Corporation,US20130022740,Whitford Corporation
International Business Machines Corporation,US20120304275,International Business Machines Corporation
Electronics And Telecommunications Research Institute,US20130091517,Electronics And Telecommunications Research Institute
Google Inc,US20130095893,Google Inc
Google Inc,US20130095892,Google Inc
AT&T Corp,US08478309,AT&T Corp
Rovi Technologies Corporation,US20140011587,Rovi Technologies Corporation
Mastercard International Incorporated,US20140046848,Mastercard International Incorporated
Google Inc,US20140123070,Google Inc
Blackberry Limited,US20140075333,Blackberry Limited
International Business Machines Corporation,US20140196141,International Business Machines Corporation
Google Inc,US20150024784,Google Inc
"Ardent Mills, Llc",US20150004301,"Ardent Mills, Llc"
"Dodat Process Technology, Llc",WO2013116153,"Dodat Process Technology, Llc"
Apple Inc,CA2792570,Apple Inc
Dsm Ip Assets B.V,WO2014131861,Dsm Ip Assets B.V
Google Inc,US20110307326,Google Inc
Google Inc,US20110307325,Google Inc
Google Inc,US20110307322,Google Inc
Google Inc,US20110307330,Google Inc
Google Inc,US20110307509,Google Inc
Google Inc,US20110307515,Google Inc
Google Inc,US20110302025,Google Inc
Google Inc,US20110307324,Google Inc
Novartis Vaccines & Diagnostic,EP1835939,Novartis Vaccines & Diagnostic
Micro Chef Inc,EP1481922,Micro Chef Inc
Ct Ingenieria Genetica Biotech,EP2168595,Ct Ingenieria Genetica Biotech
Gen Mills Marketing Inc,EP2272370,Gen Mills Marketing Inc
Gen Mills Marketing Inc,EP2150118,Gen Mills Marketing Inc
Novartis Vaccines & Diagnostic,EP2193810,Novartis Vaccines & Diagnostic
Research In Motion Limited,EP2506204,Research In Motion Limited
Research In Motion Limited,EP2506202,Research In Motion Limited
Delavau L.L.C,EP2491787,Delavau L.L.C
Mitel Networks Corp,EP2475155,Mitel Networks Corp
Sony Comp Entertainment Us,EP2523192,Sony Comp Entertainment Us
American Cyanamid Co,EP0618294,American Cyanamid Co
The Pillsbury Company,EP0929225,The Pillsbury Company
